epoch,private_step,layer,side,dimension,q,operator_matrix_cosine,operator_condition_F,operator_condition_H,operator_action_cosine_mean,operator_action_cosine_std
2,234,fc1,G,128,0.25,0.9651763503599983,3.5963517708027397,1.8228598008520631,0.9632255919629852,0.014576886923997867
2,234,fc1,G,128,0.5,0.8828353871923159,12.933746059355967,3.322817853562418,0.8785262454129164,0.04376957302086888
2,234,fc2,A,129,0.25,0.8683649023861076,30.63043210427197,4.915309009200947,0.8709277113586447,0.02752003793901765
2,234,fc2,A,129,0.5,0.5684302872555902,938.223370894397,24.160262655932254,0.5835579072557907,0.038460152739099356
2,234,fc2,G,10,0.25,0.80215560297334,4.200641106680066,1.776290779630667,0.8447052467123884,0.07580347252196576
2,234,fc2,G,10,0.5,0.38910071991615797,17.645385707130345,3.155208933800926,0.48337160630368037,0.14419233200196138
3,468,conv1,A,10,0.25,0.9724304234150681,2.2678496655226024,1.0241302464280957,0.9719153383771051,0.014552781421662286
3,468,conv1,A,10,0.5,0.9187668529718068,5.143142105410979,1.048842761648871,0.9140552582832471,0.0467980086512539
3,468,conv1,G,16,0.25,0.9494825716717062,1.1803315208265828,6.571195445567832,0.956753280823736,0.022795687462386367
3,468,conv1,G,16,0.5,0.8504334578375955,1.393182499056797,43.180609583850995,0.8744676352346055,0.04162826471800536
3,468,conv2,A,145,0.25,0.9605265697113101,10.790092966640312,3.0328818777741384,0.9607397414611963,0.007683183419071785
3,468,conv2,A,145,0.5,0.8996474500586443,116.42610622874051,9.198372484530763,0.8991575493244496,0.016098202655136257
3,468,conv2,G,32,0.25,0.9537567295729018,1.2010626837384213,6.160493940492483,0.9579481266204852,0.014341265175405595
3,468,conv2,G,32,0.5,0.8165607070961352,1.4425515702689382,37.95168559084438,0.8360309564141982,0.04172362575682265
3,468,fc1,A,1569,0.25,0.9429671029849491,43.20525052069112,8.192655286140512,0.942888205885883,0.0026396141504943164
3,468,fc1,A,1569,0.5,0.8473500283308275,1866.6936725558621,67.11960063752561,0.8476716534193256,0.005446953038591823
3,468,fc1,G,128,0.25,0.9632640184037513,3.8364098728457035,1.817060164362547,0.9656861522344621,0.011558969996881196
3,468,fc1,G,128,0.5,0.8767116777110412,14.718040712468015,3.3017076409132495,0.885958735927145,0.0379590095708027
3,468,fc2,A,129,0.25,0.8379652429022421,35.42450183999941,6.201240642720999,0.8462072403111489,0.02655411454131882
3,468,fc2,A,129,0.5,0.49335882928472163,1254.8953306121098,38.455385508934995,0.5080605250350172,0.021233097610217657
3,468,fc2,G,10,0.25,0.7996301885703501,4.179606426243466,1.7759465625575777,0.8452084677592172,0.08590853612967349
3,468,fc2,G,10,0.5,0.38502959334906217,17.469109878295676,3.1539861930600774,0.5151404943289946,0.15221728585670627
4,702,conv1,A,10,0.25,0.9722456985937437,2.2767527519800814,1.0241208326548052,0.9795033986453796,0.010725291319234434
4,702,conv1,A,10,0.5,0.9182966790015188,5.18360309364888,1.048823479877573,0.9373633585027683,0.030143906447109216
4,702,conv1,G,16,0.25,0.9447569403335647,1.2160324313591337,8.8357274153173,0.9454810234070701,0.02643020414805794
4,702,conv1,G,16,0.5,0.8426181630495068,1.478734874117207,78.0700789577904,0.8511287001836282,0.04392667459314892
4,702,conv2,A,145,0.25,0.9606772756674413,11.113677496388691,3.0422207678479385,0.9605715453823054,0.007134213470426931
4,702,conv2,A,145,0.5,0.8991206414357007,123.5138274937371,9.255107200325334,0.8989862223273773,0.015744335647021872
4,702,conv2,G,32,0.25,0.9558244030963425,1.2076054274711516,5.167288493628187,0.9550081054830932,0.012457993082377867
4,702,conv2,G,32,0.5,0.8314630453440685,1.4583108684577846,26.70087037638244,0.832829779691375,0.033566690493334564
4,702,fc1,A,1569,0.25,0.941858614683346,44.96492726139281,9.405111537806569,0.9419435164375163,0.0031705778524514483
4,702,fc1,A,1569,0.5,0.8403473050060132,2021.8446836222467,88.45612303858135,0.8401817478657153,0.006492119617320648
4,702,fc1,G,128,0.25,0.9621619851820354,3.8133289358271876,1.8149337686621752,0.963569910760949,0.01159088015822138
4,702,fc1,G,128,0.5,0.8723402394326858,14.54147757281693,3.2939845846302838,0.8764673579996012,0.038858573277886645
4,702,fc2,A,129,0.25,0.8175892468575746,38.55984678264513,7.306046529206746,0.8147899400194194,0.02658322801668041
4,702,fc2,A,129,0.5,0.44565119572051093,1486.8617839012243,53.37831588693446,0.4533447931265442,0.022323478942885593
4,702,fc2,G,10,0.25,0.7983310025301337,4.165280842485659,1.7753354599785398,0.8639901883217771,0.0815039281259905
4,702,fc2,G,10,0.5,0.38216621818382657,17.34956449677803,3.151815995457209,0.509623266932897,0.18974937238834416
5,936,conv1,A,10,0.25,0.9723576452054423,2.2702946312738144,1.024126852051946,0.9716233384201205,0.011750823364199801
5,936,conv1,A,10,0.5,0.9186009354368487,5.154237712790705,1.0488358090938281,0.9104160551958138,0.03605594750263256
5,936,conv1,G,16,0.25,0.9461996717621262,1.2508131550931776,8.760676564347662,0.9458567685358387,0.029050922290813196
5,936,conv1,G,16,0.5,0.8519055484547935,1.564533548954151,76.74945386510969,0.8571564985435854,0.044291609980614745
5,936,conv2,A,145,0.25,0.9613986526646917,10.990811654433575,3.015997260053771,0.9610121185822278,0.007067261605099446
5,936,conv2,A,145,0.5,0.9008797031627238,120.79794082323427,9.096239472651845,0.9001166300018282,0.014239942046579133
5,936,conv2,G,32,0.25,0.957689678734772,1.217502502417905,4.382975887530562,0.9601420858637666,0.010846275607549884
5,936,conv2,G,32,0.5,0.8407881552461233,1.482312343393862,19.210477630674315,0.8536944377797424,0.02934291244150425
5,936,fc1,A,1569,0.25,0.94209934697257,45.35730507641546,10.166063827953751,0.9420533160788396,0.0022847147756976183
5,936,fc1,A,1569,0.5,0.8385644193158466,2057.285123795146,103.3488537540317,0.8387900976206741,0.0050748500393522945
5,936,fc1,G,128,0.25,0.9610225342243345,4.063546377003152,1.8147392919935217,0.9578856689135986,0.014097528256035276
5,936,fc1,G,128,0.5,0.8700088833505558,16.51240915805546,3.293278697905145,0.8623322590606102,0.042219268715977164
5,936,fc2,A,129,0.25,0.8135627030570496,40.988039503615546,8.053973776666858,0.8145707107985776,0.034159395403135166
5,936,fc2,A,129,0.5,0.43958859018095514,1680.0193823500592,64.8664935952377,0.45313525307414615,0.03205522433078566
5,936,fc2,G,10,0.25,0.7985528482081513,4.223166760926775,1.7731774522263495,0.8347406600820135,0.08896333730495663
5,936,fc2,G,10,0.5,0.38318683238956264,17.83513749059673,3.1441582770839274,0.49918372034690417,0.1741742649179443
