epoch,private_step,layer,side,dimension,q,operator_matrix_cosine,operator_condition_F,operator_condition_H,operator_action_cosine_mean,operator_action_cosine_std
1,0,conv1,A,10,0.25,0.9723377790639507,2.2709697925780006,1.0241578753734863,0.9745260750347335,0.010532468391609562
1,0,conv1,A,10,0.5,0.9184859472114363,5.157303798801765,1.0488993536895326,0.9217509492305189,0.031931690841600364
1,0,conv1,G,16,0.25,0.975624259371413,1.0001804115837285,1.78259711760611,0.9782301055761018,0.005767661078522299
1,0,conv1,G,16,0.5,0.9062941828008741,1.0003608557157988,3.1776524836976154,0.9163148336801381,0.017759899715941135
1,0,conv2,A,145,0.25,0.9678337890013669,8.857230965149979,1.9233589934383568,0.9672194599596001,0.006661951764219798
1,0,conv2,A,145,0.5,0.9135904977878024,78.45054037001177,3.699309817640206,0.9130532677997708,0.015793238310276816
1,0,conv2,G,32,0.25,0.982793523317384,1.002626430575753,1.7784600239371842,0.9838480617748233,0.005974230028897184
1,0,conv2,G,32,0.5,0.9192687677687307,1.0052597592890773,3.162920056742656,0.9258104277189547,0.023809880457645823
1,0,fc1,A,1569,0.25,0.9824253541297683,13.994000376462521,2.743829639209388,0.9821502208076416,0.001299420240984038
1,0,fc1,A,1569,0.5,0.9499804078912063,195.83204653643895,7.5286010890038755,0.9492404471331535,0.0030769343560117573
1,0,fc1,G,128,0.25,0.9752258007353982,2.298142187530009,1.8197274625532147,0.9772580416597989,0.007227432782928817
1,0,fc1,G,128,0.5,0.9061521907549247,5.281457514105222,3.311408037970364,0.9151815150871108,0.0297462790532429
1,0,fc2,A,129,0.25,0.991158107605175,6.27297246742372,1.1414153849293682,0.9899383650971633,0.00370075324352041
1,0,fc2,A,129,0.5,0.9750544338651178,39.35018357705561,1.3028290809534602,0.9737617164549099,0.0053255531955105
1,0,fc2,G,10,0.25,0.8319564775033185,3.2220143369009513,1.796171144912833,0.8809175327604128,0.07111280625117886
1,0,fc2,G,10,0.5,0.43567707809138073,10.381376387195296,3.226230781817481,0.5753600099524173,0.17036282127928332
2,234,conv1,A,10,0.25,0.9722982824170558,2.272302498639512,1.0241250825808617,0.9744624279888764,0.010671477554600574
2,234,conv1,A,10,0.5,0.9183795043165331,5.163358645323369,1.0488321847712565,0.9204290445292946,0.03565568063552557
2,234,conv1,G,16,0.25,0.9432111081544452,1.1227305577827,8.300703177889778,0.9520829191032334,0.022292873509021306
2,234,conv1,G,16,0.5,0.8255906179956788,1.2605239053790542,68.90167324742903,0.856444482509652,0.04293436677075244
2,234,conv2,A,145,0.25,0.9592919276600467,11.312905903252055,2.5147685944528337,0.9588578776335608,0.007372558477603685
2,234,conv2,A,145,0.5,0.8936797110864401,127.98183997583303,6.324061083646258,0.8920306312777603,0.013936864917529119
2,234,conv2,G,32,0.25,0.9440726141685168,1.155534897933167,12.402754025348772,0.9496486561860742,0.02537458065780815
2,234,conv2,G,32,0.5,0.7609747035731593,1.3352609003414184,153.82830741330625,0.8049983685249895,0.08003886763391829
2,234,fc1,A,1569,0.25,0.9437445967275158,41.09798418962878,6.548343652501611,0.9429825744781896,0.002325941685507098
2,234,fc1,A,1569,0.5,0.8529889984793181,1689.0443044510323,42.88080459125826,0.8511922154154442,0.004889230583926754
