epoch,private_step,layer,side,dimension,q,original_condition,transformed_condition,condition_ratio
1,0,conv1,A,10,0.25,26.597782473135226,26.597685535767084,0.9999963554342082
1,0,conv1,A,10,0.5,26.597782473135226,26.597602126468594,0.9999932194848644
1,0,conv1,G,16,0.25,1.0007218416484451,1.0021651837157048,1.0014423009543612
1,0,conv1,G,16,0.5,1.0007218416484451,1.0071615372090128,1.0064350504731263
1,0,conv2,A,145,0.25,6154.48728434686,1729.8225994134807,0.28106688981437333
1,0,conv2,A,145,0.5,6154.48728434686,802.3728543898113,0.13037200619953226
1,0,conv2,G,32,0.25,1.0105471836459368,1.0256779567699361,1.0149728517073386
1,0,conv2,G,32,0.5,1.0105471836459368,1.079004475183421,1.0677427958291845
1,0,fc1,A,1569,0.25,38350.19045064702,5729.936084799815,0.14941088994521914
1,0,fc1,A,1569,0.5,38350.19045064702,1017.7638093820314,0.0265386898323698
1,0,fc1,G,128,0.25,27.893793473298402,61.86402587569919,2.2178419702905994
1,0,fc1,G,128,0.5,27.893793473298402,170.99539538836666,6.130230925817014
1,0,fc2,A,129,0.25,1548.4369475480096,1205.6017151072392,0.7785927073209801
1,0,fc2,A,129,0.5,1548.4369475480096,940.5819084156653,0.6074395924904152
1,0,fc2,G,10,0.25,107.7729756926162,306.0609722736865,2.839867511375169
1,0,fc2,G,10,0.5,107.7729756926162,965.7216665505728,8.960703370619996
2,234,conv1,A,10,0.25,26.6602725002356,26.660081727312736,0.9999928442995899
2,234,conv1,A,10,0.5,26.6602725002356,26.659891226942314,0.9999856988223477
2,234,conv1,G,16,0.25,1.588920516032065,2.0419146578198113,1.2850955332359777
2,234,conv1,G,16,0.5,1.588920516032065,5.410168567448604,3.4049334204326085
2,234,conv2,A,145,0.25,16379.351363600115,3476.6904875432724,0.2122605718850096
2,234,conv2,A,145,0.5,16379.351363600115,1719.772425088599,0.10499636932573866
2,234,conv2,G,32,0.25,1.7829216719805823,3.5762554556760815,2.005839915391993
2,234,conv2,G,32,0.5,1.7829216719805823,17.536269017865973,9.83569233211775
2,234,fc1,A,1569,0.25,2852870.662398234,95140.91856049534,0.0333491874743863
2,234,fc1,A,1569,0.5,2852870.662398234,64001.37365915687,0.022434025664996263
2,234,fc1,G,128,0.25,167.28178712790623,397.42275593079233,2.375768233674577
2,234,fc1,G,128,0.5,167.28178712790623,1108.7373024227375,6.627961844853917
2,234,fc2,A,129,0.25,880263.0936924858,38790.63236629827,0.04406708931028923
2,234,fc2,A,129,0.5,880263.0936924858,10806.742623263017,0.012276718972655557
2,234,fc2,G,10,0.25,311.3596367534014,919.5137986793326,2.953220938549568
2,234,fc2,G,10,0.5,311.3596367534014,2877.5206380291143,9.241790837224437
3,468,conv1,A,10,0.25,26.451910716451145,26.451547766518217,0.9999862788765311
3,468,conv1,A,10,0.5,26.451910716451145,26.451191964381795,0.9999728279715951
3,468,conv1,G,16,0.25,1.9409574756781405,2.277558306380765,1.1734199924112307
3,468,conv1,G,16,0.5,1.9409574756781405,5.751224447766764,2.9630862704796637
3,468,conv2,A,145,0.25,13555.038211585965,2469.3160700558406,0.1821696133578753
3,468,conv2,A,145,0.5,13555.038211585965,1427.8433484075533,0.1053367261766275
3,468,conv2,G,32,0.25,2.0809550328853854,5.293841806566475,2.5439481982588563
3,468,conv2,G,32,0.5,2.0809550328853854,23.86055535787102,11.466156154651138
3,468,fc1,A,1569,0.25,3484545.2671594247,67973.9265553745,0.019507258865598363
3,468,fc1,A,1569,0.5,3484545.2671594247,27203.941436731024,0.007807027704050311
3,468,fc1,G,128,0.25,216.62072241386477,531.1327918454239,2.451902043012616
3,468,fc1,G,128,0.5,216.62072241386477,1520.3517102964013,7.018496168578429
3,468,fc2,A,129,0.25,1574762.290792101,50785.13812363078,0.03224939943036482
3,468,fc2,A,129,0.5,1574762.290792101,17629.811934478545,0.011195221042288737
3,468,fc2,G,10,0.25,305.1697999399682,880.3536787813368,2.8847994754216066
3,468,fc2,G,10,0.5,305.1697999399682,2747.2906034911575,9.0024982944957
4,702,conv1,A,10,0.25,26.869741032486264,26.869208375325098,0.9999801763195066
4,702,conv1,A,10,0.5,26.869741032486264,26.86867803947702,0.9999604390303592
4,702,conv1,G,16,0.25,2.1866568279304355,3.4489150293031137,1.5772548235505908
4,702,conv1,G,16,0.5,2.1866568279304355,11.302284598904414,5.168750969305722
4,702,conv2,A,145,0.25,15255.665582152445,2737.207468330423,0.17942235647408747
4,702,conv2,A,145,0.5,15255.665582152445,1200.8756245377115,0.07871669826996025
4,702,conv2,G,32,0.25,2.126670589062099,5.212613222601197,2.4510675275290548
