epoch,private_step,layer,side,dimension,F_lambda_min,F_lambda_median,F_lambda_max,F_trace,F_frobenius_norm,F_effective_rank,B_lambda_min,B_lambda_median,B_lambda_max,B_trace,B_frobenius_norm,B_effective_rank,condition_F,condition_B,matrix_cosine,optimal_scale,shape_error,normalized_commutator,top_k,top_k_overlap,generalized_lambda_min,generalized_lambda_median,generalized_lambda_max,generalized_condition,generalized_log10_width
1,0,conv1,A,10,0.04291167662323152,0.10614752214273115,1.1669532228553692,3.142021292107895,1.590437568557856,5.3788393044212395,0.999913108168793,0.9999999976885185,1.1000942566592116,10.100010944446923,3.1953154393173473,9.995692280546558,26.597782473135226,1.100189854170316,0.6379515172965812,0.31753424013866227,0.7700765296897379,0.0007294768381306166,10,1.0,0.8562043942186046,9.423115905434216,22.77298365080991,26.597601933114525,1.4248424819632453
1,0,conv1,G,16,2.0724906594835662e-07,7.350475465065387e-07,9.292403154008961e-07,1.06255123610673e-05,2.7912583476713956e-06,15.086381770736917,0.09926126038838191,0.6264430664781329,1.0022881257282332,9.604464813597142,2.8109031072308452,12.935736509112518,1.0007218416484451,10.097475307149601,0.7767362738375055,7.713078414943954e-07,0.6298259766832643,0.05268977744869166,10,0.5393032749045016,99.19016727491552,626.0508820648759,1001.618706181815,10.097963676235448,1.004233804145279
1,0,conv2,A,145,0.000999721564225112,0.006137006511243622,12.306260939257667,19.245811515319023,12.597433880213611,5.441292392341865,0.9459962146682354,1.0,12.945857096176518,157.40600876214225,17.68566932002508,127.04739230374825,6154.48728434686,13.684893126889182,0.7493873284426098,0.5337856967639102,0.6621318841210174,0.054719656135366085,10,0.5870408437501818,0.6233724734704761,140.11319286766357,500.0695635130744,802.2002651625883,2.904282801199143
1,0,conv2,G,32,1.5635126180314046e-08,7.26101025983752e-06,1.0562983678664072e-05,0.0001939634816039373,3.8866917212019806e-05,26.602296214626655,0.0999799008596732,1.0000000000000002,1.0002052554626926,25.762684043545022,4.890571425180597,28.96359762428559,1.0105471836459368,10.004063285345028,0.7704450628899634,6.122970481848714e-06,0.6375063961000553,0.0283999587695258,10,0.3709732913318938,99.20611080691316,991.9241513046953,999.9769514773892,10.079791893300447,1.003451565787657
1,0,fc1,A,1569,-1.239135077417399e-19,0.0009075145819285158,38.34919045064701,47.3027636403521,38.37045132395926,4.263073029517914,0.8364404539454195,0.9999999999999998,47.40930637941358,1615.043077956886,61.76523474915883,1442.3912042156346,38350.19045064702,56.679834357350664,0.7676348085235254,0.47687820138058906,0.6408875102099046,0.0701068283248827,10,0.5555021631599154,0.9832423034235186,524.2366278889494,1000.0000000000074,1017.0433030781331,3.007339444454225
1,0,fc1,G,128,-8.535937613084654e-20,0.00020153312168185935,0.026893793473298403,0.17833487210482224,0.05282894738078311,18.29476161530761,0.09799135909025726,1.0,1.0745167217734937,121.98964566476943,10.96438879009205,124.92421671505772,27.893793473298402,10.965423193934729,0.1749721201813509,0.0008430559246966505,0.9845733884070007,0.029699115856004887,10,0.06660961917811002,5.58830849269452,827.7482288016402,1000.6303771865831,179.0578273362479,2.252993310517647
1,0,fc2,A,129,-4.160510712905208e-18,0.0004389776389202216,1.5474369475480034,1.6705185595306529,1.547588758711166,1.7429413799330615,0.9853686804154252,0.9999999999999999,1.6725289446877722,129.65377866431385,11.435036913564884,128.8149024291535,1548.4369475480096,1.69736361417804,0.15186717937941957,0.02055331709038548,0.9884009104747625,0.012499173135320063,10,0.39124979085026795,1.0636087335676268,694.9302625505927,1000.0000000000033,940.1953636143407,2.9732181052210143
1,0,fc2,G,10,8.4706363581413e-16,0.10056476306010773,0.10677297569270748,0.9001321602524204,0.300562991378397,8.984161954793198,0.09639195870691768,0.32614190442739965,1.003301973225302,4.484847618997577,1.7378821777280904,7.788769571925578,107.7729756926162,10.408565057546639,0.6850129868108442,0.11847152533555197,0.7285308558328095,0.06115497137192601,10,0.9999999999999996,1.0256738083817682,3.2165814571414533,918.0229978583045,895.0438144722568,2.951844295559241
2,234,conv1,A,10,0.04279617648829706,0.1059411304818619,1.1666179996464112,3.140766146615217,1.5901371531939494,5.376216672035267,0.9999751534275759,0.9999999947049709,1.100021619366099,10.100004296571859,3.195311083201558,9.995699070909858,26.6602725002356,1.1000489518120502,0.6378260793808443,0.31741227057094556,0.7701804285111773,0.0003488086391806358,10,0.9999999999999997,0.8564565676254988,9.440890172227371,22.833038546611718,26.659890775215445,1.4258583657898285
2,234,conv1,G,16,1.0155664946450946e-05,5.816002044782143e-05,0.0006050570604194286,0.0014716622182715312,0.0006578194551317786,8.784913710351828,0.03672511583101879,0.5395293684371196,174.35030506531885,182.30478474201786,174.36808846530008,1.3307211448441685,1.588920516032065,4747.440576295174,0.5223349375775516,1.970556006306938e-06,0.8527404135995054,0.5827017205252178,10,0.5502766340909186,32.44727146143918,508.81569951152926,135698.4317465942,4182.1215046652,3.621396646377172
