linear_lr,none_accuracy,rms_match_accuracy,none_accuracy_auc,rms_match_accuracy_auc,none_test_loss,rms_match_test_loss,none_clip_fraction,rms_match_clip_fraction,delta_rms_vs_none,exp33_dp_adamw_accuracy,delta_none_vs_exp33_adamw,delta_rms_vs_exp33_adamw
0.0001,0.718,0.7181,2.54495,2.56735,1.0977469774246216,1.1039130783081057,0.7655048370361328,0.7491787075996399,9.999999999998899e-05,0.9276,-0.2096,-0.20950000000000002
0.0003,0.6665,0.6139,2.47945,2.4045,1.2895681262969971,1.4384162446975708,0.7991586327552795,0.8661258220672607,-0.05259999999999998,0.9276,-0.2611,-0.3137
0.001,0.2754,0.257,1.0914,0.9331,1.949827389717102,2.0168166730880737,1.0,1.0,-0.018399999999999972,0.9276,-0.6522,-0.6706
0.003,0.1786,0.1152,0.5278499999999999,0.6353500000000001,2.2419233001708982,2.2528891242980955,1.0,1.0,-0.06340000000000001,0.9276,-0.749,-0.8124
