mode,q,seed,test_accuracy,epsilon_spent,steps
fisher,0.25,42,0.125,0.9963923627328367,4
nested_ag,0.25,42,0.125,0.9963923627328367,4
nested_a,0.25,42,0.125,0.9963923627328367,4
fisher,0.5,42,0.125,0.9963923627328367,4
nested_ag,0.5,42,0.125,0.9963923627328367,4
nested_a,0.5,42,0.125,0.9963923627328367,4
