task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,d_total,tau,operator_state_bytes,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
mnist,dp_kfc,public,,42,1,conv1,True,0.9660282295184386,0.9784331189526183,0.9602655070538624,0.2939348904776388,conv1,160.0,206922,1.0,10069172,395.691981769996,0.029905743251455643,11.833462813473167,1.0007304370166321,9.556131142814955e-08,8.260681295794905e-07
mnist,dp_kfc,public,,42,1,conv2,True,0.9336224782831184,0.8054845076380771,0.9778417985488469,0.20950976294702925,conv2,4640.0,206922,1.0,10069172,27834.50520087131,0.0015100995273601104,42.0328731481383,1.010263285672062,8.015705890979925e-08,1.0344265405766049e-05
mnist,dp_kfc,public,,42,1,fc1,True,0.8361055847818185,0.5683062079376703,0.838050190344123,0.5767823576680139,fc1,200832.0,206922,1.0,10069172,90705.98599344745,0.001,90.70598599344746,27.995784600295444,0.0,0.026995784600295444
mnist,dp_kfc,public,,42,1,fc2,True,0.9332410043666731,0.3713046355254961,0.9956489595702971,0.09319473705885735,fc2,1290.0,206922,1.0,10069172,2488.395510222416,0.001,2.488395510222416,110.65355893127156,0.0,0.10965355893127156
mnist,dp_kfc,public,,42,2,conv1,True,0.9661403163949288,0.9965325945176372,0.9932003164353024,8.230119990220285,conv1,160.0,206922,1.0,10069172,394.03404002678036,0.03033189995576493,11.951801081258177,3.5890146910245213,3.695706415268302e-05,0.002721654137205636
mnist,dp_kfc,public,,42,2,conv2,True,0.9592046520548816,0.7732873863007401,0.9904618265094866,7.547369646842634,conv2,4640.0,206922,1.0,10069172,54547.18323518794,0.0014621085941809902,79.75390539653351,3.610765127718179,9.280912938253649e-05,0.0029458770956265258
mnist,dp_kfc,public,,42,2,fc1,True,0.7780833493457658,0.6417275799365986,0.8199245540385137,8.567183811627993,fc1,200832.0,206922,1.0,10069172,2269736.218837128,0.0010020219565142216,2274.3255267703707,309.00649297828073,0.0,0.30800649297828075
mnist,dp_kfc,public,,42,2,fc2,True,0.9471270627681054,0.448216608856333,0.7882147946320157,8.33529712053537,fc2,1290.0,206922,1.0,10069172,2021162.564335552,0.001,2021.1625643355521,389.0058548623349,4.6537017943931795e-09,0.3880076651795797
mnist,dp_kfc,public,,42,3,conv1,True,0.9665223723415756,0.9633589764940979,0.9772803623748749,11.548536227061517,conv1,160.0,206922,1.0,10069172,378.5765307387435,0.031014027277385652,11.741182850909418,3.7337380929388035,0.00011708661385742504,0.0031709088432714883
mnist,dp_kfc,public,,42,3,conv2,True,0.9557449389407421,0.674531608010959,0.9857330535690642,10.673148344042207,conv2,4640.0,206922,1.0,10069172,57212.80400166637,0.001746520382973093,99.92332835595487,3.729776117087612,0.00013190224970560454,0.0032217419778297024
mnist,dp_kfc,public,,42,3,fc1,True,0.7624594954316734,0.6513803455098718,0.8031182527313355,12.026692560702674,fc1,200832.0,206922,1.0,10069172,3936716.8222084166,0.001,3936.716822208417,343.6355024049474,5.7003372558385424e-08,0.34265509078751527
mnist,dp_kfc,public,,42,3,fc2,True,0.9226830815844909,0.4927184419845949,0.8130454469546086,12.520221639178805,fc2,1290.0,206922,1.0,10069172,3820524.9857649626,0.0010728217082449506,4098.742141620883,483.3034640883219,0.0,0.4823034640883219
mnist,dp_kfc,public,,42,4,conv1,True,0.9659774451333032,0.9922542403752851,0.9528434901005852,11.19337359136018,conv1,160.0,206922,1.0,10069172,389.56779598597933,0.030600689356173133,11.921043108135985,3.595412120593924,0.00017953297727413078,0.003240907163131647
mnist,dp_kfc,public,,42,4,conv2,True,0.9544493248184623,0.6824628897673299,0.9775553056644785,11.133454463194015,conv2,4640.0,206922,1.0,10069172,69201.42059634894,0.0016621998929363113,115.02659390629185,3.2598936357558177,0.00037607946047503254,0.0034858726754968578
mnist,dp_kfc,public,,42,4,fc1,True,0.7513777136940525,0.6653232422545251,0.720117487717264,12.953775809221288,fc1,200832.0,206922,1.0,10069172,4519925.290460764,0.001006129773568153,4547.6314090362575,474.8253208189024,1.9493935399162577e-07,0.47391788296020165
mnist,dp_kfc,public,,42,4,fc2,True,0.9062708560465905,0.5336613701116278,0.7576214970473963,14.636332679964596,fc2,1290.0,206922,1.0,10069172,2354989.920638522,0.0019274251097743322,4539.066706304149,655.4992948654142,4.135653436716467e-09,0.6545020057833257
mnist,dp_kfc,public,,42,5,conv1,True,0.9663790212973998,0.9715354833250512,0.9438468569156927,13.08716061099737,conv1,160.0,206922,1.0,10069172,386.72217842496497,0.03049287652583704,11.792271636515178,3.3129472653485994,0.0002845193593137134,0.003255544898725702
mnist,dp_kfc,public,,42,5,conv2,True,0.949874764778536,0.6266485067050519,0.9733357668773396,13.098324343310928,conv2,4640.0,206922,1.0,10069172,73905.02720432405,0.0015649566858470907,115.65816644111804,3.5117054150081537,0.00032096617921588736,0.003638844084595063
mnist,dp_kfc,public,,42,5,fc1,True,0.7290926393151735,0.6853149850961333,0.7623629279309692,15.487579067113488,fc1,200832.0,206922,1.0,10069172,4069794.8996952157,0.0010136140278849144,4125.201200945548,464.45396090733055,8.427115596423394e-07,0.4638453616291089
mnist,dp_kfc,public,,42,5,fc2,True,0.8848310017139436,0.5645887536781276,0.8107504768997122,17.40231187075035,fc2,1290.0,206922,1.0,10069172,2272837.6239865315,0.0020565814362192795,4674.275665031436,637.0455978358631,0.0,0.6360455978358631
