estimator,k,label_seed,layer,C_relative_error
KFAC-M-1,1,0,conv1,0.07548022270202637
KFAC-M-1,1,0,conv2,0.17461463809013367
KFAC-M-1,1,0,fc1,1.352474570274353
KFAC-M-1,1,0,fc2,1.1512815952301025
KFAC-U-9,9,1,conv1,0.03381046652793884
KFAC-U-9,9,1,conv2,0.06781186163425446
KFAC-U-9,9,1,fc1,0.596771776676178
KFAC-U-9,9,1,fc2,0.5851380825042725
KFAC-U-1,1,1,conv1,0.10747474431991577
KFAC-U-1,1,1,conv2,0.20867061614990234
KFAC-U-1,1,1,fc1,1.3587682247161865
KFAC-U-1,1,1,fc2,1.1477640867233276
KFAC-M-3,3,0,conv1,0.0438784584403038
KFAC-M-3,3,0,conv2,0.1006755605340004
KFAC-M-3,3,0,fc1,0.649287223815918
KFAC-M-3,3,0,fc2,0.46838074922561646
KFAC-M-9,9,1,conv1,0.03398726508021355
KFAC-M-9,9,1,conv2,0.06939120590686798
KFAC-M-9,9,1,fc1,0.5965676307678223
KFAC-M-9,9,1,fc2,0.5913709402084351
KFAC-U-9,9,0,conv1,0.02165071852505207
KFAC-U-9,9,0,conv2,0.056663546711206436
KFAC-U-9,9,0,fc1,0.38080811500549316
KFAC-U-9,9,0,fc2,0.3316625952720642
KFAC-M-9,9,0,conv1,0.02165071852505207
KFAC-M-9,9,0,conv2,0.056663546711206436
KFAC-M-9,9,0,fc1,0.38080811500549316
KFAC-M-9,9,0,fc2,0.3316625952720642
KFAC-M-1,1,1,conv1,0.10747474431991577
KFAC-M-1,1,1,conv2,0.20867061614990234
KFAC-M-1,1,1,fc1,1.3587682247161865
KFAC-M-1,1,1,fc2,1.1477640867233276
KFAC-U-3,3,0,conv1,0.0438784584403038
KFAC-U-3,3,0,conv2,0.1006755605340004
KFAC-U-3,3,0,fc1,0.649287223815918
KFAC-U-3,3,0,fc2,0.46838074922561646
KFAC-U-3,3,1,conv1,0.05457295849919319
KFAC-U-3,3,1,conv2,0.10563758760690689
KFAC-U-3,3,1,fc1,0.7090970873832703
KFAC-U-3,3,1,fc2,0.589354932308197
KFAC-U-1,1,0,conv1,0.07548022270202637
KFAC-U-1,1,0,conv2,0.17461463809013367
KFAC-U-1,1,0,fc1,1.352474570274353
KFAC-U-1,1,0,fc2,1.1512815952301025
KFAC-M-3,3,1,conv1,0.05457295849919319
KFAC-M-3,3,1,conv2,0.10563758760690689
KFAC-M-3,3,1,fc1,0.7090970873832703
KFAC-M-3,3,1,fc2,0.589354932308197
