estimator,k,label_seed,reverse_vectors,vjp_calls,forward_calls,samples,median_build_seconds,build_median_seconds,min_build_seconds,max_build_seconds,warmup,repeats,baseline_allocated,peak_allocated_absolute,peak_allocated_increment,baseline_reserved,peak_reserved_absolute,peak_reserved_increment,synthetic_samples
Private-KFLR,9,-1,36,9,1,4,0.006457909941673279,0.006457909941673279,0.0064307693392038345,0.006466207094490528,2,5,9374720,29748736,20374016,23068672,46137344,23068672,0
KFLR,9,-1,36,9,1,4,0.006952508352696896,0.006952508352696896,0.006421535275876522,0.007161388173699379,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-M-1,1,0,4,1,1,4,0.0026002852246165276,0.0026002852246165276,0.0025776876136660576,0.0026222020387649536,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-U-9,9,1,36,9,1,4,0.009980808943510056,0.009980808943510056,0.009880021214485168,0.015107966028153896,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-U-1,1,1,4,1,1,4,0.0025697704404592514,0.0025697704404592514,0.0025559235364198685,0.0025784019380807877,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-M-3,3,0,12,3,1,4,0.003885297104716301,0.003885297104716301,0.003829582594335079,0.004021739587187767,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-M-9,9,1,36,9,1,4,0.008468602783977985,0.008468602783977985,0.008444520644843578,0.01135548111051321,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-U-9,9,0,36,9,1,4,0.009017438627779484,0.009017438627779484,0.008496705442667007,0.010616864077746868,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-M-9,9,0,36,9,1,4,0.008259625174105167,0.008259625174105167,0.008226634003221989,0.008638164959847927,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-M-1,1,1,4,1,1,4,0.0029497621580958366,0.0029497621580958366,0.002928316593170166,0.0029789209365844727,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-U-3,3,0,12,3,1,4,0.004394509829580784,0.004394509829580784,0.004362599924206734,0.0044115884229540825,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-U-3,3,1,12,3,1,4,0.005537879653275013,0.005537879653275013,0.00522955134510994,0.010440243408083916,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFRA-block,0,-1,0,0,1,4,0.008857154287397861,0.008857154287397861,0.008512601256370544,0.01669614389538765,2,5,9374720,31420928,22046208,23068672,50331648,27262976,4
KFAC-U-1,1,0,4,1,1,4,0.0037644943222403526,0.0037644943222403526,0.0037155812606215477,0.003975387662649155,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-M-3,3,1,12,3,1,4,0.004480772651731968,0.004480772651731968,0.004416617564857006,0.010007400996983051,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
