estimator,layer,kron_relative_error,A_relative_error,A_cosine,C_relative_error,C_cosine,C_relative_error_vs_KFLR,scope
KFAC-M-1,conv1,0.7888190481116971,0.800472780401398,0.8531770266840706,0.423440471952064,0.9365138868986151,0.09147748351097107,layer_seed_mean
KFAC-M-1,conv2,0.6855011437605134,0.6743379291596008,0.8004744708496921,0.3580351553477219,0.9478443834371182,0.191642627120018,layer_seed_mean
KFAC-M-1,fc1,1.0673971295554887,0.8125958573876252,0.6115994597496077,1.5833017324068952,0.4742317028073231,1.3556213974952698,layer_seed_mean
KFAC-M-1,fc2,0.9320771182274131,0.6206225215308963,0.8130745109643247,1.1595121155106876,0.6489639469819415,1.149522840976715,layer_seed_mean
KFAC-M-3,conv1,0.7933742359490743,0.800472780401398,0.8531770266840706,0.3987187705215738,0.9388880367633875,0.0492257084697485,layer_seed_mean
KFAC-M-3,conv2,0.6844359596984255,0.6743379291596008,0.8004744708496921,0.29855776724176186,0.9604505405316024,0.10315657407045364,layer_seed_mean
KFAC-M-3,fc1,0.9329826835905972,0.8125958573876252,0.6115994597496077,1.009139715916707,0.6448080003223504,0.6791921555995941,layer_seed_mean
KFAC-M-3,fc2,0.6981975264948076,0.6206225215308963,0.8130745109643247,0.5300931550927215,0.8824112521271388,0.5288678407669067,layer_seed_mean
KFAC-M-9,conv1,0.7946875081273188,0.800472780401398,0.8531770266840706,0.3986688620473612,0.9377737271170548,0.02781899180263281,layer_seed_mean
KFAC-M-9,conv2,0.6843061635472985,0.6743379291596008,0.8004744708496921,0.2848087502301542,0.9633276366195223,0.06302737630903721,layer_seed_mean
KFAC-M-9,fc1,0.9127594232374163,0.8125958573876252,0.6115994597496077,0.8878375340087806,0.6848864210635237,0.4886878728866577,layer_seed_mean
KFAC-M-9,fc2,0.68483133414322,0.6206225215308963,0.8130745109643247,0.46491377730119754,0.9024742333260805,0.46151676774024963,layer_seed_mean
KFAC-U-1,conv1,0.7888190481116971,0.800472780401398,0.8531770266840706,0.423440471952064,0.9365138868986151,0.09147748351097107,layer_seed_mean
KFAC-U-1,conv2,0.6855011437605134,0.6743379291596008,0.8004744708496921,0.3580351553477219,0.9478443834371182,0.191642627120018,layer_seed_mean
KFAC-U-1,fc1,1.0673971295554887,0.8125958573876252,0.6115994597496077,1.5833017324068952,0.4742317028073231,1.3556213974952698,layer_seed_mean
KFAC-U-1,fc2,0.9320771182274131,0.6206225215308963,0.8130745109643247,1.1595121155106876,0.6489639469819415,1.149522840976715,layer_seed_mean
KFAC-U-3,conv1,0.7933742359490743,0.800472780401398,0.8531770266840706,0.3987187705215738,0.9388880367633875,0.0492257084697485,layer_seed_mean
KFAC-U-3,conv2,0.6844359596984255,0.6743379291596008,0.8004744708496921,0.29855776724176186,0.9604505405316024,0.10315657407045364,layer_seed_mean
KFAC-U-3,fc1,0.9329826835905972,0.8125958573876252,0.6115994597496077,1.009139715916707,0.6448080003223504,0.6791921555995941,layer_seed_mean
KFAC-U-3,fc2,0.6981975264948076,0.6206225215308963,0.8130745109643247,0.5300931550927215,0.8824112521271388,0.5288678407669067,layer_seed_mean
KFAC-U-9,conv1,0.7939830733280483,0.800472780401398,0.8531770266840706,0.40045851481288725,0.9378742221366951,0.027730592526495457,layer_seed_mean
KFAC-U-9,conv2,0.6836173232873459,0.6743379291596008,0.8004744708496921,0.2851101356535364,0.9635270835170875,0.062237704172730446,layer_seed_mean
KFAC-U-9,fc1,0.91313439393801,0.8125958573876252,0.6115994597496077,0.8909413289251333,0.6844911252932843,0.48878994584083557,layer_seed_mean
KFAC-U-9,fc2,0.6838380142530451,0.6206225215308963,0.8130745109643247,0.461283922176291,0.9037505369167289,0.45840033888816833,layer_seed_mean
KFLR,conv1,0.7951678975449663,0.800472780401398,0.8531770266840706,0.3963985958711656,0.9379929850387522,0.0,layer_seed_mean
KFLR,conv2,0.6843163663090862,0.6743379291596008,0.8004744708496921,0.2760965350305212,0.9651132442941741,0.0,layer_seed_mean
KFLR,fc1,0.8833637007380882,0.8125958573876252,0.6115994597496077,0.7036651998280737,0.7669681812748043,0.0,layer_seed_mean
KFLR,fc2,0.6208349492163926,0.6206225215308963,0.8130745109643247,0.022237152129976255,0.9997527362410144,0.0,layer_seed_mean
KFRA-block,conv1,0.7958164412077504,0.800472780401398,0.8531770266840706,0.40813953193077496,0.9343052881170837,0.0328964926302433,layer_seed_mean
KFRA-block,conv2,0.6846558181748457,0.6743379291596008,0.8004744708496921,0.27687681999283104,0.964831673657972,0.026011886075139046,layer_seed_mean
KFRA-block,fc1,0.883296887459135,0.8125958573876252,0.6115994597496077,0.7034283126098947,0.7671770854064581,0.004933679010719061,layer_seed_mean
KFRA-block,fc2,0.6208349655917005,0.6206225215308963,0.8130745109643247,0.022237148691286686,0.9997527363050573,2.4671871301507053e-07,layer_seed_mean
KFAC-M-1,ALL,0.8684486099137781,0.72700727211988,0.7695813670619238,0.8810723688043421,0.7518884800312495,0.6970660872757435,global_mean
KFAC-M-3,ALL,0.7772476014332261,0.72700727211988,0.7695813670619238,0.559127352193191,0.8566394574361198,0.34011056972667575,global_mean
KFAC-M-9,ALL,0.7691461072638134,0.72700727211988,0.7695813670619238,0.5090572308968734,0.8721155045315453,0.26026275218464434,global_mean
