method,seed,epoch,privacy_valid,base_reset_error,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,base_W_kron,base_W_G,base_W_A,base_log_kappa_kron,corrected_W_kron,corrected_W_G,corrected_W_A,corrected_log_kappa_kron,gain_A,gain_G,gain_kron
Wiener-Residual-AG,42,1,True,0.0,543.8381415473091,2323.12744140625,0.25,0.7473062944952246,0.9722222222222222,0.03756328632258348,conv1,0.9934451125352037,0.502943863879957,0.7653762821966144,4.067471442264409,1.0683890243866,0.5286541607450906,0.82079107604577,4.517930222679587,-0.07240202647789956,-0.05111961535188378,-0.07543840208760468
Wiener-Residual-AG,42,1,True,0.0,543.8381415473091,2323.12744140625,0.25,0.7473062944952246,0.9722222222222222,0.03756328632258348,conv2,4.750183504532071,0.5762618390718981,4.085320228057101,19.87976866877738,4.789712318053286,0.5994695730547179,4.075802834765652,20.05504353340054,0.0023296566144522897,-0.04027289750818341,-0.008321533996213165
Wiener-Residual-AG,42,1,True,0.0,543.8381415473091,2323.12744140625,0.25,0.7473062944952246,0.9722222222222222,0.03756328632258348,fc1,150.44228876381962,5.2384275106428815,28.19246984250775,inf,149.65290074027837,5.206897314590923,28.20836661701505,inf,-0.0005638659754218632,0.006019019254900257,0.005247115222904613
Wiener-Residual-AG,42,1,True,0.0,543.8381415473091,2323.12744140625,0.25,0.7473062944952246,0.9722222222222222,0.03756328632258348,fc2,15.927089885831396,1.429324649614514,9.093514796196052,inf,16.352452995703196,1.4905397019097026,9.072523088388785,inf,0.0023084262001804383,-0.042827955364583004,-0.026706894537601562
Wiener-Residual-AG,42,2,True,0.0,15279.703518337674,27253.0625,0.0,0.998851928401898,0.8888888888888888,0.11111112161815646,conv1,0.9969947488311389,0.6011895926209836,0.6816425186443352,4.9984697635207125,1.0056870963191875,0.6030323638004063,0.6892161042087366,5.110028639286551,-0.011110788070356668,-0.0030652080509058783,-0.008718548917373298
Wiener-Residual-AG,42,2,True,0.0,15279.703518337674,27253.0625,0.0,0.998851928401898,0.8888888888888888,0.11111112161815646,conv2,5.032390336681236,0.6322539950360335,4.219829560490163,inf,5.095949528355534,0.6460068387094755,4.245926326819734,inf,-0.006184317625980119,-0.021752086631984316,-0.012630020213458545
Wiener-Residual-AG,42,2,True,0.0,15279.703518337674,27253.0625,0.0,0.998851928401898,0.8888888888888888,0.11111112161815646,fc1,143.0290717713009,5.447627728861717,25.805075473918283,inf,142.6182434316622,5.431473007864456,25.804983503652718,inf,3.5640378443389146e-06,0.002965459793016503,0.0028723415075754665
Wiener-Residual-AG,42,2,True,0.0,15279.703518337674,27253.0625,0.0,0.998851928401898,0.8888888888888888,0.11111112161815646,fc2,12.604000327646096,1.612800287155457,6.58725397456833,inf,12.78401917346007,1.6485193707694286,6.574972628778324,inf,0.001864410547615191,-0.02214724532134749,-0.01428267543115766
Wiener-Residual-AOnly,42,1,True,0.0,544.4147563510471,2335.10888671875,0.25,0.7473062944952246,0.9722222222222222,0.037721391963297414,conv1,0.9934706361709151,0.5029756553131577,0.7653762821966144,4.067360273779854,1.0474465696212456,0.5029756553273576,0.8208040373036893,4.312221199422433,-0.07241896096910458,-2.823171133087393e-11,-0.05433067821548028
Wiener-Residual-AOnly,42,1,True,0.0,544.4147563510471,2335.10888671875,0.25,0.7473062944952246,0.9722222222222222,0.037721391963297414,conv2,4.751102775933913,0.576334693005826,4.085986143531241,19.884187429986618,4.740155311029951,0.576334693005826,4.07643046235951,19.887909132673812,0.002338647473599334,0.0,0.0023041945039402644
Wiener-Residual-AOnly,42,1,True,0.0,544.4147563510471,2335.10888671875,0.25,0.7473062944952246,0.9722222222222222,0.037721391963297414,fc1,150.45696014684944,5.238789046023847,28.193342815105456,inf,150.54128392590331,5.238789046023847,28.209162981632293,inf,-0.000561131279486317,0.0,-0.000560451168038841
Wiener-Residual-AOnly,42,1,True,0.0,544.4147563510471,2335.10888671875,0.25,0.7473062944952246,0.9722222222222222,0.037721391963297414,fc2,15.926324049050114,1.429324649614514,9.093073994316974,inf,15.889378919355043,1.429324649614514,9.071808837165591,inf,0.0023386103714402293,0.0,0.002319752479058424
Wiener-Residual-AOnly,42,2,True,0.0,15268.228502061633,27495.27734375,0.0,0.998851928401898,0.8888888888888888,0.11111112198369016,conv1,1.0130374473492962,0.6192297979761927,0.6816425186443352,5.0695473825866735,1.0201020957417588,0.6192297978284939,0.6892161297771121,5.172789394886346,-0.011110825580304814,2.3852026118677447e-10,-0.006973728770785185
Wiener-Residual-AOnly,42,2,True,0.0,15268.228502061633,27495.27734375,0.0,0.998851928401898,0.8888888888888888,0.11111112198369016,conv2,5.030178929119848,0.6308984837345013,4.2206727030292575,inf,5.06079240271616,0.6308984837345013,4.246768825710201,inf,-0.006182929716917836,0.0,-0.006085961161160671
Wiener-Residual-AOnly,42,2,True,0.0,15268.228502061633,27495.27734375,0.0,0.998851928401898,0.8888888888888888,0.11111112198369016,fc1,129.06021880488794,5.036616512568097,25.114637216638627,inf,128.9494741777336,5.036616512568097,25.093053840171358,inf,0.000859394315796461,0.0,0.0008580849171017998
Wiener-Residual-AOnly,42,2,True,0.0,15268.228502061633,27495.27734375,0.0,0.998851928401898,0.8888888888888888,0.11111112198369016,fc2,12.844313751291892,1.5844553959042305,6.802940701334439,inf,12.860158905462256,1.5844553959042305,6.811462626450994,inf,-0.0012526825516622965,0.0,-0.0012336318216121449
