p,seed,epoch,layer,mean,median,p90,p99
0.625,2024,1,conv1,0.00016866164514794946,0.0001229766057804227,0.0003412024525459856,0.0008207750506699085
0.625,2024,1,conv2,0.010264198295772076,0.008306629955768585,0.018875975161790848,0.03375905007123947
0.625,2024,1,fc1,0.4940369129180908,0.4924377202987671,0.5958261489868164,0.749983012676239
0.625,2024,1,fc2,0.49553021788597107,0.49743717908859253,0.604786217212677,0.6946200132369995
0.625,2024,2,conv1,0.002087024971842766,0.0018210199195891619,0.003601969452574849,0.005880699492990971
0.625,2024,2,conv2,0.04781951755285263,0.04577583819627762,0.06396647542715073,0.08752493560314178
0.625,2024,2,fc1,0.7609992623329163,0.7646228671073914,0.8272868394851685,0.8606793880462646
0.625,2024,2,fc2,0.18909424543380737,0.18461376428604126,0.25881803035736084,0.3387003540992737
0.625,2024,3,conv1,0.003603618824854493,0.0031304070726037025,0.006242070812731981,0.009976192377507687
0.625,2024,3,conv2,0.06774285435676575,0.06481784582138062,0.09223045408725739,0.12526242434978485
0.625,2024,3,fc1,0.6531031727790833,0.6613212823867798,0.7640845775604248,0.8285336494445801
0.625,2024,3,fc2,0.27555036544799805,0.2653369605541229,0.4144918620586395,0.5273659825325012
0.625,2024,4,conv1,0.005230834241956472,0.004518845584243536,0.009063368663191795,0.013626044616103172
0.625,2024,4,conv2,0.08430593460798264,0.08255408704280853,0.1064503937959671,0.12909607589244843
0.625,2024,4,fc1,0.7161448001861572,0.7170278429985046,0.8155286908149719,0.8650036454200745
0.625,2024,4,fc2,0.19431842863559723,0.19137221574783325,0.30236220359802246,0.39002126455307007
0.625,2024,5,conv1,0.007855504751205444,0.006442531943321228,0.014173499308526516,0.02201496809720993
0.625,2024,5,conv2,0.11717680841684341,0.11502629518508911,0.1437469869852066,0.17247329652309418
0.625,2024,5,fc1,0.7568953037261963,0.760684609413147,0.8159388899803162,0.8480561971664429
0.625,2024,5,fc2,0.11807240545749664,0.11108717322349548,0.18432457745075226,0.25229331851005554
