task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
mnist,dp_kfm_a,pink,0.25,42,1,conv1,True,0.8618116263472527,0.7908662092298306,conv1,160.0,105.7885154551451,160,1.0,206922,1.5124515105596774,19996248,2.2722233179630518,0.2712456882116675,153.5836459486614,26.65655667793419,0.04390336635477699,1.1703125735882218
mnist,dp_kfm_a,pink,0.25,42,1,conv2,True,0.8169699345649275,0.6628943531273978,conv2,4640.0,1619.1368693591198,4640,1.0,206922,2.8657243793334075,19996248,8.86317624200414,0.3552338573380646,4177.279212927446,6171.028340240056,0.0019927776100180064,12.297487107216964
mnist,dp_kfm_a,pink,0.25,42,1,fc1,True,0.7100319801040785,0.7637139184871902,fc1,200832.0,46384.92666003677,200832,1.0,206922,4.329682387382712,19996248,13.989966916358737,0.24160845425370006,191122.97120337473,38305.9951968204,0.001,38.3059951968204
mnist,dp_kfm_a,pink,0.25,42,1,fc2,True,0.854649087127294,0.5625582573472794,fc2,1290.0,270.9240792423528,1290,1.0,206922,4.7614815324186885,19996248,6.27245723107577,0.1987298624285926,1232.8839801835322,1547.9282810655716,0.001,1.5479282810655717
mnist,dp_kfm_a,pink,0.25,42,2,conv1,True,0.861674992974544,0.7909976554819105,conv1,160.0,105.78750884655608,160,1.0,206922,1.5124659021140077,19996248,2.2711322568610384,0.27119957408956985,153.5860232059421,26.605394469385256,0.04394917128192075,1.1692850385580797
mnist,dp_kfm_a,pink,0.25,42,2,conv2,True,0.9228705472745935,0.8283804005070349,conv2,4640.0,1791.253509548646,4640,1.0,206922,2.5903647782212422,19996248,10.256870138494488,0.40577293557696764,4010.4988798653803,11067.752223441048,0.0027583906210513947,30.52918392926051
mnist,dp_kfm_a,pink,0.25,42,2,fc1,True,0.6178954635858257,0.9173837600706446,fc1,200832.0,77596.2086230233,200832,1.0,206922,2.5881676896828676,19996248,39.640014472916505,0.4591016710947297,163786.47357773499,2469080.3177655917,0.001052841296256359,2599.5497223173884
mnist,dp_kfm_a,pink,0.25,42,2,fc2,True,0.8670674404035156,0.8362182161539253,fc2,1290.0,975.7201821470314,1290,1.0,206922,1.3221003558227207,19996248,34.7986446097884,0.5931315299016472,1030.7707879558461,1466389.4076470858,0.001,1466.3894076470858
mnist,dp_kfm_a,pink,0.25,42,3,conv1,True,0.8611448779803761,0.7913566638596873,conv1,160.0,105.8450988202481,160,1.0,206922,1.5116429743404625,19996248,2.267446079238547,0.27060452091874077,153.61449701547252,26.43308622538906,0.04414639619698689,1.1669254972151422
mnist,dp_kfm_a,pink,0.25,42,3,conv2,True,0.9297069005101943,0.8343921317597172,conv2,4640.0,1830.6130070851386,4640,1.0,206922,2.5346700706492915,19996248,10.222884158502737,0.40761039938355476,4009.4807413080807,10921.788402473965,0.0029895800697150392,32.651560933681026
mnist,dp_kfm_a,pink,0.25,42,3,fc1,True,0.6114036071845603,0.9223416259994387,fc1,200832.0,83919.35873987786,200832,1.0,206922,2.3931546071808354,19996248,40.2361053787105,0.4698047864545162,164654.35017917308,2620980.245155515,0.0010412567414250413,2729.1133494100377
mnist,dp_kfm_a,pink,0.25,42,3,fc2,True,0.7681675631939042,0.8579296518351378,fc2,1290.0,1303.9175002245586,1290,1.0,206922,0.9893263950961915,19996248,45.10428434779182,0.7185229264198828,1000.0656003632834,4138768.9830153375,0.001,4138.768983015338
mnist,dp_kfm_a,pink,0.25,42,4,conv1,True,0.8614926739551457,0.7910968550528737,conv1,160.0,105.83650977605328,160,1.0,206922,1.5117656500441574,19996248,2.2693496590765614,0.27092421442429104,153.60107850909273,26.52196311677133,0.0440558284960565,1.1684470584512139
mnist,dp_kfm_a,pink,0.25,42,4,conv2,True,0.9305513987491424,0.8359238495782467,conv2,4640.0,1832.757451314122,4640,1.0,206922,2.5317043434596496,19996248,10.36809545526031,0.40923762150051457,4010.4673862682585,11555.691731161234,0.0027971430692792314,32.32292303654497
mnist,dp_kfm_a,pink,0.25,42,4,fc1,True,0.6111222775291094,0.9229408147273377,fc1,200832.0,86083.76023582953,200832,1.0,206922,2.332983590050128,19996248,37.717364290800546,0.4662281133104354,167150.3646936932,2023789.5338468954,0.0010549882422276622,2135.074162951876
mnist,dp_kfm_a,pink,0.25,42,4,fc2,True,0.7728838280245905,0.8449221790465435,fc2,1290.0,1384.462335066743,1290,1.0,206922,0.9317696605576568,19996248,46.90535916587247,0.7599587519192071,995.1013959603807,4840495.97401524,0.001,4840.49597401524
mnist,dp_kfm_a,pink,0.25,42,5,conv1,True,0.8616006439084417,0.7910250283976866,conv1,160.0,105.80372130296774,160,1.0,206922,1.5122341447881764,19996248,2.2709817098258123,0.27105665553259006,153.59279874222113,26.598340780623076,0.04395867931369705,1.1692279326518402
mnist,dp_kfm_a,pink,0.25,42,5,conv2,True,0.9287876566643114,0.8345391508971169,conv2,4640.0,1852.5131770983303,4640,1.0,206922,2.504705530498751,19996248,10.377513090336153,0.40228804535453105,4035.4044049814534,11597.734420455303,0.0027464256563532294,31.852315367909398
mnist,dp_kfm_a,pink,0.25,42,5,fc1,True,0.5873024127551026,0.9286939570984997,fc1,200832.0,87505.62296656128,200832,1.0,206922,2.2950753699193065,19996248,35.87701322610919,0.46454560063050165,169242.20261060522,1656781.066464964,0.001,1656.7810664649642
mnist,dp_kfm_a,pink,0.25,42,5,fc2,True,0.7839431425743763,0.8476564646424009,fc2,1290.0,1425.7691638708166,1290,1.0,206922,0.904774792924952,19996248,48.06797918995653,0.7487359619322025,1001.7331297856628,5338551.761697355,0.001,5338.551761697355
