method,seed,epoch,p,train_loss,test_accuracy,test_loss,noise_multiplier,epsilon,accountant_steps,batches,samples,private_train_seconds,seconds_per_batch,private_samples_per_second,preconditioner_build_seconds,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,first_pass_seconds,norm_seconds,second_pass_seconds,bk_reconstruction_seconds,aggregate_transform_seconds,noise_step_seconds,bk_cache_bytes,temporary_per_sample_grad_bytes,ghost_layer_count,fast_layer_count,fallback_layer_count,fallback_layers,requires_second_backward,backward_calls,first_pass_parameter_grad_count,layer_strategies,bk_ghost_layers,bk_fast_layers,fallback_layer_names,cache_empty_after_step,batch_end_allocated_bytes,train_allocated_at_phase_start_bytes,train_reserved_at_phase_start_bytes,train_peak_cuda_allocated_bytes,train_peak_cuda_reserved_bytes,train_incremental_peak_bytes,build_allocated_at_phase_start_bytes,build_reserved_at_phase_start_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,build_incremental_peak_bytes,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,curvature_backward_seconds,m_p,m_reference,scale_match,operator_gain_p10,operator_gain_p50,operator_gain_p90,operator_gain_p99,transformed_eig_p10,transformed_eig_p50,transformed_eig_p90,transformed_eig_p99,transformed_condition_proxy,operator_state_bytes
ghost2,42,1,0.25,0.7439319577991453,0.9055,0.49281440014839173,1.068115234375,0.7861127240333559,234,234,59904,12.008085559122264,0.05131660495351395,4988.638672256321,0.15110772103071213,135473664,245366784,0.42324822449684135,4.580837268829344,0.4022617917060852,0.0,0.025080031841993373,0.02527526471018799,64028672,0,4,0,0,0,True,2,8,"{""fc2"": ""ghost"", ""fc1"": ""ghost"", ""conv2"": ""ghost"", ""conv1"": ""ghost""}","[""fc2"", ""fc1"", ""conv2"", ""conv1""]",[],[],True,"[20989440, 20992000, 20994560, 20997120, 20999680, 21002240, 21004800, 21007360, 21009920, 21012480, 21015040, 21017600, 21020160, 21022720, 21025280, 21027840, 21030400, 21032960, 21035520, 21038080, 21040640, 21043200, 21045760, 21048320, 21050880, 21053440, 21056000, 21058560, 21061120, 21063680, 21066240, 21068800, 21071360, 21073920, 21076480, 21079040, 21081600, 21084160, 21086720, 21089280, 21091840, 21094400, 21096960, 21099520, 21102080, 21104640, 21107200, 21109760, 21112320, 21114880, 21117440, 21120000, 21122560, 21125120, 21127680, 21130240, 21132800, 21135360, 21137920, 21140480, 21143040, 21145600, 21148160, 21150720, 21153280, 21155840, 21158400, 21160960, 21163520, 21166080, 21168640, 21171200, 21173760, 21176320, 21178880, 21181440, 21184000, 21186560, 21189120, 21191680, 21194240, 21196800, 21199360, 21201920, 21204480, 21207040, 21209600, 21212160, 21214720, 21217280, 21219840, 21222400, 21224960, 21227520, 21230080, 21232640, 21235200, 21237760, 21240320, 21242880, 21245440, 21248000, 21250560, 21253120, 21255680, 21258240, 21260800, 21263360, 21265920, 21268480, 21271040, 21273600, 21276160, 21278720, 21281280, 21283840, 21286400, 21288960, 21291520, 21294080, 21296640, 21299200, 21301760, 21304320, 21306880, 21309440, 21312000, 21314560, 21317120, 21319680, 21322240, 21324800, 21327360, 21329920, 21332480, 21335040, 21337600, 21340160, 21342720, 21345280, 21347840, 21350400, 21352960, 21355520, 21358080, 21360640, 21363200, 21365760, 21368320, 21370880, 21373440, 21376000, 21378560, 21381120, 21383680, 21386240, 21388800, 21391360, 21393920, 21396480, 21399040, 21401600, 21404160, 21406720, 21409280, 21411840, 21414400, 21416960, 21419520, 21422080, 21424640, 21427200, 21429760, 21432320, 21434880, 21437440, 21440000, 21442560, 21445120, 21447680, 21450240, 21452800, 21455360, 21457920, 21460480, 21463040, 21465600, 21468160, 21470720, 21473280, 21475840, 21478400, 21480960, 21483520, 21486080, 21488640, 21491200, 21493760, 21496320, 21498880, 21501440, 21504000, 21506560, 21509120, 21511680, 21514240, 21516800, 21519360, 21521920, 21524480, 21527040, 21529600, 21532160, 21534720, 21537280, 21539840, 21542400, 21544960, 21547520, 21550080, 21552640, 21555200, 21557760, 21560320, 21562880, 21565440, 21568000, 21570560, 21573120, 21575680, 21578240, 21580800, 21583360, 21585920]",19348480,245366784,135473664,245366784,116125184,9349120,241172480,167368192,245366784,158019072,10,0,0,2560,0.0,8836.037795034763,97661.03231462659,3.3245423750321654,10.710516041297112,15.69414340618927,18.43214279340421,18.69527564827058,0.019819825473503704,0.249660265789942,0.9501841942665672,5.523257306044437,47.94109794442079,9998116
ghost2,42,2,0.25,0.4413704505333534,0.9336,0.36606924163103105,1.068115234375,0.8385078418579571,468,234,59904,12.007673462852836,0.05131484385834545,4988.809879392552,0.1646450962871313,135473664,245366784,0.42414233553409575,4.572779510498048,0.40122780716419215,0.0,0.025359071820974376,0.01679539228230711,64028672,0,4,0,0,0,True,2,8,"{""fc2"": ""ghost"", ""fc1"": ""ghost"", ""conv2"": ""ghost"", ""conv1"": ""ghost""}","[""fc2"", ""fc1"", ""conv2"", ""conv1""]",[],[],True,"[20989440, 20992000, 20994560, 20997120, 20999680, 21002240, 21004800, 21007360, 21009920, 21012480, 21015040, 21017600, 21020160, 21022720, 21025280, 21027840, 21030400, 21032960, 21035520, 21038080, 21040640, 21043200, 21045760, 21048320, 21050880, 21053440, 21056000, 21058560, 21061120, 21063680, 21066240, 21068800, 21071360, 21073920, 21076480, 21079040, 21081600, 21084160, 21086720, 21089280, 21091840, 21094400, 21096960, 21099520, 21102080, 21104640, 21107200, 21109760, 21112320, 21114880, 21117440, 21120000, 21122560, 21125120, 21127680, 21130240, 21132800, 21135360, 21137920, 21140480, 21143040, 21145600, 21148160, 21150720, 21153280, 21155840, 21158400, 21160960, 21163520, 21166080, 21168640, 21171200, 21173760, 21176320, 21178880, 21181440, 21184000, 21186560, 21189120, 21191680, 21194240, 21196800, 21199360, 21201920, 21204480, 21207040, 21209600, 21212160, 21214720, 21217280, 21219840, 21222400, 21224960, 21227520, 21230080, 21232640, 21235200, 21237760, 21240320, 21242880, 21245440, 21248000, 21250560, 21253120, 21255680, 21258240, 21260800, 21263360, 21265920, 21268480, 21271040, 21273600, 21276160, 21278720, 21281280, 21283840, 21286400, 21288960, 21291520, 21294080, 21296640, 21299200, 21301760, 21304320, 21306880, 21309440, 21312000, 21314560, 21317120, 21319680, 21322240, 21324800, 21327360, 21329920, 21332480, 21335040, 21337600, 21340160, 21342720, 21345280, 21347840, 21350400, 21352960, 21355520, 21358080, 21360640, 21363200, 21365760, 21368320, 21370880, 21373440, 21376000, 21378560, 21381120, 21383680, 21386240, 21388800, 21391360, 21393920, 21396480, 21399040, 21401600, 21404160, 21406720, 21409280, 21411840, 21414400, 21416960, 21419520, 21422080, 21424640, 21427200, 21429760, 21432320, 21434880, 21437440, 21440000, 21442560, 21445120, 21447680, 21450240, 21452800, 21455360, 21457920, 21460480, 21463040, 21465600, 21468160, 21470720, 21473280, 21475840, 21478400, 21480960, 21483520, 21486080, 21488640, 21491200, 21493760, 21496320, 21498880, 21501440, 21504000, 21506560, 21509120, 21511680, 21514240, 21516800, 21519360, 21521920, 21524480, 21527040, 21529600, 21532160, 21534720, 21537280, 21539840, 21542400, 21544960, 21547520, 21550080, 21552640, 21555200, 21557760, 21560320, 21562880, 21565440, 21568000, 21570560, 21573120, 21575680, 21578240, 21580800, 21583360, 21585920]",19352576,245366784,135473664,245366784,116121088,9353216,245366784,167372288,245366784,158019072,10,0,0,2560,0.0,35354.328024387905,155979.80997361775,2.100452669987925,3.841863896279103,7.209700424326303,10.36704211055231,11.787033765022027,0.0736342870169316,0.3224903320475238,1.3040061374568712,10.33422150314049,17.709224741417348,9998116
ghost2,42,3,0.25,0.36033578204293537,0.9486,0.3013994458882138,1.068115234375,0.8909029596825585,702,234,59904,11.931399930268526,0.05098888859089114,5020.701707268295,0.17496835254132748,135473664,247463936,0.4212215681076049,4.564888788223271,0.4008603193759921,0.0,0.02503427182137969,0.016530176281928963,64028672,0,4,0,0,0,True,2,8,"{""fc2"": ""ghost"", ""fc1"": ""ghost"", ""conv2"": ""ghost"", ""conv1"": ""ghost""}","[""fc2"", ""fc1"", ""conv2"", ""conv1""]",[],[],True,"[20989440, 20992000, 20994560, 20997120, 20999680, 21002240, 21004800, 21007360, 21009920, 21012480, 21015040, 21017600, 21020160, 21022720, 21025280, 21027840, 21030400, 21032960, 21035520, 21038080, 21040640, 21043200, 21045760, 21048320, 21050880, 21053440, 21056000, 21058560, 21061120, 21063680, 21066240, 21068800, 21071360, 21073920, 21076480, 21079040, 21081600, 21084160, 21086720, 21089280, 21091840, 21094400, 21096960, 21099520, 21102080, 21104640, 21107200, 21109760, 21112320, 21114880, 21117440, 21120000, 21122560, 21125120, 21127680, 21130240, 21132800, 21135360, 21137920, 21140480, 21143040, 21145600, 21148160, 21150720, 21153280, 21155840, 21158400, 21160960, 21163520, 21166080, 21168640, 21171200, 21173760, 21176320, 21178880, 21181440, 21184000, 21186560, 21189120, 21191680, 21194240, 21196800, 21199360, 21201920, 21204480, 21207040, 21209600, 21212160, 21214720, 21217280, 21219840, 21222400, 21224960, 21227520, 21230080, 21232640, 21235200, 21237760, 21240320, 21242880, 21245440, 21248000, 21250560, 21253120, 21255680, 21258240, 21260800, 21263360, 21265920, 21268480, 21271040, 21273600, 21276160, 21278720, 21281280, 21283840, 21286400, 21288960, 21291520, 21294080, 21296640, 21299200, 21301760, 21304320, 21306880, 21309440, 21312000, 21314560, 21317120, 21319680, 21322240, 21324800, 21327360, 21329920, 21332480, 21335040, 21337600, 21340160, 21342720, 21345280, 21347840, 21350400, 21352960, 21355520, 21358080, 21360640, 21363200, 21365760, 21368320, 21370880, 21373440, 21376000, 21378560, 21381120, 21383680, 21386240, 21388800, 21391360, 21393920, 21396480, 21399040, 21401600, 21404160, 21406720, 21409280, 21411840, 21414400, 21416960, 21419520, 21422080, 21424640, 21427200, 21429760, 21432320, 21434880, 21437440, 21440000, 21442560, 21445120, 21447680, 21450240, 21452800, 21455360, 21457920, 21460480, 21463040, 21465600, 21468160, 21470720, 21473280, 21475840, 21478400, 21480960, 21483520, 21486080, 21488640, 21491200, 21493760, 21496320, 21498880, 21501440, 21504000, 21506560, 21509120, 21511680, 21514240, 21516800, 21519360, 21521920, 21524480, 21527040, 21529600, 21532160, 21534720, 21537280, 21539840, 21542400, 21544960, 21547520, 21550080, 21552640, 21555200, 21557760, 21560320, 21562880, 21565440, 21568000, 21570560, 21573120, 21575680, 21578240, 21580800, 21583360, 21585920]",19352576,247463936,135473664,247463936,116121088,9353216,245366784,167372288,247463936,158019072,10,0,0,2560,0.0,44110.06451928591,167524.50552425277,1.948813708227084,3.0976316571098943,6.060965143289687,9.191266601726666,10.470533783221509,0.08625880554092975,0.3559075852127062,1.4936293249116852,11.010037251539742,17.315673635232045,9998116
ghost2,42,4,0.25,0.2998076870910123,0.9558,0.2619483633111231,1.068115234375,0.9432980775071597,936,234,59904,12.005422209389508,0.05130522311704918,4989.745379645936,0.16372761875391006,135473664,247463936,0.4209886726140976,4.580213481903074,0.4009068161249164,0.0,0.025002975806593934,0.01661324824392792,64028672,0,4,0,0,0,True,2,8,"{""fc2"": ""ghost"", ""fc1"": ""ghost"", ""conv2"": ""ghost"", ""conv1"": ""ghost""}","[""fc2"", ""fc1"", ""conv2"", ""conv1""]",[],[],True,"[20989440, 20992000, 20994560, 20997120, 20999680, 21002240, 21004800, 21007360, 21009920, 21012480, 21015040, 21017600, 21020160, 21022720, 21025280, 21027840, 21030400, 21032960, 21035520, 21038080, 21040640, 21043200, 21045760, 21048320, 21050880, 21053440, 21056000, 21058560, 21061120, 21063680, 21066240, 21068800, 21071360, 21073920, 21076480, 21079040, 21081600, 21084160, 21086720, 21089280, 21091840, 21094400, 21096960, 21099520, 21102080, 21104640, 21107200, 21109760, 21112320, 21114880, 21117440, 21120000, 21122560, 21125120, 21127680, 21130240, 21132800, 21135360, 21137920, 21140480, 21143040, 21145600, 21148160, 21150720, 21153280, 21155840, 21158400, 21160960, 21163520, 21166080, 21168640, 21171200, 21173760, 21176320, 21178880, 21181440, 21184000, 21186560, 21189120, 21191680, 21194240, 21196800, 21199360, 21201920, 21204480, 21207040, 21209600, 21212160, 21214720, 21217280, 21219840, 21222400, 21224960, 21227520, 21230080, 21232640, 21235200, 21237760, 21240320, 21242880, 21245440, 21248000, 21250560, 21253120, 21255680, 21258240, 21260800, 21263360, 21265920, 21268480, 21271040, 21273600, 21276160, 21278720, 21281280, 21283840, 21286400, 21288960, 21291520, 21294080, 21296640, 21299200, 21301760, 21304320, 21306880, 21309440, 21312000, 21314560, 21317120, 21319680, 21322240, 21324800, 21327360, 21329920, 21332480, 21335040, 21337600, 21340160, 21342720, 21345280, 21347840, 21350400, 21352960, 21355520, 21358080, 21360640, 21363200, 21365760, 21368320, 21370880, 21373440, 21376000, 21378560, 21381120, 21383680, 21386240, 21388800, 21391360, 21393920, 21396480, 21399040, 21401600, 21404160, 21406720, 21409280, 21411840, 21414400, 21416960, 21419520, 21422080, 21424640, 21427200, 21429760, 21432320, 21434880, 21437440, 21440000, 21442560, 21445120, 21447680, 21450240, 21452800, 21455360, 21457920, 21460480, 21463040, 21465600, 21468160, 21470720, 21473280, 21475840, 21478400, 21480960, 21483520, 21486080, 21488640, 21491200, 21493760, 21496320, 21498880, 21501440, 21504000, 21506560, 21509120, 21511680, 21514240, 21516800, 21519360, 21521920, 21524480, 21527040, 21529600, 21532160, 21534720, 21537280, 21539840, 21542400, 21544960, 21547520, 21550080, 21552640, 21555200, 21557760, 21560320, 21562880, 21565440, 21568000, 21570560, 21573120, 21575680, 21578240, 21580800, 21583360, 21585920]",19352576,247463936,135473664,247463936,116121088,9353216,247463936,167372288,247463936,158019072,10,0,0,2560,0.0,49003.91829808118,172419.87792593736,1.875764287369722,2.7425314660127333,5.498393893330233,8.480309630677514,10.302353021272843,0.10022749780615459,0.379255830414189,1.638406956997204,11.188071312902915,16.346880774834585,9998116
ghost2,42,5,0.25,0.2704936296511919,0.9587,0.2525098383852514,1.068115234375,0.995693195331761,1170,234,59904,11.937621777877212,0.051015477683235944,5018.084934724103,0.17499548569321632,135473664,247463936,0.42265449714660663,4.551880998611449,0.4016828482151032,0.0,0.02518511986732485,0.016574592314660515,64028672,0,4,0,0,0,True,2,8,"{""fc2"": ""ghost"", ""fc1"": ""ghost"", ""conv2"": ""ghost"", ""conv1"": ""ghost""}","[""fc2"", ""fc1"", ""conv2"", ""conv1""]",[],[],True,"[20989440, 20992000, 20994560, 20997120, 20999680, 21002240, 21004800, 21007360, 21009920, 21012480, 21015040, 21017600, 21020160, 21022720, 21025280, 21027840, 21030400, 21032960, 21035520, 21038080, 21040640, 21043200, 21045760, 21048320, 21050880, 21053440, 21056000, 21058560, 21061120, 21063680, 21066240, 21068800, 21071360, 21073920, 21076480, 21079040, 21081600, 21084160, 21086720, 21089280, 21091840, 21094400, 21096960, 21099520, 21102080, 21104640, 21107200, 21109760, 21112320, 21114880, 21117440, 21120000, 21122560, 21125120, 21127680, 21130240, 21132800, 21135360, 21137920, 21140480, 21143040, 21145600, 21148160, 21150720, 21153280, 21155840, 21158400, 21160960, 21163520, 21166080, 21168640, 21171200, 21173760, 21176320, 21178880, 21181440, 21184000, 21186560, 21189120, 21191680, 21194240, 21196800, 21199360, 21201920, 21204480, 21207040, 21209600, 21212160, 21214720, 21217280, 21219840, 21222400, 21224960, 21227520, 21230080, 21232640, 21235200, 21237760, 21240320, 21242880, 21245440, 21248000, 21250560, 21253120, 21255680, 21258240, 21260800, 21263360, 21265920, 21268480, 21271040, 21273600, 21276160, 21278720, 21281280, 21283840, 21286400, 21288960, 21291520, 21294080, 21296640, 21299200, 21301760, 21304320, 21306880, 21309440, 21312000, 21314560, 21317120, 21319680, 21322240, 21324800, 21327360, 21329920, 21332480, 21335040, 21337600, 21340160, 21342720, 21345280, 21347840, 21350400, 21352960, 21355520, 21358080, 21360640, 21363200, 21365760, 21368320, 21370880, 21373440, 21376000, 21378560, 21381120, 21383680, 21386240, 21388800, 21391360, 21393920, 21396480, 21399040, 21401600, 21404160, 21406720, 21409280, 21411840, 21414400, 21416960, 21419520, 21422080, 21424640, 21427200, 21429760, 21432320, 21434880, 21437440, 21440000, 21442560, 21445120, 21447680, 21450240, 21452800, 21455360, 21457920, 21460480, 21463040, 21465600, 21468160, 21470720, 21473280, 21475840, 21478400, 21480960, 21483520, 21486080, 21488640, 21491200, 21493760, 21496320, 21498880, 21501440, 21504000, 21506560, 21509120, 21511680, 21514240, 21516800, 21519360, 21521920, 21524480, 21527040, 21529600, 21532160, 21534720, 21537280, 21539840, 21542400, 21544960, 21547520, 21550080, 21552640, 21555200, 21557760, 21560320, 21562880, 21565440, 21568000, 21570560, 21573120, 21575680, 21578240, 21580800, 21583360, 21585920]",19352576,247463936,135473664,247463936,116121088,9353216,247463936,167372288,247463936,158019072,10,0,0,2560,0.0,51851.80969453766,175474.62076380092,1.8396076081269241,2.5617238963030617,5.1753355861575585,8.029754451526193,10.340583558584973,0.11314494952276137,0.400802175960522,1.7386094736709667,10.78834213408507,15.366213702019555,9998116
