method,seed,epoch,interval,global_update_index,interval_steps,sensor_type,update_frequency,layer,NSR_G,cos_G,clean_G_norm,noisy_G_norm,NSR_A,cos_A,clean_A_norm,noisy_A_norm
CLW-Noisy-Slow,42,1,1,1,6,noisy,1,conv1,497.9678220942631,0.01869409148682304,0.00011086022740486049,0.05520678765336053,284.9405928339765,0.12013486980103023,9.674216295458546e-05,0.027577224351805926
CLW-Noisy-Slow,42,1,1,1,6,noisy,1,conv2,4973.2489759769,-0.002997485458795141,6.498795938430479e-06,0.032320115085622804,5629.834343562337,0.00648154259658566,5.602644193296017e-05,0.31541995073376244
CLW-Noisy-Slow,42,1,1,1,6,noisy,1,fc1,19859.744468125587,-0.018452292861459028,1.9765728385376256e-06,0.03925421483322208,48443.75657440413,-0.0005674497574668834,3.5180993106823325e-05,1.7042994942299374
CLW-Noisy-Slow,42,1,1,1,6,noisy,1,fc2,746.6313401269754,-0.17804377888398276,1.572170328341801e-05,0.011735507776896067,1850.5651588523076,0.001783547352512959,0.00027523432583893923,0.5093394722970598
CLW-Noisy-Slow,42,2,1,2,6,noisy,1,conv1,273.80005375415413,0.023736228303951903,0.00023437601124596185,0.06417730018844844,126.31591262503821,0.3096021804012819,0.0002549510444316651,0.03228239492758504
CLW-Noisy-Slow,42,2,1,2,6,noisy,1,conv2,3989.8489370046773,-0.03201752375853682,8.033288717556579e-06,0.03205135422754863,4758.927456308643,0.0019629914861229755,6.608141161531999e-05,0.3144767716210989
CLW-Noisy-Slow,42,2,1,2,6,noisy,1,fc1,29201.92449863845,0.007240206780313381,1.3626509388182247e-06,0.039792068878019324,65464.82635511495,-0.0016455419030005868,2.60722876573166e-05,1.7068178065294901
CLW-Noisy-Slow,42,2,1,2,6,noisy,1,fc2,791.9100822025869,0.0779972395499931,1.4848793035132208e-05,0.011760058558201066,1511.2955642500197,0.019328375939768876,0.00033228349255872314,0.5021848824968325
CLW-Noisy-Fast,42,1,1,1,1,noisy,4,conv1,59613.20987268859,0.013101175528490102,4.184132555832307e-07,0.024943022310529847,54413.52788443482,0.021846544434924384,2.407675785979265e-07,0.01310107302462983
CLW-Noisy-Fast,42,1,1,1,1,noisy,4,conv2,13932.128468267643,0.09491748234237504,9.529644121503348e-07,0.013276926974133865,29107.278214801994,-0.002033203470022377,4.463098470784317e-06,0.1299086688453857
CLW-Noisy-Fast,42,1,1,1,1,noisy,4,fc1,11433.436770831353,-0.015326327169810227,1.4504171313754494e-06,0.016583241702443064,39940.56945853408,-0.0005495526688911777,1.7864572799279793e-05,0.713521240636079
CLW-Noisy-Fast,42,1,1,1,1,noisy,4,fc2,2556.2041344807153,-0.13267068282651143,1.9466468961436225e-06,0.0049757707367988485,8143.9366723503545,-0.006630193992520858,2.6608319436968698e-05,0.21669629854437275
CLW-Noisy-Fast,42,1,2,2,2,noisy,4,conv1,2372.286672122288,-0.08641921176859624,1.6160141123027904e-05,0.03833508984855993,1722.1686224032364,-0.093057213920411,1.1221818995238167e-05,0.01932481877619514
CLW-Noisy-Fast,42,1,2,2,2,noisy,4,conv2,5486.150786610398,0.024171653552309193,3.7587379143561763e-06,0.020621098965375294,8352.426250424907,0.014010526758213106,2.2300767148735202e-05,0.18626583240098038
CLW-Noisy-Fast,42,1,2,2,2,noisy,4,fc1,29950.120261089036,-0.004923851515432683,7.758119229203e-07,0.02323568650842396,83063.3521181621,-0.00015447032195209395,1.211739735354071e-05,1.0065117242514707
