method,seed,epoch,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,W_kron,W_G,W_A,log_kappa_kron
CLW-Noisy-Slow,42,1,True,143.91051856676737,517.342529296875,0.25,0.7362695357094137,0.9583333333333334,0.08521457173628733,conv1,1.9267388380995931,0.4528002799793263,1.706033396328653,6.969228416983819
CLW-Noisy-Slow,42,1,True,143.91051856676737,517.342529296875,0.25,0.7362695357094137,0.9583333333333334,0.08521457173628733,conv2,7.130672210713008,0.6095572860988413,6.066391394730869,13.20983589307355
CLW-Noisy-Slow,42,1,True,143.91051856676737,517.342529296875,0.25,0.7362695357094137,0.9583333333333334,0.08521457173628733,fc1,152.49057778956194,4.966794441896847,30.082065161388027,inf
CLW-Noisy-Slow,42,1,True,143.91051856676737,517.342529296875,0.25,0.7362695357094137,0.9583333333333334,0.08521457173628733,fc2,14.779699311673829,1.2232247975191375,9.322373532733552,inf
CLW-Noisy-Slow,42,2,True,4737.385243733724,12991.060546875,0.25,0.9937657974190164,0.9583333333333334,0.04178574460214198,conv1,2.1261277072518268,0.645194440673508,1.702304798637564,8.667164089352367
CLW-Noisy-Slow,42,2,True,4737.385243733724,12991.060546875,0.25,0.9937657974190164,0.9583333333333334,0.04178574460214198,conv2,6.2993247595447075,0.5023119557905046,5.61114711768911,inf
CLW-Noisy-Slow,42,2,True,4737.385243733724,12991.060546875,0.25,0.9937657974190164,0.9583333333333334,0.04178574460214198,fc1,153.5700354690802,5.001039719900049,30.09557035043515,inf
CLW-Noisy-Slow,42,2,True,4737.385243733724,12991.060546875,0.25,0.9937657974190164,0.9583333333333334,0.04178574460214198,fc2,14.099917681768384,1.2433591858194004,8.802320300028397,inf
CLW-Noisy-Fast,42,1,True,143.76557167371115,515.9227905273438,0.25,0.7362695357094137,0.9583333333333334,0.08515489389537834,conv1,1.9155663659402096,0.47527642069165776,1.6760043233659274,7.210197445194649
CLW-Noisy-Fast,42,1,True,143.76557167371115,515.9227905273438,0.25,0.7362695357094137,0.9583333333333334,0.08515489389537834,conv2,7.186205016699505,0.6473283249404089,6.008056766333216,13.29671218777719
CLW-Noisy-Fast,42,1,True,143.76557167371115,515.9227905273438,0.25,0.7362695357094137,0.9583333333333334,0.08515489389537834,fc1,153.42512276815654,4.998130863485181,30.083985243088538,inf
CLW-Noisy-Fast,42,1,True,143.76557167371115,515.9227905273438,0.25,0.7362695357094137,0.9583333333333334,0.08515489389537834,fc2,14.735371459271159,1.224948477417057,9.286283683079482,inf
CLW-Noisy-Fast,42,2,True,4765.6359456380205,13084.3857421875,0.25,0.9937657974190164,0.9583333333333334,0.041786938989389455,conv1,2.129314016067837,0.6835570474250955,1.6648321945568287,8.916601587330462
CLW-Noisy-Fast,42,2,True,4765.6359456380205,13084.3857421875,0.25,0.9937657974190164,0.9583333333333334,0.041786938989389455,conv2,6.37600768566796,0.5319008833195512,5.609611957196953,inf
CLW-Noisy-Fast,42,2,True,4765.6359456380205,13084.3857421875,0.25,0.9937657974190164,0.9583333333333334,0.041786938989389455,fc1,153.67186363993773,4.993549458541746,30.159027404699618,inf
CLW-Noisy-Fast,42,2,True,4765.6359456380205,13084.3857421875,0.25,0.9937657974190164,0.9583333333333334,0.041786938989389455,fc2,14.289940371734405,1.2746873964398335,8.785070573691037,inf
CLW-Clean-Slow,42,1,False,143.91051856676737,517.342529296875,0.25,0.7362695357094137,0.9583333333333334,0.08521457173628733,conv1,1.926738831653872,0.45280027296558367,1.706033396328653,6.969228386550064
CLW-Clean-Slow,42,1,False,143.91051856676737,517.342529296875,0.25,0.7362695357094137,0.9583333333333334,0.08521457173628733,conv2,7.130672186040753,0.6095572753409841,6.066391403378524,13.209835912288414
CLW-Clean-Slow,42,1,False,143.91051856676737,517.342529296875,0.25,0.7362695357094137,0.9583333333333334,0.08521457173628733,fc1,152.49058045801303,4.966794533649765,30.082065153701777,inf
CLW-Clean-Slow,42,1,False,143.91051856676737,517.342529296875,0.25,0.7362695357094137,0.9583333333333334,0.08521457173628733,fc2,14.779699924092714,1.223224888077279,9.322373503241657,inf
CLW-Clean-Slow,42,2,False,4775.257619222005,13157.42578125,0.25,0.9937657974190164,0.9583333333333334,0.041792530013481155,conv1,1.9784176486890812,0.6359095303783655,1.5808693061423533,8.291316866730218
CLW-Clean-Slow,42,2,False,4775.257619222005,13157.42578125,0.25,0.9937657974190164,0.9583333333333334,0.041792530013481155,conv2,5.881346703678764,0.4953787870109683,5.251414346271647,inf
CLW-Clean-Slow,42,2,False,4775.257619222005,13157.42578125,0.25,0.9937657974190164,0.9583333333333334,0.041792530013481155,fc1,151.5595052392647,5.012048278484593,29.638332574382392,inf
CLW-Clean-Slow,42,2,False,4775.257619222005,13157.42578125,0.25,0.9937657974190164,0.9583333333333334,0.041792530013481155,fc2,13.587589964512219,1.2053856770998217,8.641357959384974,inf
