method,layer,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,W_kron,W_G,W_A,log_kappa_kron
CLW-Clean-Fast,conv1,False,4992.035390218099,13999.451171875,0.25,0.9937657974190164,0.9583333333333334,0.05044373265445756,1.355283537857119,0.6492997957807193,0.9977510496375502,7.244848365994852
CLW-Clean-Fast,conv2,False,4992.035390218099,13999.451171875,0.25,0.9937657974190164,0.9583333333333334,0.05044373265445756,4.349087435514546,0.49176682995425913,3.8776802274861755,inf
CLW-Clean-Fast,fc1,False,4992.035390218099,13999.451171875,0.25,0.9937657974190164,0.9583333333333334,0.05044373265445756,130.3180023540965,4.826619969670787,26.42023158003608,inf
CLW-Clean-Fast,fc2,False,4992.035390218099,13999.451171875,0.25,0.9937657974190164,0.9583333333333334,0.05044373265445756,11.64757251847843,1.1193910752577951,7.723895481453313,inf
CLW-Clean-Slow,conv1,False,4775.257619222005,13157.42578125,0.25,0.9937657974190164,0.9583333333333334,0.041792530013481155,1.9784176486890812,0.6359095303783655,1.5808693061423533,8.291316866730218
CLW-Clean-Slow,conv2,False,4775.257619222005,13157.42578125,0.25,0.9937657974190164,0.9583333333333334,0.041792530013481155,5.881346703678764,0.4953787870109683,5.251414346271647,inf
CLW-Clean-Slow,fc1,False,4775.257619222005,13157.42578125,0.25,0.9937657974190164,0.9583333333333334,0.041792530013481155,151.5595052392647,5.012048278484593,29.638332574382392,inf
CLW-Clean-Slow,fc2,False,4775.257619222005,13157.42578125,0.25,0.9937657974190164,0.9583333333333334,0.041792530013481155,13.587589964512219,1.2053856770998217,8.641357959384974,inf
CLW-Noisy-Fast,conv1,True,4765.6359456380205,13084.3857421875,0.25,0.9937657974190164,0.9583333333333334,0.041786938989389455,2.129314016067837,0.6835570474250955,1.6648321945568287,8.916601587330462
CLW-Noisy-Fast,conv2,True,4765.6359456380205,13084.3857421875,0.25,0.9937657974190164,0.9583333333333334,0.041786938989389455,6.37600768566796,0.5319008833195512,5.609611957196953,inf
CLW-Noisy-Fast,fc1,True,4765.6359456380205,13084.3857421875,0.25,0.9937657974190164,0.9583333333333334,0.041786938989389455,153.67186363993773,4.993549458541746,30.159027404699618,inf
CLW-Noisy-Fast,fc2,True,4765.6359456380205,13084.3857421875,0.25,0.9937657974190164,0.9583333333333334,0.041786938989389455,14.289940371734405,1.2746873964398335,8.785070573691037,inf
CLW-Noisy-Slow,conv1,True,4737.385243733724,12991.060546875,0.25,0.9937657974190164,0.9583333333333334,0.04178574460214198,2.1261277072518268,0.645194440673508,1.702304798637564,8.667164089352367
CLW-Noisy-Slow,conv2,True,4737.385243733724,12991.060546875,0.25,0.9937657974190164,0.9583333333333334,0.04178574460214198,6.2993247595447075,0.5023119557905046,5.61114711768911,inf
CLW-Noisy-Slow,fc1,True,4737.385243733724,12991.060546875,0.25,0.9937657974190164,0.9583333333333334,0.04178574460214198,153.5700354690802,5.001039719900049,30.09557035043515,inf
CLW-Noisy-Slow,fc2,True,4737.385243733724,12991.060546875,0.25,0.9937657974190164,0.9583333333333334,0.04178574460214198,14.099917681768384,1.2433591858194004,8.802320300028397,inf
