method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon,accountant_steps,noise_multiplier,clip_fraction,mean_clip_factor,mean_clipping_severity,mean_transformed_norm,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,transformed_norm_max,samples,batches,algorithm_epoch_seconds,wall_epoch_seconds,private_samples_per_second,seconds_per_batch,exact_forward_backward_seconds,per_sample_precondition_clip_seconds,ghost_first_pass_seconds,ghost_second_pass_seconds,aggregate_transform_seconds,noise_step_seconds,activation_forward_seconds,curvature_backward_seconds,factor_accumulation_seconds,matrix_function_seconds,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,stored_scalar_count,preconditioner_build_seconds,synthetic_generation_seconds,build_allocated_at_phase_start_bytes,build_reserved_at_phase_start_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,build_incremental_peak_bytes,grad_sample_bytes,private_train_seconds,train_allocated_at_phase_start_bytes,train_reserved_at_phase_start_bytes,train_peak_cuda_allocated_bytes,train_peak_cuda_reserved_bytes,train_incremental_peak_bytes,diagnostic_postprocess_seconds,evaluation_seconds,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes
M1_full_ghost,3407,1,0.8193671723716279,0.5555688200235367,0.8977,0.7861127240333559,234,1.068115234375,0.7636051177978516,0.26927515864372253,0.7307248711585999,4127.02392578125,719.2406005859375,12760.4345703125,43787.9765625,77495.75,59904,234,8.776669976301491,9.923295663669705,6958.506890044772,0.036789501547558695,0.0,0.0,3.8221275844573985,0.3049359718561175,0.02647552024573087,0.015481663882732458,0.0028171519637107847,0.003641215950250626,0.032609280042350294,0.12528435516357422,10,10,2560,2560,10069164,2517291,0.16792661417275667,0.003363039970397949,9349120,255852544,167334912,260046848,157985792,0,8.608743362128735,19419648,260046848,139314176,260046848,119894528,0.025729536078870296,1.1069341944530606,167334912,260046848
M1_full_ghost,3407,2,0.5656442234658787,0.45850962072089313,0.9321,0.8385078418579571,468,1.068115234375,0.2695646286010742,0.7593336701393127,0.24066631495952606,360.94281005859375,0.0014654160477221012,1090.1181640625,5400.5830078125,7974.02490234375,59904,234,11.381591209210455,12.534147191792727,5340.885868504995,0.04793212330366811,0.0,0.0,4.04671308326721,0.315404065728188,0.02737561628222473,0.0158732161521912,0.0027259840071201325,0.0036188159584999093,0.029901824645698072,0.12554956817626953,10,10,2560,2560,10069164,2517291,0.16547435615211725,0.0034607360363006594,9349120,260046848,167334912,260046848,157985792,0,11.216116853058338,19419648,260046848,139314176,260046848,119894528,0.026775237172842026,1.1118859760463238,167334912,260046848
M1_full_ghost,3407,3,0.5033823649088541,0.4389566869312432,0.9391,0.8909029596825585,702,1.068115234375,0.20382611453533173,0.8176613450050354,0.1823386698961258,275.3389892578125,7.020914927124977e-05,273.8870544433594,4594.73876953125,6909.431640625,59904,234,8.804796723648906,9.95960810314864,6933.787097562353,0.03692066058532423,0.0,0.0,3.824829193115234,0.30505117213726063,0.026214400157332392,0.015229663923382833,0.002709216028451919,0.003681119978427888,0.029913088493049148,0.12533984375,10,10,2560,2560,10069164,2517291,0.16536214668303728,0.0035029120445251465,9349120,260046848,167334912,260046848,157985792,0,8.639434576965868,19419648,260046848,139314176,260046848,119894528,0.025629635900259018,1.1156872836872935,167334912,260046848
M1_full_ghost,3407,4,0.46554819742838544,0.4233090157599887,0.9419,0.9432980775071597,936,1.068115234375,0.18451188504695892,0.8347284197807312,0.16527159512043,259.967529296875,1.743820212141145e-05,140.43484497070312,4614.2255859375,7097.40576171875,59904,234,8.776366150937974,9.923264505341649,6956.343726467493,0.03680094171108471,0.0,0.0,3.8224679069519034,0.305221955418587,0.02644172823429109,0.01512099186331039,0.0027193280160427093,0.0035880960226058966,0.02988134448975325,0.12512973022460938,10,10,2560,2560,10069164,2517291,0.16494579054415226,0.003430720090866089,9349120,260046848,167334912,260046848,157985792,0,8.611420360393822,19419648,260046848,139314176,260046848,119894528,0.02546701952815056,1.107620739378035,167334912,260046848
M1_full_ghost,3407,5,0.4532488309420072,0.39694934684927574,0.9479,0.995693195331761,1170,1.068115234375,0.17000533640384674,0.8478466868400574,0.1521533578634262,245.7926025390625,7.48867114452878e-06,75.91008758544922,4463.97216796875,6919.9541015625,59904,234,8.755249492824078,9.902224098332226,6974.041202204134,0.03670755485629933,0.0,0.0,3.824066930770875,0.3051167401075366,0.02647449624538422,0.015107551902532644,0.0026944320201873775,0.0035304639935493476,0.029901856414973737,0.12551705932617188,10,10,2560,2560,10069164,2517291,0.1656816564500332,0.0038560640811920164,9349120,260046848,167334912,260046848,157985792,0,8.589567836374044,19419648,260046848,139314176,260046848,119894528,0.02550908550620079,1.107917120680213,167334912,260046848
