p,final_accuracy_mean,final_accuracy_sample_std,best_accuracy_mean,best_accuracy_sample_std,accuracy_auc_mean,accuracy_auc_sample_std,clip_fraction_mean,clip_fraction_sample_std,norm_p99_mean,norm_p99_sample_std,scale_match_mean,scale_match_sample_std,transformed_condition_proxy_mean,transformed_condition_proxy_sample_std
0.0,0.20703125,,0.20703125,,0.0,,1.0,,13.634373664855955,,2.253616802384591,,inf,
0.125,0.2109375,,0.2109375,,0.0,,1.0,,20.73220443725586,,2.6915774471255904,,inf,
0.25,0.21484375,,0.21484375,,0.0,,1.0,,34.24514389038086,,2.3486504361541645,,inf,
0.375,0.1953125,,0.1953125,,0.0,,1.0,,51.23515319824219,,1.6164862477852333,,inf,
0.5,0.1875,,0.1875,,0.0,,1.0,,72.31537628173828,,1.0,,inf,
0.625,0.18359375,,0.18359375,,0.0,,1.0,,98.86940002441406,,0.5880331211876101,,inf,
0.75,0.1875,,0.1875,,0.0,,1.0,,132.1116943359375,,0.3350908607474391,,inf,
1.0,0.1875,,0.1875,,0.0,,1.0,,223.5239715576172,,0.1019879142089508,,inf,
