method,seed,epoch,interval,alpha,alpha_over_tau2,wiener_gain_mean,wiener_gain_median,wiener_gain_p10,wiener_gain_p90,wiener_gain_min,wiener_gain_max,cos_raw,cos_filtered,NSR_raw,NSR_filtered,layer,tau2,interval_steps,fitted_batches,first_batch_identity
Wiener-Residual-AG,42,1,1,1.9693103247173095e-06,0.11312481179303246,0.07566510476376044,0.02127659574468085,0.02127659574468085,0.24813587484282448,0.02127659574468085,0.6425568548328167,0.08990399515154181,0.03752018656596302,16.288400912725773,3.8502825003458856,conv1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,1,2.49517604489144e-06,0.1433325753315928,0.06708357870874344,0.02127659574468085,0.02127659574468085,0.21761164996424545,0.02127659574468085,0.6670083467346846,0.07110244228802491,0.06216526068277402,16.80215371687771,3.3105226547403537,conv2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,1,3.5172320002522706e-06,0.2020434276238738,0.05690842951971549,0.02127659574468085,0.02127659574468085,0.1569054997857073,0.02127659574468085,0.7372166034005515,0.05462803962844853,0.09921267548510788,19.11167832451146,2.4126688225771407,fc1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,1,6.401282039937215e-06,0.367714431246871,0.11652408093409235,0.02127659574468085,0.02127659574468085,0.39705767425683464,0.02127659574468085,0.9420150426611775,0.41883594421550924,0.6248108035867305,2.2954374642257043,0.8480376760511825,fc2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,2,2.221103351970242e-06,0.1275887784219967,0.07895101598901665,0.02127659574468085,0.02127659574468085,0.2751523246445514,0.02127659574468085,0.668094109222723,0.06270820228765112,0.016362442479474205,19.438093157127405,3.3254121948462307,conv1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,2,2.5714723546554893e-06,0.1477153308446427,0.07031069559485169,0.02127659574468085,0.02127659574468085,0.23377067052830103,0.02127659574468085,0.6675229115541171,0.03611122344902723,0.021705077241729466,26.81362094039022,3.814588009823189,conv2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,2,3.494379350242915e-06,0.2007306829036371,0.05599876067057019,0.02127659574468085,0.02127659574468085,0.15371084909239122,0.02127659574468085,0.63562836325456,0.028858268248400706,0.024242951973174397,35.20247030215987,4.2347289099293315,fc1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,2,6.294018405702997e-06,0.36155279268605944,0.117347344376609,0.02127659574468085,0.02127659574468085,0.4113986168669418,0.02127659574468085,0.9583147350574165,0.32844576036564804,0.6318087493250626,2.9897302940525905,0.863517173791488,fc2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,3,1.8905997558114317e-06,0.10860337188493761,0.06736401664558268,0.02127659574468085,0.02127659574468085,0.19388191516140738,0.02127659574468085,0.6508540536049163,0.03314604017061613,0.013190257901483484,31.646760872887015,4.92137463948451,conv1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,3,2.593873339268063e-06,0.14900213015527938,0.07076886776904298,0.02127659574468085,0.02127659574468085,0.23501876615104156,0.02127659574468085,0.6781913138904078,0.02727167759691097,0.005939671181717468,40.63675470926885,6.054258333499683,conv2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,3,3.4892912514036183e-06,0.20043840280112835,0.05577628620464604,0.02127659574468085,0.02127659574468085,0.15248101775751613,0.02127659574468085,0.6322435910804182,0.023940612304037868,0.017955841608044046,43.29480511809884,5.120253385253429,fc1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,3,5.0829454784228084e-06,0.291984073502162,0.0981393467611787,0.02127659574468085,0.02127659574468085,0.330999287775008,0.02127659574468085,0.9293820885089078,0.23641927875261598,0.4807659600195349,4.26369301901342,1.056720263882482,fc2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,4,1.9070575340753769e-06,0.10954877040607094,0.07211909741044167,0.02127659574468085,0.02127659574468085,0.23627441171185817,0.02127659574468085,0.6168161605664623,0.018191389947258083,-0.010456853320564929,44.651668721828905,7.205636802977445,conv1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,4,2.511697335755057e-06,0.14428162226242272,0.06819828251204718,0.02127659574468085,0.02127659574468085,0.22044928894352062,0.02127659574468085,0.6509851986507066,0.020212486401414737,0.007808418454035277,50.3596409896558,7.3773693074047495,conv2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,4,3.472162555603599e-06,0.1994544641783949,0.054969475707726,0.02127659574468085,0.02127659574468085,0.14869748458721815,0.02127659574468085,0.6248397264958677,0.01965487851513491,0.010712692456354525,50.86959472977009,6.29858193779282,fc1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,4,3.974132798873478e-06,0.22828957898121763,0.07073997159031836,0.02127659574468085,0.02127659574468085,0.22605755851657341,0.02127659574468085,0.7575470124040407,0.18342753341659318,0.2948378964355356,5.627867172087187,1.1912508063382266,fc2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,1,5,1.95842393443964e-06,0.1124994553746916,0.07337491815910441,0.021739130434782608,0.021739130434782608,0.2390077455208455,0.021739130434782608,0.6120163641710625,-0.015731391747785234,-0.0012257092196236552,57.861792086197,9.16610377622598,conv1,1.7408297026122455e-05,46,45,True
Wiener-Residual-AG,42,1,5,2.5227019207869755e-06,0.144913768245192,0.06754225698518625,0.021739130434782608,0.021739130434782608,0.21624305900781932,0.021739130434782608,0.6786418192002636,0.017050402484716017,0.007386649256708835,57.61494284607802,8.695870920048007,conv2,1.7408297026122455e-05,46,45,True
Wiener-Residual-AG,42,1,5,3.4952545368305396e-06,0.20078095701065116,0.05555116550964754,0.021739130434782608,0.021739130434782608,0.1484031829076573,0.021739130434782608,0.6296604604433356,0.018714158424572854,0.010571091610247987,55.83248464135197,6.730334209029141,fc1,1.7408297026122455e-05,46,45,True
Wiener-Residual-AG,42,1,5,3.823090084477194e-06,0.21961310050835892,0.06690164501254349,0.021739130434782608,0.021739130434782608,0.20058560106595932,0.021739130434782608,0.737465007968602,0.1608463679041123,0.26360523616162806,6.449746656010842,1.2408778322106142,fc2,1.7408297026122455e-05,46,45,True
Wiener-Residual-AG,42,2,1,1.8881682120732252e-06,0.10846369459573721,0.07317613065144275,0.02127659574468085,0.02127659574468085,0.2355467793665715,0.02127659574468085,0.6254185176168015,0.03778497137967877,0.046303676112011166,29.06889740629835,4.419320275677141,conv1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,1,2.47623879817757e-06,0.14224474654021516,0.06633313587701786,0.02127659574468085,0.02127659574468085,0.21164617919512643,0.02127659574468085,0.6782030175764157,0.021968929221841293,0.006664662361258347,47.66424934269529,7.01951698752921,conv2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,1,3.468328697856076e-06,0.19923423254162023,0.05482479107278912,0.02127659574468085,0.02127659574468085,0.14778317503350236,0.02127659574468085,0.6261134189248179,0.01939231370470721,0.007865599933488204,52.03304994161066,6.4487225340618375,fc1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,1,3.655473768702533e-06,0.2099845701861142,0.05957789659937021,0.02127659574468085,0.02127659574468085,0.1723637882134396,0.02127659574468085,0.5877937828290258,0.05004484419632773,0.03125008525561428,19.463737485651922,2.816995070896655,fc2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,2,2.508970675987632e-06,0.14412499236557916,0.08805938994178857,0.02127659574468085,0.02127659574468085,0.3298272771049438,0.02127659574468085,0.6592901013911099,0.02143832357191046,0.006819690613887566,34.31757154434254,6.519908941850803,conv1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,2,2.5421676495353687e-06,0.14603195509133696,0.06866213595950425,0.02127659574468085,0.02127659574468085,0.22470935135222947,0.02127659574468085,0.6706095934891388,0.018259243899656843,0.009840043983294553,51.54741087000574,7.681819200413591,conv2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,2,3.4750355898316953e-06,0.19961950239113826,0.05526715079753219,0.02127659574468085,0.02127659574468085,0.14868427753378208,0.02127659574468085,0.6289832364152733,0.019383897570668922,0.009417212594821233,52.769244014146935,6.4534285310155886,fc1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,2,3.343800318244057e-06,0.19208084014343463,0.046449241127680556,0.02127659574468085,0.02127659574468085,0.09934141818635207,0.02127659574468085,0.525504334282768,0.05446910241749773,0.026890155800501074,18.36498610221323,2.1184446661482346,fc2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,3,2.2600888427956e-06,0.1298282559979398,0.07972833357212733,0.02127659574468085,0.02127659574468085,0.2781787835262939,0.02127659574468085,0.6617890560031383,0.04137958396713286,0.012679741001040641,34.56430627365352,5.85295364931043,conv1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,3,2.4796796810007742e-06,0.14244240417542445,0.06534197687203115,0.02127659574468085,0.02127659574468085,0.20503662492006955,0.02127659574468085,0.6679452631949672,0.019295499666651946,0.004872174830269542,49.00730102081847,7.132421976912824,conv2,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,3,3.4685278973379863e-06,0.19924567533132048,0.05494694724628026,0.02127659574468085,0.02127659574468085,0.14745607326820265,0.02127659574468085,0.6277319798381243,0.01990659035176801,0.011412257513541343,51.75863548806135,6.1710883880204594,fc1,1.7408297026122455e-05,47,46,True
Wiener-Residual-AG,42,2,3,3.5919672849922898e-06,0.20633651181400883,0.05574858145117077,0.02127659574468085,0.02127659574468085,0.15094267834338818,0.02127659574468085,0.5772629100623379,0.05311153467357685,0.026243456737982954,18.180217820555388,2.4087512887078444,fc2,1.7408297026122455e-05,47,46,True
