method,seed,epoch,interval,global_update_index,interval_steps,feedback_type,update_after_step,applies_from_step,layer,E_G_norm,correction_G_norm,K_G_min_eigenvalue,K_G_max_eigenvalue,E_A_norm,correction_A_norm,K_A_min_eigenvalue,K_A_max_eigenvalue
Wiener-Residual-AG,42,1,1,1,47,wiener_filtered_grad,47,48,conv1,1.0315209299248058e-06,0.03321229946962267,0.9048374180359593,1.029458157954181,5.491909221067548e-07,0.04902430657545522,0.9077811964009712,1.0560612905678908
Wiener-Residual-AG,42,1,1,1,47,wiener_filtered_grad,47,48,conv2,8.356171015222342e-07,0.04192928918879835,0.9048374180359596,1.0487420311747848,3.932326963211469e-06,0.027574004532704345,0.9048374180359596,1.018757918964033
Wiener-Residual-AG,42,1,1,1,47,wiener_filtered_grad,47,48,fc1,1.2225557234904337e-06,0.02170120962303272,0.9048374180359595,1.0240730258372865,1.8040770408240895e-05,0.0166647413051579,0.9048374180359596,1.006981926055637
Wiener-Residual-AG,42,1,1,1,47,wiener_filtered_grad,47,48,fc2,3.87156119054593e-06,0.03798541704887775,0.9048374180359593,1.031190647007854,5.02864333260419e-05,0.010445799110119083,0.9048374180359596,1.0026609770124222
Wiener-Residual-AG,42,1,2,2,47,wiener_filtered_grad,94,95,conv1,1.1651891136721832e-06,0.05372951693230606,0.9048374180359597,1.0368173637274647,8.368836915414506e-07,0.07024739374145306,0.9048374180359597,1.0434201554923697
Wiener-Residual-AG,42,1,2,2,47,wiener_filtered_grad,94,95,conv2,8.78539565175872e-07,0.05677738484266524,0.90483741803596,1.0425471221798406,4.018312796155409e-06,0.037206305928362354,0.9048374180359599,1.0170792140139524
Wiener-Residual-AG,42,1,2,2,47,wiener_filtered_grad,94,95,fc1,1.0901327171727968e-06,0.04038365404892586,0.9048374180359593,1.0417134059371087,1.775590168371083e-05,0.024705115900210246,0.9048374180359599,1.0075730491113801
Wiener-Residual-AG,42,1,2,2,47,wiener_filtered_grad,94,95,fc2,2.0569859350282903e-06,0.037285824041756524,0.9490366416578095,1.0314069210030001,5.328985919281337e-05,0.015127636655329428,0.9048374180359594,1.00160497226672
Wiener-Residual-AG,42,1,3,3,47,wiener_filtered_grad,141,142,conv1,1.0013465022770399e-06,0.0588180834871332,0.9048374180359596,1.0306810696956716,7.54407474131628e-07,0.07558540766890622,0.9048374180359597,1.034294877222717
Wiener-Residual-AG,42,1,3,3,47,wiener_filtered_grad,141,142,conv2,9.140046879520882e-07,0.06882979179239097,0.9048374180359597,1.0453628358145948,4.109566054915129e-06,0.046133788267198585,0.9048374180359597,1.0187292902397933
Wiener-Residual-AG,42,1,3,3,47,wiener_filtered_grad,141,142,fc1,1.0825828828501851e-06,0.053865356255501144,0.9048374180359596,1.0433796232153505,1.7744721258475625e-05,0.0306681475013597,0.9048374180359599,1.0075180607897283
Wiener-Residual-AG,42,1,3,3,47,wiener_filtered_grad,141,142,fc2,1.356855445320698e-06,0.04219058415972913,0.9581149887750897,1.015789944629409,2.2777992010068314e-05,0.02066997477082515,0.9048374180359595,1.0022300817696208
Wiener-Residual-AG,42,1,4,4,47,wiener_filtered_grad,188,189,conv1,1.0059746270003866e-06,0.07476229431791802,0.9048374180359597,1.0443631822111317,6.726530780343042e-07,0.08843903683141631,0.9048374180359599,1.0413830105839776
Wiener-Residual-AG,42,1,4,4,47,wiener_filtered_grad,188,189,conv2,8.091306248251657e-07,0.079639642106359,0.9048374180359596,1.0482799916490266,3.930176007290202e-06,0.053539589803477707,0.9048374180359594,1.018261630984018
Wiener-Residual-AG,42,1,4,4,47,wiener_filtered_grad,188,189,fc1,1.0403998535051343e-06,0.06477727219185615,0.9048374180359596,1.0421685729514434,1.7626638240061896e-05,0.035692440558119924,0.9048374180359594,1.0075145312058142
Wiener-Residual-AG,42,1,4,4,47,wiener_filtered_grad,188,189,fc2,4.4839324959951265e-07,0.043123374782210636,0.9889410015908293,1.0068248987210873,7.701348935932247e-06,0.02407368337459384,0.9403890173921903,1.00288543278962
Wiener-Residual-AG,42,2,1,5,47,wiener_filtered_grad,47,48,conv1,9.757081410099946e-07,0.041864697592071065,0.9048374180359596,1.0396037433655407,6.028373134433116e-07,0.04719839259767665,0.9048374180359597,1.0527816982359886
Wiener-Residual-AG,42,2,1,5,47,wiener_filtered_grad,47,48,conv2,8.586055827991068e-07,0.03774702692947935,0.9048374180359597,1.0408435926871948,3.899381458606128e-06,0.02686826519145624,0.9048374180359599,1.0182552519806203
Wiener-Residual-AG,42,2,1,5,47,wiener_filtered_grad,47,48,fc1,1.0442423659339423e-06,0.03661782848791976,0.9048374180359601,1.0451792094775665,1.7707228553806193e-05,0.017893200244105276,0.9048374180359597,1.0073342167056174
Wiener-Residual-AG,42,2,1,5,47,wiener_filtered_grad,47,48,fc2,3.1988856875427795e-07,0.047567902368678014,0.9048374180359596,1.0578829093852538,5.507829601922371e-06,0.017822673664176416,0.9048374180359593,1.0072769624773772
Wiener-Residual-AG,42,2,2,6,47,wiener_filtered_grad,94,95,conv1,1.293151778252407e-06,0.061323729773714204,0.9048374180359597,1.042932186136594,8.617092812414964e-07,0.06856768508184562,0.9048374180359594,1.046513185265336
Wiener-Residual-AG,42,2,2,6,47,wiener_filtered_grad,94,95,conv2,8.375960380797976e-07,0.056647950146023175,0.90483741803596,1.047524486848639,3.942164654901181e-06,0.03678671601487461,0.9048374180359596,1.0176657330292198
Wiener-Residual-AG,42,2,2,6,47,wiener_filtered_grad,94,95,fc1,1.0854080952017218e-06,0.05059462823767492,0.9048374180359603,1.0409658170700902,1.7671322494698613e-05,0.025469719625115267,0.9048374180359594,1.0074929077477972
Wiener-Residual-AG,42,2,2,6,47,wiener_filtered_grad,94,95,fc2,1.9869257297185675e-07,0.05598575963856671,0.9400238797755579,1.0449829717833188,4.925305754072772e-06,0.026755725508561437,0.9048374180359595,1.007236658769437
Wiener-Residual-AG,42,2,3,7,47,wiener_filtered_grad,141,142,conv1,1.1555962613232768e-06,0.0689462641226089,0.9048374180359599,1.0292442867437428,6.761487613593665e-07,0.06939095785084572,0.9048374180359596,1.0470482316651066
Wiener-Residual-AG,42,2,3,7,47,wiener_filtered_grad,141,142,conv2,8.509220236632972e-07,0.06817088839363043,0.9048374180359595,1.0421120254162124,3.967505369274005e-06,0.04437719025612702,0.90483741803596,1.0164135649644657
Wiener-Residual-AG,42,2,3,7,47,wiener_filtered_grad,141,142,fc1,1.0639241259444058e-06,0.06239107527229404,0.9048374180359595,1.0424669067172745,1.7597439395157436e-05,0.03131101241149091,0.9048374180359596,1.0075180542732998
Wiener-Residual-AG,42,2,3,7,47,wiener_filtered_grad,141,142,fc2,2.6781039772673126e-07,0.07026175766470466,0.920251400374053,1.0469750083083456,5.39037794119171e-06,0.033645567646606436,0.9048374180359594,1.0080925321876468
Wiener-Residual-AG,42,2,4,8,47,wiener_filtered_grad,188,189,conv1,1.032247648910002e-06,0.07994125590169146,0.90483741803596,1.0296507535246249,5.620350288403884e-07,0.09016031785056206,0.9164940558430072,1.0520118406305652
Wiener-Residual-AG,42,2,4,8,47,wiener_filtered_grad,188,189,conv2,8.657113250217109e-07,0.07972897561286657,0.9048374180359593,1.045187814586018,4.0165827893155485e-06,0.05096653638987933,0.9048374180359596,1.0171524784787829
Wiener-Residual-AG,42,2,4,8,47,wiener_filtered_grad,188,189,fc1,1.0585046816972441e-06,0.07158319215385753,0.9048374180359597,1.0428469837914807,1.7631632524668765e-05,0.03625477245144014,0.9048374180359599,1.0075340441528262
Wiener-Residual-AG,42,2,4,8,47,wiener_filtered_grad,188,189,fc2,3.0042909024931656e-07,0.08771537191013691,0.9195872104695917,1.0588379669630625,5.668218114460932e-06,0.039033628299897996,0.90483741803596,1.0082504275637287
Wiener-Residual-AG,42,3,1,9,47,wiener_filtered_grad,47,48,conv1,1.1233429152717053e-06,0.03473241157033846,0.9048374180359596,1.0300895326557449,7.146329273505807e-07,0.048075852652899924,0.9048374180359602,1.0499670226221938
Wiener-Residual-AG,42,3,1,9,47,wiener_filtered_grad,47,48,conv2,8.765510971770414e-07,0.03698931674924908,0.9048374180359593,1.0425226478937963,4.0015242080842724e-06,0.024467479074453558,0.9048374180359594,1.0166682069891937
Wiener-Residual-AG,42,3,1,9,47,wiener_filtered_grad,47,48,fc1,1.0657652397226587e-06,0.034417045725546845,0.90483741803596,1.0419232109853942,1.7610654337329274e-05,0.01792851791734409,0.9048374180359597,1.0073884642010522
Wiener-Residual-AG,42,3,1,9,47,wiener_filtered_grad,47,48,fc2,2.9447753442361105e-07,0.04482112787266599,0.9048374180359594,1.0548777412560313,5.232088669890235e-06,0.019058527964261867,0.9048374180359597,1.0076402383454897
Wiener-Residual-AG,42,3,2,10,47,wiener_filtered_grad,94,95,conv1,1.1844964384520836e-06,0.04770329872269895,0.9048374180359592,1.0270220685898368,7.606901233856582e-07,0.060042285886611015,0.9048374180359591,1.0414505541670505
Wiener-Residual-AG,42,3,2,10,47,wiener_filtered_grad,94,95,conv2,8.586503865677979e-07,0.0499900374059364,0.9048374180359597,1.035397900099371,3.90200665759342e-06,0.0358458281725946,0.9048374180359596,1.0178229830971461
Wiener-Residual-AG,42,3,2,10,47,wiener_filtered_grad,94,95,fc1,1.049429360557193e-06,0.04865069176931602,0.9048374180359596,1.0408261808796424,1.752119562065558e-05,0.025438019932915296,0.9048374180359595,1.0074420082088933
