estimator,label_seed,layer,floored_condition_number,floored_log_eigenvalue_spread,A_effective_rank,A_dim,C_effective_rank,C_dim,spectral_floor_ratio
KFAC-M-9,2,conv2,858478389032.9307,6.51495761338861,145,145,17,32,1e-07
KFAC-M-9,2,fc1,100000000000000.0,6.718439495083321,474,1569,104,128,1e-07
KFAC-M-9,2,fc2,390261118113.39905,5.624330715096641,103,129,10,10,1e-07
KFAC-U-9,0,conv1,290.902990263648,1.2301746322498692,10,10,16,16,1e-07
KFAC-U-9,0,conv2,858478389032.9307,6.578455373632762,145,145,17,32,1e-07
KFAC-U-9,0,fc1,100000000000000.0,6.673655195611465,474,1569,104,128,1e-07
KFAC-U-9,0,fc2,150060183686.62646,5.494965972622835,103,129,10,10,1e-07
KFAC-U-9,1,conv1,289.88542743305635,1.2294187537386034,10,10,16,16,1e-07
KFAC-U-9,1,conv2,858478389032.9307,6.578877155234236,145,145,17,32,1e-07
KFAC-U-9,1,fc1,100000000000000.0,6.658548173779894,474,1569,104,128,1e-07
KFAC-U-9,1,fc2,147067863180.9051,5.4941669832203175,103,129,10,10,1e-07
KFRA-block,-1,conv1,450.6796421845092,1.3325251724279246,10,10,16,16,1e-07
KFRA-block,-1,conv2,858478389032.9307,6.505043730670001,145,145,17,32,1e-07
KFRA-block,-1,fc1,100000000000000.0,6.7305369901701475,474,1569,104,128,1e-07
KFRA-block,-1,fc2,389708455592.03357,5.626114749639944,103,129,10,10,1e-07
KFAC-U-1,2,conv1,285.5370015161874,1.2255821975023737,10,10,16,16,1e-07
KFAC-U-1,2,conv2,858478389032.9309,6.576037488853983,145,145,17,32,1e-07
KFAC-U-1,2,fc1,100000000000000.0,6.629746152144535,474,1569,104,128,1e-07
KFAC-U-1,2,fc2,150649645675.9738,5.4931564214839215,103,129,10,10,1e-07
