beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
0.25,7,5,fc2,0,129,129,7920.927029366269,1.115704835320635,1e-07,1,10,9,10000000.0,4.634282012800366,1e-07,79209270293.66269
0.5,7,1,conv1,0,10,10,1.0222471909239819,0.006840845832816484,1e-07,0,16,16,10.206339358573578,0.7373863874415367,1e-07,10.433401738918715
0.5,7,1,conv2,0,145,145,3.5943664999548837,0.3194373225144676,1e-07,0,32,32,823.639721526838,1.427213558279343,1.0000000000000001e-07,2960.463023088236
0.5,7,1,fc1,5,1569,1559,10000000.0,2.159349733323361,1e-07,10,128,107,10000000.0,5.342008966870076,1e-07,100000000000000.0
0.5,7,1,fc2,8,129,114,10000000.000000002,5.036672142950756,1e-07,1,10,9,10000000.0,4.835308916660903,1e-07,100000000000000.02
0.5,7,2,conv1,0,10,10,1.0222987592081847,0.0068586473766365065,1e-07,0,16,16,79.39116870441902,1.090399926215761,9.999999999999998e-08,81.16149325861522
0.5,7,2,conv2,0,145,145,2.671028539314709,0.22249145180073485,1e-07,0,32,32,5.576469702828062,0.3470652440763214,1e-07,14.894909724877568
0.5,7,2,fc1,0,1569,1569,9.684845476041378,0.34692650849900036,1e-07,1,128,127,10000000.0,1.7541927443428587,1e-07,96848454.76041378
0.5,7,2,fc2,1,129,128,10000000.0,1.4208167504099836,1e-07,1,10,9,10000000.0,4.834593969211096,1e-07,100000000000000.0
0.5,7,3,conv1,0,10,10,1.0224588863749242,0.0069012138970457665,1e-07,0,16,16,39.353328164019324,0.9087861395634445,1e-07,40.23716008973014
0.5,7,3,conv2,0,145,145,2.929799105247207,0.23906618763579818,1e-07,0,32,32,3.1220340216298426,0.20224652569771753,1.0000000000000001e-07,9.146932483122452
0.5,7,3,fc1,0,1569,1569,8.50091839506051,0.21891952292599753,1e-07,0,128,128,317.00949689696677,1.0993065900656096,1e-07,2694.871863580302
0.5,7,3,fc2,0,129,129,1.5177373134435816,0.06267195619905065,1e-07,1,10,9,10000000.0,4.83396467177759,1e-07,15177373.134435816
0.5,7,4,conv1,0,10,10,1.0224335882713866,0.006897980893481917,1e-07,0,16,16,17.24877542506455,0.7268352626221779,1e-07,17.63572735113606
0.5,7,4,conv2,0,145,145,2.091669299222363,0.1622391314050947,1e-07,0,32,32,2.296003386505509,0.14216032562394823,1e-07,4.80247979446415
0.5,7,4,fc1,0,1569,1569,8.672972418684376,0.1795774833543656,1e-07,0,128,128,660.1336129023647,1.2905375330525342,1e-07,5725.320617348677
0.5,7,4,fc2,0,129,129,48.08649335135814,0.4758160906811669,1e-07,1,10,9,10000000.000000002,4.833906107425549,1e-07,480864933.5135815
0.5,7,5,conv1,0,10,10,1.02252501027333,0.0069225901931747585,1e-07,0,16,16,7.50364952140061,0.5343715406839088,1e-07,7.672669303957627
0.5,7,5,conv2,0,145,145,1.8881669951755862,0.14124864846809043,1e-07,0,32,32,1.8407668163357704,0.10056053772283548,1e-07,3.4756751484196418
0.5,7,5,fc1,0,1569,1569,8.017883305491148,0.14706308694595013,1e-07,0,128,128,4417.645455165356,1.3095444289417213,1e-07,35420.16574454915
0.5,7,5,fc2,0,129,129,363.5421480176009,0.5191825532925166,1e-07,0,10,10,2316732.5220014537,4.395029703924583,1e-07,842229917.4306422
0.75,7,1,conv1,0,10,10,5.021802399325904,0.5345720261017348,1e-07,0,16,16,10.201245633465913,0.7372304195690924,1e-07,51.22863979825202
0.75,7,1,conv2,0,145,145,37.812095809490785,0.5578051619177775,1e-07,0,32,32,819.6572207804542,1.4259614587368101,1e-07,30992.957363091475
0.75,7,1,fc1,5,1569,1559,10000000.000000002,2.026536674417529,9.999999999999998e-08,10,128,109,10000000.0,5.55977261454635,1e-07,100000000000000.02
0.75,7,1,fc2,8,129,114,10000000.0,5.166419969270359,1e-07,1,10,9,10000000.0,4.826739860810226,1.0000000000000001e-07,100000000000000.0
0.75,7,2,conv1,0,10,10,5.027785758653272,0.5349453226337356,1e-07,0,16,16,54.30755060012497,1.0338263987338887,1.0000000000000001e-07,273.0467294946503
0.75,7,2,conv2,0,145,145,38.6923261934382,0.5827689792525986,9.999999999999998e-08,0,32,32,5.418753793565268,0.33768155655077886,1.0000000000000001e-07,209.66418934255805
0.75,7,2,fc1,0,1569,1569,198.25792683859595,0.5411945690654276,9.999999999999998e-08,0,128,127,10000000.0,1.957360738507908,1.0000000000000001e-07,1982579268.3859594
0.75,7,2,fc2,1,129,128,10000000.0,1.6215705085469219,1e-07,1,10,9,10000000.0,4.809632337888711,1e-07,100000000000000.0
0.75,7,3,conv1,0,10,10,5.055287994380672,0.536275063572518,1e-07,0,16,16,21.802822795635148,0.8029176888421946,1e-07,110.2195483223836
0.75,7,3,conv2,0,145,145,42.06760315369363,0.6157101714171035,1e-07,0,32,32,2.004301460216906,0.13979148266075175,1e-07,84.31615842877346
0.75,7,3,fc1,0,1569,1569,329.65267810507316,0.7036934236272655,1.0000000000000001e-07,0,128,128,5799.334596854676,1.3877184897491073,1e-07,1911766.1810805488
0.75,7,3,fc2,0,129,129,321.57274825212767,0.9688620940479489,1e-07,0,10,10,22730.216333083972,2.9639277067229512,1e-07,7309418.1345952125
0.75,7,4,conv1,0,10,10,5.047710862260547,0.536078833514118,1e-07,0,16,16,9.794080964181912,0.6221252239316027,1e-07,49.43768886876029
0.75,7,4,conv2,0,145,145,43.97031868657778,0.6344396121271745,1e-07,0,32,32,1.4694082326922135,0.07813804538863943,1e-07,64.61034827215767
0.75,7,4,fc1,0,1569,1569,363.8057872603369,0.7379982732907064,1e-07,1,128,126,10000000.0,2.2861292875277703,1e-07,3638057872.6033688
0.75,7,4,fc2,2,129,127,10000000.0,1.9666422425277175,1e-07,1,10,9,10000000.000000002,4.785680318241341,1e-07,100000000000000.02
0.75,7,5,conv1,0,10,10,5.061518920656215,0.5367839376431908,1e-07,0,16,16,4.007131843776019,0.3995670569283071,1e-07,20.282173644836345
0.75,7,5,conv2,0,145,145,44.55820471827578,0.6490015544339036,1e-07,0,32,32,1.1900226050887988,0.03656022521372865,1e-07,53.02527085692255
0.75,7,5,fc1,0,1569,1569,413.4058798851219,0.7672372371347929,1e-07,0,128,126,10000000.000000002,2.2666797477147704,9.999999999999998e-08,4134058798.85122
0.75,7,5,fc2,0,129,127,10000000.0,1.9542384686248808,1e-07,1,10,9,10000000.0,4.7815444853282445,1e-07,100000000000000.0
1.0,7,1,conv1,0,10,10,25.77954010746143,1.0753547378752433,1.0000000000000001e-07,0,16,16,10.196154450507253,0.7370744541409245,1e-07,262.8521725987231
1.0,7,1,conv2,0,145,145,2388.0892777443955,1.2597997733927873,1e-07,0,32,32,815.6939764052488,1.4247097205055603,9.999999999999998e-08,1947950.0389740646
1.0,7,1,fc1,5,1569,1559,10000000.0,1.9823851474997998,1e-07,10,128,109,10000000.000000002,5.561563850955016,1e-07,100000000000000.02
1.0,7,1,fc2,8,129,114,10000000.0,5.176166248145073,1e-07,1,10,9,10000000.0,4.817921178873106,1e-07,100000000000000.0
1.0,7,2,conv1,0,10,10,25.842311710258553,1.0761164491624997,1.0000000000000001e-07,0,16,16,43.35745370995638,0.9614599157228182,1e-07,1120.456833735799
1.0,7,2,conv2,0,145,145,2322.6727694218616,1.248157291477827,1e-07,0,32,32,6.595299904840696,0.35214346329633595,1e-07,15318.72349514408
1.0,7,2,fc1,0,1569,1569,35889.57365926582,1.0224331548727086,1e-07,0,128,127,10000000.0,2.111461626618853,1e-07,358895736592.6582
1.0,7,2,fc2,1,129,128,10000000.0,2.1716873626445783,1e-07,1,10,9,10000000.0,4.800488569050567,1e-07,100000000000000.0
1.0,7,3,conv1,0,10,10,26.12989458481707,1.0788102917370148,1e-07,0,16,16,14.065554747632442,0.651105081469653,1e-07,367.53146283260895
1.0,7,3,conv2,0,145,145,2450.6009537273294,1.2654557613567214,1e-07,0,32,32,1.5793701721126185,0.09521343600427586,1e-07,3870.406050067679
1.0,7,3,fc1,0,1569,1569,100086.72350198451,1.4244204809468475,1e-07,0,128,128,982545.965105333,1.817322107711483,1e-07,98339806337.48799
1.0,7,3,fc2,0,129,129,149944.1279963235,1.96496441299662,1e-07,1,10,9,10000000.0,4.75994630894907,1e-07,1499441279963.235
1.0,7,4,conv1,0,10,10,26.050978980336776,1.0784167304002639,1e-07,0,16,16,5.44916871349034,0.4815795414114503,1e-07,141.95617961544565
1.0,7,4,conv2,0,145,145,2778.5991102212415,1.2813455513734293,1e-07,0,32,32,1.4523329759879042,0.07309959605506662,1e-07,4035.4511148249585
1.0,7,4,fc1,0,1569,1569,129839.0721664303,1.504934926106374,9.999999999999998e-08,1,128,126,10000000.0,2.5596098689370756,1e-07,1298390721664.303
1.0,7,4,fc2,1,129,128,10000000.0,2.1853073716631766,1.0000000000000001e-07,1,10,9,10000000.000000002,4.755261378068964,9.999999999999998e-08,100000000000000.02
1.0,7,5,conv1,0,10,10,26.196041431841252,1.0798473100671266,1e-07,0,16,16,3.858849329627416,0.3917091675509521,1e-07,101.08657691815263
1.0,7,5,conv2,0,145,145,2779.2174386381566,1.30102001964523,1e-07,0,32,32,1.5547075335995697,0.0808633138580029,1e-07,4320.870289362042
1.0,7,5,fc1,0,1569,1569,187857.1788795374,1.57437250236834,1e-07,0,128,126,10000000.0,2.5367678067828856,1e-07,1878571788795.3738
1.0,7,5,fc2,1,129,127,10000000.0,2.4012097164555435,1e-07,1,10,9,10000000.0,4.745190419986428,1e-07,100000000000000.0
