beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
0.75,42,5,conv2,0,145,145,52.081913780535906,0.6944774502858843,9.999999999999998e-08,0,32,32,5.806942393073127,0.2955840544161644,1.0000000000000001e-07,302.43667304457347
0.75,42,5,fc1,0,1569,1569,423.32815984173226,0.7857502526734198,1e-07,2,128,126,10000000.0,2.264730637195225,1e-07,4233281598.4173226
0.75,42,5,fc2,1,129,127,10000000.0,1.9710787875019429,1e-07,1,10,9,10000000.000000002,4.788715688125852,1e-07,100000000000000.02
1.0,42,1,conv1,0,10,10,26.07166990540314,1.078713930305232,9.999999999999998e-08,0,16,16,4.51958522100416,0.4104992037019338,1e-07,117.83313399135896
1.0,42,1,conv2,0,145,145,3074.5814106646367,1.3097509644684038,1e-07,0,32,32,768.1957397213129,1.483600216643548,1e-07,2361880.341098918
1.0,42,1,fc1,46,1569,1486,10000000.0,3.6013122529392314,1e-07,3,128,122,10000000.0,3.448174070885507,1e-07,100000000000000.0
1.0,42,1,fc2,3,129,123,10000000.000000002,3.6570368445463175,1e-07,0,10,10,14478.522959701015,2.846135986581675,1.0000000000000001e-07,144785229597.01016
1.0,42,2,conv1,0,10,10,26.022281960092993,1.0785321708687934,1e-07,0,16,16,9.274642343613719,0.5985047840920696,1e-07,241.34735814453387
1.0,42,2,conv2,0,145,145,2834.9465261558344,1.298587680409723,1e-07,0,32,32,71.62760942701324,0.7544177520545856,1e-07,203060.4425219581
1.0,42,2,fc1,3,1569,1564,10000000.000000002,1.6158786709368378,1e-07,0,128,127,10000000.000000002,2.297127378684409,1e-07,100000000000000.03
1.0,42,2,fc2,1,129,128,10000000.0,1.9882818259047579,1e-07,1,10,9,10000000.0,4.808537603847313,1.0000000000000001e-07,100000000000000.0
1.0,42,3,conv1,0,10,10,25.85648423600019,1.0761856333257398,9.999999999999998e-08,0,16,16,2.611738325266872,0.3068853339210981,1e-07,67.5303708358204
1.0,42,3,conv2,0,145,145,2908.1675823670007,1.325809225301838,1e-07,0,32,32,3.6619130917463125,0.32372403809981004,1e-07,10649.456942861943
1.0,42,3,fc1,0,1569,1569,106580.41176024757,1.4321305695846747,1.0000000000000001e-07,6,128,120,10000000.000000002,4.33451513820558,1e-07,1065804117602.476
1.0,42,3,fc2,4,129,125,10000000.0,2.961365153541071,1e-07,0,10,10,8758.933206330537,2.6555924615046123,1e-07,87589332063.30537
1.0,42,4,conv1,0,10,10,25.942157326392618,1.0774461524185464,1e-07,0,16,16,2.8892952578278672,0.26603928409979866,1e-07,74.95455214097065
1.0,42,4,conv2,0,145,145,3433.342047307628,1.355158395237572,1e-07,0,32,32,2.591021232201667,0.1737060283780813,1e-07,8895.862141984804
1.0,42,4,fc1,0,1569,1569,165520.5024278828,1.5456782279367296,1e-07,3,128,123,10000000.0,3.7531969912890975,1e-07,1655205024278.8281
1.0,42,4,fc2,0,129,126,10000000.0,2.780065763154686,1e-07,1,10,9,10000000.000000002,4.729610956106689,1e-07,100000000000000.02
1.0,42,5,conv1,0,10,10,26.015514970290006,1.0779672775523743,1e-07,0,16,16,2.871499920059429,0.2520947007089216,1e-07,74.70354915749263
1.0,42,5,conv2,0,145,145,3563.1193063818614,1.3716382735886983,1e-07,0,32,32,1.9361089261831799,0.12273057098934277,1e-07,6898.587094141542
1.0,42,5,fc1,0,1569,1569,198624.29927665865,1.607929477416459,1e-07,3,128,123,10000000.000000002,3.2726486476729884,1e-07,1986242992766.587
1.0,42,5,fc2,3,129,125,10000000.000000002,2.840006467974581,1e-07,1,10,9,10000000.0,4.754996667006318,1e-07,100000000000000.02
0.0,7,1,conv1,0,10,10,26.93934407010298,1.0877987916514424,1e-07,0,16,16,10.216534440313987,0.7376983305130536,1e-07,275.22673649167547
0.0,7,1,conv2,0,145,145,25034.92208492366,1.6983388460245155,1e-07,0,32,32,831.6628668344816,1.4297188375008956,1.0000000000000001e-07,20820615.072125487
0.0,7,1,fc1,5,1569,1471,10000000.0,2.0960789697080435,1e-07,10,128,107,10000000.0,4.585599812614965,1.0000000000000001e-07,100000000000000.0
0.0,7,1,fc2,8,129,112,10000000.0,3.333159063087645,1e-07,1,10,9,10000000.0,4.823354274090074,1e-07,100000000000000.0
0.0,7,2,conv1,0,10,10,27.007664375812723,1.0885908768107748,1e-07,0,16,16,82.2763169886444,1.0695856420443366,9.999999999999998e-08,2222.0911553072865
