estimator,seed,beta,reference_beta,accuracy_difference,clip_fraction_difference,transformed_norm_p90_difference,transformed_norm_p99_difference,transformed_block_floored_condition_number_difference
KFLR,7,0.0,0.5,-0.023900000000000032,0.05253405448717949,195.26288604736328,-4837.828369140625,49558422463586.43
KFLR,7,0.25,0.5,0.00649999999999995,-0.022168803418803423,-22.3294038772583,-2382.705078125,-389500266673.66925
KFLR,7,0.75,0.5,-0.02100000000000002,0.05632345085470086,392.94844818115234,422.36865234375,74849510514.30371
KFLR,7,1.0,0.5,-0.03700000000000003,0.12765424679487178,1700.1636276245117,-2.341796875,24866983879105.727
KFLR,42,0.0,0.5,-0.03259999999999996,0.06565504807692307,266.76432037353516,-4368.66015625,46600967328654.01
KFLR,42,0.25,0.5,0.005700000000000038,-0.021083733974358976,-32.46133327484131,-2044.723388671875,5596581635247.05
KFLR,42,0.75,0.5,-0.018899999999999917,0.05750868055555555,434.5182571411133,2334.0712890625,-120571585831.43085
KFLR,42,1.0,0.5,-0.031399999999999983,0.1316105769230769,2291.470375061035,4444.2763671875,250453293276.10205
KFRA-block,7,0.0,0.5,-0.023500000000000076,0.05288461538461539,203.22034454345703,-4893.248291015625,46079918334571.766
KFRA-block,7,0.25,0.5,0.006199999999999983,-0.021484375,-22.72746992111206,-2371.94091796875,-3899367691226.4136
KFRA-block,7,0.75,0.5,-0.021400000000000086,0.05450387286324787,422.56688690185547,546.630859375,21080883166062.47
KFRA-block,7,1.0,0.5,-0.03870000000000007,0.1220118856837607,1898.0905990600586,46.8271484375,21434051878826.742
KFRA-block,42,0.0,0.5,-0.03249999999999997,0.06592214209401709,272.09268951416016,-4442.2703857421875,24999429602504.324
KFRA-block,42,0.25,0.5,0.005299999999999971,-0.020933493589743585,-31.580280303955078,-2063.01318359375,1448183235549.6836
KFRA-block,42,0.75,0.5,-0.02100000000000002,0.05655715811965811,455.8749771118164,2324.267578125,379697084.890625
KFRA-block,42,1.0,0.5,-0.035700000000000065,0.13034188034188032,2622.040351867676,4713.8017578125,-24482390998202.535
