estimator,beta,seed,accountant,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,predicted_second_moment_raw,predicted_second_moment_ref,scale_match,predicted_rms_raw,predicted_rms_matched,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls,transformed_block_floored_condition_number,total_build_seconds,total_private_train_seconds,total_algorithm_seconds,total_geometry_seconds,total_state_metric_seconds,total_wall_seconds,peak_allocated_bytes
KFLR,0.0,42,RDP,5,0.9183,0.599974841843173,0.5914734652281827,0.995693195331761,1.068115234375,0.22667935363247863,0.7990113142718617,0.0005953947547823191,314.1875,1712.4384765625,0.15477505046874285,10.396550145931542,0.07776246313005686,0.0037410538643598557,1.0522850779816508,10.551325196400285,11.685113791376352,0.044429701478339925,5761.911322424785,167988736,137742336,167988736,234,59904,1170,23040,90,10,2560,2998.7243730252258,36964.20415490444,3.5109318968496344,54.76060968456456,192.2607712324707,0.801919642840566,0.5101391350791741,0.2215506113677829,1.7924459579148717,10,47231452020362.195,0.7721873708069324,52.08104264456779,52.85323001537472,0.4182961257174611,0.018525702878832817,58.57927502691746,167988736
KFLR,0.25,42,RDP,5,0.9566,0.33355565884687166,0.3516249063814807,0.995693195331761,1.068115234375,0.13994057158119658,0.8756978050765828,2.75360798696056e-06,14.961846351623535,4036.375244140625,0.2799082016572356,10.37772954814136,0.07786579243838787,0.0036847926676273346,1.038896351121366,10.657637749798596,11.778084686025977,0.044349271573253676,5772.360873552418,168142336,137742336,168142336,234,59904,1170,23040,90,10,2560,1804.4940082697983,51302.15798000689,5.331999434511681,42.4793362503441,226.49979686526626,0.7603549601464914,0.6485437220328172,0.2816589597518489,1.6540413709612287,10,6227066326955.234,1.4204550944268703,51.91841847077012,53.33887356519699,0.3880505030974746,0.01845174189656973,58.99242536071688,168142336
KFLR,0.5,42,RDP,5,0.9509,0.37324201297946275,0.40492657708943397,0.995693195331761,1.068115234375,0.16102430555555555,0.8564822925971105,6.633713383052964e-06,47.423179626464844,6081.0986328125,0.27994720079004765,10.384636075235903,0.07811202947050333,0.0036742351949214935,1.0355894630774856,10.664583276025951,11.781959003768861,0.04437878664630728,5768.521839956648,168142336,137742336,168142336,234,59904,1170,23040,90,10,2560,53198.57194297707,53198.57194297707,1.0,230.6481561664369,230.6481561664369,0.704996675625227,0.8107250202379026,0.3520934026302232,1.4918600727561433,10,630484691708.1843,1.4208948370069265,51.84606249444187,53.26695733144879,0.38956866692751646,0.018246358260512352,58.907811906188726,168142336
KFLR,0.75,42,RDP,5,0.932,0.49424163322001696,0.5175796903860874,0.995693195331761,1.068115234375,0.2185329861111111,0.8047362729015514,0.0001283717865590006,481.9414367675781,8415.169921875,0.27959031518548727,10.375711486674845,0.0777161130681634,0.0036349771544337273,1.035820273682475,10.655301801860332,11.772473165765405,0.04434064737895233,5773.483589721299,168142336,137742336,168142336,234,59904,1170,23040,90,10,2560,8423775.327506969,52677.465560648154,0.07907861390014206,2902.374084694626,229.51571963734457,0.6043220728021351,1.0945066531100756,0.4753381998521024,1.2080784398839703,10,509913105876.7535,1.4069018652662635,51.763275880366564,53.17017774563283,0.3889995366334915,0.01821934338659048,58.80358902923763,168142336
KFLR,1.0,42,RDP,5,0.9195,0.5432110499151052,0.5998052266927866,0.995693195331761,1.068115234375,0.29263488247863245,0.740010668324609,0.0049412911757826805,2338.8935546875,10525.375,0.29110777005553246,10.270327529869974,0.07768457848578691,0.0036290520802140236,1.0340935299172997,10.561435299925506,11.676842460408807,0.04389028858918792,5832.7253756782975,168142336,137742336,168142336,234,59904,1170,23040,90,10,2560,2687469934.0800567,51661.06460433355,0.004384396967242707,51840.81340102658,227.29070505485603,0.4958699390353741,1.3847681178732834,0.6013971523079187,0.9178169751207625,10,880937984984.2864,1.427854805253446,51.58306618221104,53.01092098746449,0.3885074043646455,0.018152128905057907,58.62471580505371,168142336
KFRA-block,0.0,42,RDP,5,0.9189,0.5986094259433449,0.5921570277876325,0.995693195331761,1.068115234375,0.22682959401709402,0.799051913440737,0.0005869697779417038,318.8995056152344,1735.6563720703125,0.11744827777147293,10.323643635958433,0.07787500228732824,0.0036395443603396416,1.0414975760504603,10.441091913729906,11.564104036428034,0.04411813519640356,5802.602464051307,167988736,137742336,167988736,234,59904,1170,0,0,10,2560,3001.0410066478366,37966.33964811695,3.5568323835537194,54.7817579733239,194.84953078752062,0.8022836340490416,0.5087136305384576,0.2209315226118217,1.7938714624555883,10,50000000827384.51,0.5860640052706003,51.660949596203864,52.247013601474464,0.38917714171111584,0.01814376935362816,57.86905776709318,167988736
KFRA-block,0.25,42,RDP,5,0.9567,0.3347329367605293,0.3521759609381358,0.995693195331761,1.068115234375,0.13997395833333334,0.8755280046890943,2.6874831746681593e-06,15.22653579711914,4114.91357421875,0.24211136251688004,10.270445059984922,0.07775323186069727,0.0036432892084121704,1.0358400084078312,10.512556422501802,11.629792951978743,0.04389079085463642,5832.6586287282025,168142336,137742336,168142336,234,59904,1170,0,0,10,2560,1820.6232820743448,52702.875892728545,5.380307668375616,42.6687623686737,229.571069372272,0.7617918107867933,0.6441730827986999,0.2797608152500819,1.6584120101953461,10,26448754460429.867,1.209655781276524,51.583898860029876,52.7935546413064,0.3890365678817034,0.018132622353732586,58.410039314068854,168142336
KFRA-block,0.5,42,RDP,5,0.9514,0.3741862228232436,0.40582026264224297,0.995693195331761,1.068115234375,0.16090745192307693,0.8565425875349941,6.361767191265244e-06,46.80681610107422,6177.9267578125,0.24274193588644266,10.286790054291487,0.07821023464202881,0.0036292336881160736,1.0382735347375274,10.52953199017793,11.649644993245602,0.043960641257655926,5823.390939626399,168142336,137742336,168142336,234,59904,1170,0,0,10,2560,54473.38398079137,54473.38398079137,1.0,233.39533838701956,233.39533838701956,0.706216955228477,0.8071661877516625,0.35054782131943113,1.4954189052423834,10,25000571224880.184,1.2104354379698634,51.61890564952046,52.82934108749032,0.38977689389139414,0.01809198223054409,58.450544632039964,168142336
KFRA-block,0.75,42,RDP,5,0.9304,0.5071880429342389,0.5253359314977614,0.995693195331761,1.068115234375,0.21746461004273504,0.8052722159613911,0.00011191424709977582,502.6817932128906,8502.1943359375,0.24200066551566124,10.306691505014896,0.07778904121369123,0.003620421513915062,1.041966289281845,10.548692170530558,11.672067922540009,0.04404569019237135,5812.14640710384,168142336,137742336,168142336,234,59904,1170,0,0,10,2560,8487266.129108738,53492.91303341401,0.07938970975900347,2913.291288063852,231.2853498028226,0.6113585554382569,1.0733752209613985,0.466160935475219,1.2292098720326474,10,25000950921965.074,1.2107468796893954,51.59020500816405,52.800951887853444,0.3893566643819213,0.01811277214437723,58.40980781055987,168142336
KFRA-block,1.0,42,RDP,5,0.9157,0.5886724578075111,0.634914296432438,0.995693195331761,1.068115234375,0.29124933226495725,0.7399924007745889,0.004059006460011005,2668.84716796875,10891.728515625,0.2418665811419487,10.359811353497207,0.07790727447718382,0.0036379871889948845,1.050886713899672,10.601677934639156,11.734109910205007,0.04427269809186841,5782.344673658362,168142336,137742336,168142336,234,59904,1170,0,0,10,2560,2631859514.451028,51269.19097270956,0.004413639731204038,51301.65216102721,226.42701025431919,0.5160026306020659,1.331401700295302,0.5782204116348567,0.9711833926987439,10,518180226677.6498,1.2110138023272157,51.782923634164035,52.99393743649125,0.389193925075233,0.018106022849678993,58.64088310673833,168142336
KFLR,0.0,7,RDP,5,0.9285,0.5256404671788215,0.5793241983295506,0.995693195331761,1.068115234375,0.20063768696581197,0.8210724103145111,0.00018194076255895197,224.40211486816406,1836.226318359375,0.1549258530139923,10.386071396060288,0.07767753303050995,0.0036175157874822617,1.058301705867052,10.54099724907428,11.680594003759325,0.04438492049598414,5767.724649257001,167988736,137742336,167988736,234,59904,1170,23040,90,10,2560,2628.7709072259877,38608.006278907465,3.8323248715682134,51.27154090941667,196.48920143078465,0.8300826101319206,0.4491606666631519,0.19506799901979274,1.853424426330894,10,50000000053769.984,0.7740026889368892,51.89004524424672,52.66404793318361,0.38912622909992933,0.018221121281385422,58.334621966816485,167988736
KFLR,0.25,7,RDP,5,0.9589,0.3080971926048398,0.35450889442402583,0.995693195331761,1.068115234375,0.12593482905982906,0.8875794110135136,1.2032030554109951e-06,6.8098249435424805,4291.349609375,0.27986596804112196,10.364997958764434,0.07805211655795574,0.0036333659663796425,1.0482026375830173,10.644863926805556,11.774752046912909,0.04429486307164288,5779.451210537517,168142336,137742336,168142336,234,59904,1170,23040,90,10,2560,1569.2755414645399,45798.32397256319,5.402256360469923,39.614082615460624,214.00542977355315,0.819765066502339,0.49498802060232644,0.2149705659558035,1.8075970723917194,10,52077323509.88485,1.4000145876780152,51.82534313108772,53.225357718765736,0.3897468652576208,0.018240253441035748,58.87253170553595,168142336
