estimator,beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
KFLR,0.0,42,1,conv1,0,10,10,27.25456468657796,1.0912591936913143,1e-07,0,16,16,4.525754098755847,0.411447257950842,1e-07,123.34745784008658
KFLR,0.0,42,1,conv2,0,145,145,12385.943219442608,1.5410264168496557,9.999999999999998e-08,0,32,32,739.5550235871042,1.4756385739278728,1e-07,9160086.529803412
KFLR,0.0,42,1,fc1,46,1569,1475,10000000.0,2.1198900099869684,1e-07,4,128,122,10000000.0,3.1295781776783484,1e-07,100000000000000.0
KFLR,0.0,42,1,fc2,3,129,119,10000000.0,2.87240282088438,1e-07,1,10,9,10000000.0,4.817195571297038,1e-07,100000000000000.0
KFLR,0.0,42,2,conv1,0,10,10,27.201573480647433,1.091072015804141,1e-07,0,16,16,39.123041326651,0.8995720661331992,1e-07,1064.2082834333034
KFLR,0.0,42,2,conv2,0,145,145,21799.524402724845,1.7480309609793643,1e-07,0,32,32,33.76070525833559,0.5857109887899776,1e-07,735967.3181322877
KFLR,0.0,42,2,fc1,0,1569,1504,10000000.0,2.1376960553757707,1e-07,3,128,123,10000000.000000002,2.928896191827882,9.999999999999998e-08,100000000000000.02
KFLR,0.0,42,2,fc2,1,129,127,10000000.0,2.2045604723660515,1e-07,0,10,9,10000000.0,4.568843507045521,1.0000000000000001e-07,100000000000000.0
KFLR,0.0,42,3,conv1,0,10,10,27.02254649245918,1.0886580529217857,1e-07,0,16,16,26.589913124255787,0.7409542266852872,1e-07,718.5271636306526
KFLR,0.0,42,3,conv2,0,145,145,20266.950955501077,1.7440299317063397,1e-07,0,32,32,10.037320389042407,0.437538095617366,9.999999999999998e-08,203425.88004937346
KFLR,0.0,42,3,fc1,0,1569,1521,10000000.0,2.128266813474982,1e-07,1,128,126,10000000.0,2.6582723563118265,1e-07,100000000000000.0
KFLR,0.0,42,3,fc2,0,129,128,10000000.000000002,2.223735245534615,9.999999999999998e-08,0,10,9,10000000.0,4.508957175764031,1e-07,100000000000000.02
KFLR,0.0,42,4,conv1,0,10,10,27.11472753469698,1.0899551218434664,1e-07,0,16,16,13.3837228859884,0.6097811628561673,1e-07,362.8959994534638
