seed,comparison,test_accuracy_difference,clip_fraction_difference,mean_clip_factor_difference,total_private_train_seconds_difference,total_algorithm_seconds_difference,total_wall_seconds_difference
7,DP-KFLR minus DP-KFC,0.0015000000000000568,-0.004640758547008544,0.0033544368214076803,-0.047862740233540535,0.1510173613205552,0.13468570448458195
7,DP-KFRA-block minus DP-KFC,0.0014000000000000679,-0.004607371794871806,0.0033884000064979825,-0.027862767688930035,-0.021569174714386463,-0.019681915640830994
7,DP-KFLR minus DP-KFRA-block,9.999999999998899e-05,-3.338675213673814e-05,-3.396318509030216e-05,-0.0199999725446105,0.17258653603494167,0.15436762012541294
42,DP-KFLR minus DP-KFC,0.0017999999999999128,-0.006143162393162399,0.004495002520390146,-0.21280164271593094,-0.0071878088638186455,-0.08062203601002693
42,DP-KFRA-block minus DP-KFC,0.0022999999999999687,-0.006260016025641024,0.004555297458273766,-0.07360259350389242,-0.07845772895962,-0.1003338173031807
42,DP-KFLR minus DP-KFRA-block,-0.000500000000000056,0.00011685363247862512,-6.029493788362039e-05,-0.13919904921203852,0.07126992009580135,0.019711781293153763
