method,tau,preconditioner_batches,synthetic_samples,seed,epoch,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,preconditioner_storage_mb,gain_p10,gain_median,gain_p90,gain_max
DP-KFC,NaN,16,4096,42,5,0.9508,0.3658092939987779,0.3944521487553914,0.9968127491314319,0.15398333333333333,0.8627662658691406,0.46685620676726103,11.29018119070679,11.75703739747405,9.602703094482422,NaN,NaN,NaN,NaN
DP-KFC,NaN,10,2560,42,5,0.9507,0.37483391940295696,0.40455486749013264,0.9968127491314319,0.15843333333333334,0.8587435282389323,0.35494365729391575,11.270078536123037,11.625022193416953,9.602703094482422,NaN,NaN,NaN,NaN
DP-KFC,NaN,4,1024,42,5,0.9446,0.4279405359864235,0.4631790019353231,0.9968127491314319,0.18825,0.8316116892496744,0.22816443536430597,14.379030987620354,14.60719542298466,9.602703094482422,NaN,NaN,NaN,NaN
DP-KFC,NaN,1,256,42,5,0.9444,0.4228341007471085,0.4717937568028768,0.9968127491314319,0.20755,0.8138617099761963,0.15489277988672256,14.31332528591156,14.468218065798283,9.602703094482422,NaN,NaN,NaN,NaN
Full-Fisher Equil,1.0,10,2560,42,5,0.9338,0.40360649056062103,0.39847889629999794,0.9968127491314319,0.18543333333333334,0.8427109954833985,0.08921087346971035,12.658147727139294,12.747358600609004,0.7893447875976562,0.6955714821815491,1.0252621173858643,1.3887666463851929,1.4499478340148926
Full-Fisher Equil,1.0,1,256,42,5,0.9337,0.40454499415680767,0.39682722330093384,0.9968127491314319,0.18495,0.8430059987386068,0.01419646292924881,12.610544101335108,12.624740564264357,0.7893447875976562,0.6950977444648743,1.0246176719665527,1.396760106086731,1.449037790298462
Full-Fisher Equil,1.0,16,4096,42,5,0.933,0.4029896825298667,0.3985138933817546,0.9968127491314319,0.18495,0.8430464757283529,0.13860277831554413,12.659145002253354,12.797747780568898,0.7893447875976562,0.6960697770118713,1.0248939990997314,1.3886371850967407,1.4494190216064453
Full-Fisher Equil,1.0,4,1024,42,5,0.9329,0.40249473100304606,0.39679685595830283,0.9968127491314319,0.18518333333333334,0.8428356035868326,0.0405322415754199,12.601505964063108,12.642038205638528,0.7893447875976562,0.6952493190765381,1.026165246963501,1.3879847526550293,1.4512206315994263
Full-Fisher Equil,0.1,1,256,42,5,0.9311,0.38990267616510393,0.3966707713762919,0.9968127491314319,0.19743333333333332,0.8343407337188721,0.013908187858760357,12.61780081409961,12.63170900195837,0.7893447875976562,0.5113555788993835,0.9622930884361267,2.152306318283081,3.191565990447998
Full-Fisher Equil,0.1,10,2560,42,5,0.93,0.3947303569316864,0.40042893822987874,0.9968127491314319,0.19588333333333333,0.83592687403361,0.09263394493609667,12.638178276829422,12.730812221765518,0.7893447875976562,0.5119067430496216,0.9664011597633362,2.130077600479126,3.2051925659179688
Full-Fisher Equil,0.1,16,4096,42,5,0.9298,0.3944537335395813,0.4020000015894572,0.9968127491314319,0.19588333333333333,0.8356500696818033,0.1382693639025092,12.635719055309892,12.773988419212401,0.7893447875976562,0.5088604688644409,0.9670200943946838,2.1628494262695312,3.2072441577911377
Full-Fisher Equil,0.1,4,1024,42,5,0.9287,0.4006909029722214,0.40534193042119343,0.9968127491314319,0.2002,0.8319989743550619,0.03891594987362623,12.641586450859904,12.68050240073353,0.7893447875976562,0.5128641128540039,0.9650788903236389,2.1502132415771484,3.20080828666687
Full-Fisher Equil,0.01,10,2560,42,5,0.9181,0.43894030917286875,0.4344819293340047,0.9968127491314319,0.22283333333333333,0.8153877538045248,0.09031545091420412,12.64391614496708,12.734231595881283,0.7893447875976562,0.46785861253738403,0.9312535524368286,2.252509117126465,9.359027862548828
Full-Fisher Equil,0.01,16,4096,42,5,0.9177,0.43974250467419623,0.43900587399800617,0.9968127491314319,0.22761666666666666,0.8113706067403158,0.140488606877625,12.648931559175253,12.789420166052878,0.7893447875976562,0.46721845865249634,0.9286037683486938,2.241313934326172,9.332383155822754
Full-Fisher Equil,0.01,4,1024,42,5,0.9136,0.4579355431258678,0.45506401246388756,0.9968127491314319,0.23296666666666666,0.8062713452657064,0.040213447995483875,12.641437338665128,12.681650786660612,0.7893447875976562,0.4552358090877533,0.9339029788970947,2.3095686435699463,9.385655403137207
Full-Fisher Equil,0.001,16,4096,42,5,0.9125,0.46600327207148073,0.4523112028757731,0.9968127491314319,0.24721666666666667,0.7946935498555502,0.14052673242986202,12.650601170957088,12.79112790338695,0.7893447875976562,0.4407850503921509,0.893527090549469,2.412332534790039,10.0
Full-Fisher Equil,0.001,10,2560,42,5,0.9125,0.4631070152580738,0.45294281285603843,0.9968127491314319,0.23508333333333334,0.8054801263173421,0.09157388750463724,12.645715441554785,12.737289329059422,0.7893447875976562,0.439339816570282,0.894066333770752,2.3638172149658203,10.0
Full-Fisher Equil,0.01,1,256,42,5,0.9084,0.4890745523482561,0.466551736386617,0.9968127491314319,0.26155,0.7807481656392415,0.014230324886739254,12.633850691840053,12.648081016726792,0.7893447875976562,0.45589935779571533,0.920859694480896,2.3487043380737305,9.254531860351562
Full-Fisher Equil,0.001,4,1024,42,5,0.903,0.5096078208506107,0.48428597221374514,0.9968127491314319,0.2814,0.7632330879211425,0.0404409309849143,12.632510903291404,12.672951834276319,0.7893447875976562,0.4302109181880951,0.8772672414779663,2.3891713619232178,10.0
Full-Fisher Equil,0.001,1,256,42,5,0.899,0.5174594230532646,0.486549608039856,0.9968127491314319,0.30516666666666664,0.7421953104654948,0.014829093590378761,12.656486348249018,12.671315441839397,0.7893447875976562,0.4113399386405945,0.8514447212219238,2.322205066680908,10.0
