task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
vit,dp_kfm_a,pink,0.25,42,1,patch_embed,True,0.621153982490905,0.8487813064691657,patch_head,147648.0,78714.28996947003,147648,1.0,5526346,1.8757458151152282,79679648,6.215087792396735,0.26198196196242496,140486.90734637048,1492.0695620062106,0.01765302459148114,26.33954067029613
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.attn.q_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,37056.0,25247.0294104657,37056,1.0,5526346,1.4677370314560296,79679648,10.266287539402134,0.6735000666323455,31616.961249097865,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.attn.k_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,37056.0,25247.0294104657,37056,1.0,5526346,1.4677370314560296,79679648,10.266287539402134,0.6735000666323455,31616.961249097865,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.attn.v_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,37056.0,25247.0294104657,37056,1.0,5526346,1.4677370314560296,79679648,10.266287539402134,0.6735000666323455,31616.961249097865,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.attn.out_proj,True,0.10836942728802505,4.822867426418404,attention_out,37056.0,16997.367095842612,37056,1.0,5526346,2.1801023529734516,79679648,9.550836442638744,0.5842859016505858,30963.368705018045,8320.81050132666,0.001001976580563823,8.337257253638837
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.mlp.fc1,True,0.3641099132362489,1.9164945556238355,mlp_fc1,148224.0,136490.3575121162,148224,1.0,5526346,1.0859668236039473,79679648,14.264250194178949,0.7398705019991253,125360.46251974997,41399.56624741298,0.0010000000312211559,41.39956753995529
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.mlp.fc2,True,0.1190921571486446,7.593671423422714,mlp_fc2,147648.0,92164.59437070432,147648,1.0,5526346,1.602003470075834,79679648,18.45442490670436,0.5047280633796168,130309.69932376494,115985.06320138722,0.001059067615111467,122.83602427324595
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.attn.q_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,37056.0,23537.277463202376,37056,1.0,5526346,1.5743537058579726,79679648,13.653342189965512,0.48755626167522265,32843.30866751639,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.attn.k_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,37056.0,23537.277463202376,37056,1.0,5526346,1.5743537058579726,79679648,13.653342189965512,0.48755626167522265,32843.30866751639,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.attn.v_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,37056.0,23537.277463202376,37056,1.0,5526346,1.5743537058579726,79679648,13.653342189965512,0.48755626167522265,32843.30866751639,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.attn.out_proj,True,0.144290203191076,3.923907957708787,attention_out,37056.0,14597.772164383421,37056,1.0,5526346,2.5384695406064495,79679648,13.698587767764751,0.36869522003274524,33577.013593499025,35213.01295543993,0.0011720687868649474,41.27207337654215
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.mlp.fc1,True,0.23393590191609723,2.4326963686227363,mlp_fc1,148224.0,109927.74593837846,148224,1.0,5526346,1.348376597143082,79679648,15.634403247088805,0.4170148006709319,136038.25489668766,59748.25651422537,0.001000018717964049,59.7493748799428
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.mlp.fc2,True,0.040200446112319925,3.058799579063516,mlp_fc2,147648.0,53563.104345043146,147648,1.0,5526346,2.7565243240735295,79679648,13.173647382513371,0.43126692308714726,131511.35276266508,30117.86194318659,0.0010005157681228266,30.13339577630458
vit,dp_kfm_a,pink,0.25,42,1,blocks.2.attn.q_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,37056.0,25479.25810421221,37056,1.0,5526346,1.454359457737662,79679648,12.863017784910717,0.4204837200719552,33660.97914270088,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,0.25,42,1,blocks.2.attn.k_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,37056.0,25479.25810421221,37056,1.0,5526346,1.454359457737662,79679648,12.863017784910717,0.4204837200719552,33660.97914270088,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,0.25,42,1,blocks.2.attn.v_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,37056.0,25479.25810421221,37056,1.0,5526346,1.454359457737662,79679648,12.863017784910717,0.4204837200719552,33660.97914270088,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,0.25,42,1,blocks.2.attn.out_proj,True,0.11636580509920338,1.8886769977209008,attention_out,37056.0,15186.482387787653,37056,1.0,5526346,2.4400647268915225,79679648,9.559975147187933,0.4276943911281265,33109.00757021948,8352.703263422924,0.001449152033099884,12.104336916069364
vit,dp_kfm_a,pink,0.25,42,1,blocks.2.mlp.fc1,True,0.2224458376863884,1.7094821731045011,mlp_fc1,148224.0,119128.87800415605,148224,1.0,5526346,1.2442323178333712,79679648,14.096813522180668,0.3695137732873502,138656.2530757567,39489.69860389064,0.001,39.48969860389064
vit,dp_kfm_a,pink,0.25,42,1,blocks.2.mlp.fc2,True,0.17132748893572655,1.8734494675448976,mlp_fc2,147648.0,54519.614712682705,147648,1.0,5526346,2.708162938753365,79679648,9.789134064356439,0.37081615168376825,135939.92460234097,9182.841858747848,0.0010547041182984748,9.685181126104977
vit,dp_kfm_a,pink,0.25,42,1,blocks.3.attn.q_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,37056.0,29391.54316562247,37056,1.0,5526346,1.260770820748949,79679648,14.209659851514273,0.35352992270177924,34728.46786579013,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,0.25,42,1,blocks.3.attn.k_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,37056.0,29391.54316562247,37056,1.0,5526346,1.260770820748949,79679648,14.209659851514273,0.35352992270177924,34728.46786579013,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,0.25,42,1,blocks.3.attn.v_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,37056.0,29391.54316562247,37056,1.0,5526346,1.260770820748949,79679648,14.209659851514273,0.35352992270177924,34728.46786579013,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,0.25,42,1,blocks.3.attn.out_proj,True,0.03096319252827678,2.2956173677552303,attention_out,37056.0,13455.87909663871,37056,1.0,5526346,2.7538891910270373,79679648,10.483038326028877,0.3531491138579913,34087.94259233811,12076.711576286898,0.0011696739417544203,14.125814832866734
vit,dp_kfm_a,pink,0.25,42,1,blocks.3.mlp.fc1,True,0.18025118275917792,2.483678467698164,mlp_fc1,148224.0,115502.42785673286,148224,1.0,5526346,1.283297699887784,79679648,15.696144829799932,0.3337318914734046,139344.2416681529,60697.66569222287,0.001,60.69766569222287
vit,dp_kfm_a,pink,0.25,42,1,blocks.3.mlp.fc2,True,0.15470164973298836,2.2165783745061423,mlp_fc2,147648.0,49918.585857819664,147648,1.0,5526346,2.957776096072465,79679648,10.393686761099108,0.3574284917668507,136459.21711536206,11670.205314471123,0.0010018357964796938,11.691629436304732
vit,dp_kfm_a,pink,0.25,42,1,blocks.4.attn.q_proj,True,0.2960674035963436,2.3393084714450256,attention_qkv,37056.0,28553.592526285942,37056,1.0,5526346,1.2977701480430839,79679648,14.531126433017201,0.3475752091181647,34681.36721631836,44585.85774784369,0.0010000351614704677,44.58742545216417
vit,dp_kfm_a,pink,0.25,42,1,blocks.4.attn.k_proj,True,0.2960674035963436,2.3393084714450256,attention_qkv,37056.0,28553.592526285942,37056,1.0,5526346,1.2977701480430839,79679648,14.531126433017201,0.3475752091181647,34681.36721631836,44585.85774784369,0.0010000351614704677,44.58742545216417
