estimator,seed,beta,reference_beta,accuracy_difference,clip_fraction_difference,transformed_norm_p90_difference,transformed_norm_p99_difference,transformed_block_floored_condition_number_difference
KFLR,42,0.0,0.5,0.03125,0.0,-933.6255798339844,-1020.4032592773438,2973002.859375
KFLR,42,0.25,0.5,0.01953125,0.0,-651.7388916015625,-722.0028991699219,37098.96875
KFLR,42,0.75,0.5,-0.00390625,0.0,1188.4801025390625,1336.3670654296875,9561.375
KFLR,42,1.0,0.5,-0.02734375,0.0,3137.7730712890625,3560.0762939453125,719275.53125
KFRA-block,42,0.0,0.5,0.03125,0.0,-933.6460266113281,-1020.4019317626953,2642641.3515625
KFRA-block,42,0.25,0.5,0.01953125,0.0,-651.7643432617188,-722.0278930664062,32977.375
KFRA-block,42,0.75,0.5,-0.00390625,0.0,1188.435546875,1336.4949951171875,8499.734375
KFRA-block,42,1.0,0.5,-0.02734375,0.0,3137.56298828125,3560.3961181640625,639363.9375
