estimator,beta,accountant,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,predicted_second_moment_raw,predicted_second_moment_ref,scale_match,predicted_rms_raw,predicted_rms_matched,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls
KFLR,0.0,RDP,42,1,0.20703125,2.2968316078186035,2.3043770790100098,,0.0,1.0,0.007892107591032982,130.27642822265625,146.24441528320312,157.94378662109375,0.08889585919678211,0.07970381528139114,0.12990162055939436,0.0009736679494380951,0.04799827467650175,0.16859967447817326,0.34747323766350746,0.07970381528139114,3211.8914144348323,159955968,138331648,159955968,1,256,0,2304,9,1,256,9.930475994898998,6768.071247197392,26.106426450504653,3.151265776620404,82.268288223333,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFLR,0.25,RDP,42,1,0.1953125,2.296564817428589,2.3043770790100098,,0.0,1.0,0.002694216091185808,375.31182861328125,428.131103515625,456.3441467285156,0.21006363723427057,0.06100267916917801,0.07692968472838402,0.0008259816095232964,0.040273054502904415,0.2710663164034486,0.3890950372442603,0.06100267916917801,4196.536996187302,160109568,138331648,160109568,1,256,0,2304,9,1,256,86.8764920596315,6768.071247197392,8.826353612298423,9.320755981122534,82.26828822333302,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFLR,0.5,RDP,42,1,0.17578125,2.302684783935547,2.3043770790100098,,0.0,1.0,0.0010882019996643066,924.8117065429688,1079.8699951171875,1178.3470458984375,0.2040891731157899,0.046178845688700676,0.07491212897002697,0.0004445938393473625,0.027768808417022228,0.25026801880449057,0.3533935500308871,0.046178845688700676,5543.663904588236,160109568,138331648,160109568,1,256,0,2304,9,1,256,6768.071247197392,6768.071247197392,1.0,82.268288223333,82.268288223333,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFLR,0.75,RDP,42,1,0.171875,2.3061037063598633,2.3043770790100098,,0.0,1.0,0.0005260114558041096,1921.884521484375,2268.35009765625,2514.714111328125,0.20186303928494453,0.04716320801526308,0.07507912162691355,0.0005359137430787086,0.02756889071315527,0.24902624730020761,0.35221017338335514,0.04716320801526308,5427.9598605156925,160109568,138331648,160109568,1,256,0,2304,9,1,256,1174789.661326352,6768.071247197392,0.07590185727907009,1083.877143096187,82.26828822333302,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFLR,1.0,RDP,42,1,0.1484375,2.307766914367676,2.3043770790100098,,0.0,1.0,0.00028424980700947344,3561.4775390625,4217.64306640625,4738.42333984375,0.20165609009563923,0.04591331630945206,0.07498515862971544,0.0004223436117172241,0.027669306844472885,0.24756940640509129,0.35064621549099684,0.04591331630945206,5575.724442873623,160109568,138331648,160109568,1,256,0,2304,9,1,256,290725109.09614336,6768.071247197392,0.004824931920411656,17050.66301045632,82.26828822333299,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFRA-block,0.0,RDP,42,1,0.20703125,2.2968316078186035,2.3043770790100098,,0.0,1.0,0.007892651483416557,130.2674560546875,146.23434448242188,157.9329071044922,0.08138041198253632,0.046454599127173424,0.07489047944545746,0.00044474005699157715,0.027801744639873505,0.12783501110970974,0.23097197525203228,0.046454599127173424,5510.756842378043,159955968,138331648,159955968,1,256,0,0,0,1,256,9.930678133476512,6767.27452161602,26.104624120337835,3.151297849057831,82.2634458408838,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFRA-block,0.25,RDP,42,1,0.1953125,2.296565055847168,2.3043770790100098,,0.0,1.0,0.0026942575350403786,375.3031005859375,428.11602783203125,456.30694580078125,0.2005417449399829,0.04628646466881037,0.07493218034505844,0.0004618503153324127,0.027839371003210545,0.24682820960879326,0.35006161127239466,0.04628646466881037,5530.774532722151,160109568,138331648,160109568,1,256,0,0,0,1,256,86.87260113108329,6767.27452161602,8.826031733009392,9.320547254913913,82.26344584088378,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFRA-block,0.5,RDP,42,1,0.17578125,2.302685022354126,2.3043770790100098,,0.0,1.0,0.0010881421621888876,924.9168090820312,1079.88037109375,1178.3348388671875,0.2005888819694519,0.04636666923761368,0.07493703439831734,0.0004912512376904488,0.0278669111430645,0.24695555120706558,0.35025074798613787,0.04636666923761368,5521.207458057545,160109568,138331648,160109568,1,256,0,0,0,1,256,6767.27452161602,6767.27452161602,1.0,82.26344584088379,82.26344584088379,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFRA-block,0.75,RDP,42,1,0.171875,2.306103467941284,2.3043770790100098,,0.0,1.0,0.0005259549943730235,1922.046142578125,2268.31591796875,2514.829833984375,0.2005403134971857,0.046354420483112335,0.0749421501532197,0.00041365064680576324,0.027389165945351124,0.24689473398029804,0.34963970072567463,0.046354420483112335,5522.666389352553,160109568,138331648,160109568,1,256,0,0,0,1,256,1174605.9525265817,6767.27452161602,0.07590332458791513,1083.7923936467637,82.26344584088379,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
KFRA-block,1.0,RDP,42,1,0.1484375,2.307767152786255,2.3043770790100098,,0.0,1.0,0.0002842100802809,3562.339599609375,4217.443359375,4738.73095703125,0.20037985313683748,0.04603568837046623,0.07486407924443483,0.0004391157999634743,0.02747342735528946,0.24641554150730371,0.3491921639069915,0.04603568837046623,5560.903052863535,160109568,138331648,160109568,1,256,0,0,0,1,256,290677459.8807461,6767.27452161602,0.004825043344031677,17049.265669838867,82.26344584088379,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
