estimator,beta,seeds,test_accuracy_mean,test_accuracy_std,clip_fraction_mean,clip_fraction_std,transformed_norm_p90_mean,transformed_norm_p90_std,transformed_norm_p99_mean,transformed_norm_p99_std,transformed_block_floored_condition_number_mean,transformed_block_floored_condition_number_std
KFLR,0.0,1,0.20703125,,1.0,,146.24441528320312,,157.94378662109375,,50000002973478.69,
KFLR,0.25,1,0.1953125,,1.0,,428.131103515625,,456.3441467285156,,50000000037574.8,
KFLR,0.5,1,0.17578125,,1.0,,1079.8699951171875,,1178.3470458984375,,50000000000475.83,
KFLR,0.75,1,0.171875,,1.0,,2268.35009765625,,2514.714111328125,,50000000010037.2,
KFLR,1.0,1,0.1484375,,1.0,,4217.64306640625,,4738.42333984375,,50000000719751.36,
KFRA-block,0.0,1,0.20703125,,1.0,,146.23434448242188,,157.9329071044922,,50000002643064.51,
KFRA-block,0.25,1,0.1953125,,1.0,,428.11602783203125,,456.30694580078125,,50000000033400.53,
KFRA-block,0.5,1,0.17578125,,1.0,,1079.88037109375,,1178.3348388671875,,50000000000423.16,
KFRA-block,0.75,1,0.171875,,1.0,,2268.31591796875,,2514.829833984375,,50000000008922.89,
KFRA-block,1.0,1,0.1484375,,1.0,,4217.443359375,,4738.73095703125,,50000000639787.09,
