rank,method,geometry,source,engine,profiled,profile_mode,epsilon_target,epsilon_spent,delta,noise_multiplier,sample_rate,seed,epoch,lr,device,train_size,train_examples,validation_size,logical_batch_size,physical_batch_size,geometry_batch_size,geometry_physical_batch_size,preconditioned_layers,trainable_parameters,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,physical_steps,optimizer_steps,noise_events,accountant_steps,C,learning_rate,noise_std,damping,a_power,collect_diagnostics
1,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.0005,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.7500813387945116,0.8094182316612488,0.8612385321100917,,,,,,,,,,,,,,,,,,,,,,,,0.2672793865203857,0.7588857412338257,0.0168000273406505,889.7448120117188,2183.052734375,4245.537109375,198,1581,198,198,198,1.0,0.0005,0.8184814453125,0.001,0.4,True
2,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.0005,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.8097428172575866,0.8733913129945329,0.8612385321100917,,,,,,,,,,,,,,,,,,,,,,,,0.269090861082077,0.7556982040405273,0.0085333092138171,919.184814453125,2397.0732421875,4690.95263671875,198,1581,198,198,198,0.5,0.0005,0.40924072265625,0.001,0.4,True
3,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.0005,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.6911751050549355,0.745889389709625,0.8600917431192661,,,,,,,,,,,,,,,,,,,,,,,,0.2653788328170776,0.7628806829452515,0.0333185940980911,850.1843872070312,1986.4229736328125,3766.177490234375,198,1581,198,198,198,2.0,0.0005,1.636962890625,0.001,0.4,True
4,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.0005,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.6331240207903384,0.6830946095266439,0.8589449541284404,,,,,,,,,,,,,,,,,,,,,,,,0.2622310519218445,0.7680358290672302,0.0677076950669288,802.9356689453125,1788.927734375,3323.8564453125,198,1581,198,198,198,4.0,0.0005,3.27392578125,0.001,0.4,True
5,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.001,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.8077396482088074,0.932969904001674,0.8543577981651376,,,,,,,,,,,,,,,,,,,,,,,,0.2754755020141601,0.7505892515182495,0.0454000271856784,983.102783203125,2690.4189453125,5242.7412109375,198,1581,198,198,198,1.0,0.001,0.8184814453125,0.001,0.4,True
6,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.001,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.6828194981731214,0.7801233413602533,0.8532110091743119,,,,,,,,,,,,,,,,,,,,,,,,0.271867424249649,0.7581248879432678,0.1774234324693679,909.3641357421876,2174.53515625,4197.49951171875,198,1581,198,198,198,4.0,0.001,3.27392578125,0.001,0.4,True
7,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.001,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.8706294760979951,1.0086179486763052,0.8532110091743119,,,,,,,,,,,,,,,,,,,,,,,,0.276514858007431,0.7479019165039062,0.0228661447763443,1006.5263061523438,2951.5966796875,5809.7373046875,198,1581,198,198,198,0.5,0.001,0.40924072265625,0.001,0.4,True
8,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.001,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.744838695766563,0.8566846399078863,0.8509174311926605,,,,,,,,,,,,,,,,,,,,,,,,0.2738422155380249,0.7540107369422913,0.090213194489479,950.0430908203124,2436.0791015625,4739.4736328125,198,1581,198,198,198,2.0,0.001,1.636962890625,0.001,0.4,True
9,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.0001,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.7567718959948195,0.7698250646893054,0.838302752293578,,,,,,,,,,,,,,,,,,,,,,,,0.3060475885868072,0.7275721430778503,0.0753092244267463,918.2242431640624,1756.099609375,3707.843017578125,198,1581,198,198,198,4.0,0.0001,3.27392578125,0.001,0.4,True
10,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.0001,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.8268967180323301,0.8391497925462185,0.8371559633027523,,,,,,,,,,,,,,,,,,,,,,,,0.3099080920219421,0.7204586863517761,0.0320360213518142,995.6306762695312,1935.1795654296875,3977.494873046875,198,1581,198,198,198,2.0,0.0001,1.636962890625,0.001,0.4,True
11,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.0001,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.9679673577819145,0.9792273803552668,0.8360091743119266,,,,,,,,,,,,,,,,,,,,,,,,0.3169906139373779,0.7100339531898499,0.0060015777125954,1136.2059326171875,2305.32080078125,4768.13818359375,198,1581,198,198,198,0.5,0.0001,0.40924072265625,0.001,0.4,True
12,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,0.0001,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.8973971292697114,0.9091888086639618,0.8348623853211009,,,,,,,,,,,,,,,,,,,,,,,,0.3134864568710327,0.7148211598396301,0.0137797305360436,1068.4869384765625,2124.855712890625,4281.349609375,198,1581,198,198,198,1.0,0.0001,0.8184814453125,0.001,0.4,True
13,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,1e-05,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.699674467341024,0.8415060409712135,0.7006880733944955,,,,,,,,,,,,,,,,,,,,,,,,0.75929856300354,0.3379823863506317,56.05898666381836,442.1324462890625,624.3687744140625,998.0555419921876,198,1581,198,198,198,4.0,1e-05,3.27392578125,0.001,0.4,True
14,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,1e-05,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.7894882689032248,1.0000221606241453,0.676605504587156,,,,,,,,,,,,,,,,,,,,,,,,0.7761362195014954,0.3099873661994934,51.89305114746094,471.6845397949219,654.9406127929688,1058.9254150390625,198,1581,198,198,198,2.0,1e-05,1.636962890625,0.001,0.4,True
15,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,1e-05,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.8744160222073338,1.1679102669068433,0.6525229357798165,,,,,,,,,,,,,,,,,,,,,,,,0.7961513996124268,0.2837072014808655,47.67745590209961,494.7762145996094,684.501220703125,1114.31884765625,198,1581,198,198,198,1.0,1e-05,0.8184814453125,0.001,0.4,True
16,DP-KFC-A,a_only,synthetic,bk,False,practical,3.0,2.994338991003502,1e-05,0.8184814453125,0.0152043831385766,42,3,1e-05,cuda,67349,202047,872,1024,128,256,16,37,66985530,0.9493848004885088,1.3380091633271731,0.6353211009174312,,,,,,,,,,,,,,,,,,,,,,,,0.8208139538764954,0.2554347515106201,44.08121871948242,513.1023559570312,708.9054565429688,1162.8092041015625,198,1581,198,198,198,0.5,1e-05,0.40924072265625,0.001,0.4,True
