task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
vit,dp_kfm_a,pink,1.0,42,1,patch_embed,True,0.621153982490905,0.8487813064691657,patch_head,42555.68325103834,5526346,1.1438666582774497,79679064,1492.0695620062106,1.0479278478496998,15507.880219991594,1492.0695620062106,0.01765302459148114,26.33954067029613
vit,dp_kfm_a,pink,1.0,42,1,blocks.0.attn.q_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,30055.73033251283,5526346,1.1438666582774497,79679064,11108.455905783541,2.694000266529382,12741.910024437007,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,1.0,42,1,blocks.0.attn.k_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,30055.73033251283,5526346,1.1438666582774497,79679064,11108.455905783541,2.694000266529382,12741.910024437007,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,1.0,42,1,blocks.0.attn.v_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,30055.73033251283,5526346,1.1438666582774497,79679064,11108.455905783541,2.694000266529382,12741.910024437007,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,1.0,42,1,blocks.0.attn.out_proj,True,0.10836942728802505,4.822867426418404,attention_out,11606.215196202686,5526346,1.1438666582774497,79679064,8320.81050132666,2.337143606602343,6102.044629331736,8320.81050132666,0.001001976580563823,8.337257253638837
vit,dp_kfm_a,pink,1.0,42,1,blocks.0.mlp.fc1,True,0.3641099132362489,1.9164945556238355,mlp_fc1,379696.5858132085,5526346,1.1438666582774497,79679064,41399.56624741298,2.959482007996501,57062.504957658726,41399.56624741298,0.0010000000312211559,41.39956753995529
vit,dp_kfm_a,pink,1.0,42,1,blocks.0.mlp.fc2,True,0.1190921571486446,7.593671423422714,mlp_fc2,114119.41268934819,5526346,1.1438666582774497,79679064,115985.06320138722,2.0189122535184674,18382.851473481172,115985.06320138722,0.001059067615111467,122.83602427324595
vit,dp_kfm_a,pink,1.0,42,1,blocks.1.attn.q_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,28713.644264683302,5526346,1.1438666582774497,79679064,34750.087291249554,1.9502250467008906,6184.251984635067,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,1.0,42,1,blocks.1.attn.k_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,28713.644264683302,5526346,1.1438666582774497,79679064,34750.087291249554,1.9502250467008906,6184.251984635067,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,1.0,42,1,blocks.1.attn.v_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,28713.644264683302,5526346,1.1438666582774497,79679064,34750.087291249554,1.9502250467008906,6184.251984635067,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,1.0,42,1,blocks.1.attn.out_proj,True,0.144290203191076,3.923907957708787,attention_out,11394.107811087535,5526346,1.1438666582774497,79679064,35213.01295543993,1.474780880130981,694.7785174430019,35213.01295543993,0.0011720687868649474,41.27207337654215
vit,dp_kfm_a,pink,1.0,42,1,blocks.1.mlp.fc1,True,0.23393590191609723,2.4326963686227363,mlp_fc1,158199.55052303502,5526346,1.1438666582774497,79679064,59748.25651422537,1.6680592026837275,26657.120312601393,59748.25651422537,0.001000018717964049,59.7493748799428
vit,dp_kfm_a,pink,1.0,42,1,blocks.1.mlp.fc2,True,0.040200446112319925,3.058799579063516,mlp_fc2,17667.40365908144,5526346,1.1438666582774497,79679064,30117.86194318659,1.725067692348589,8507.2800051482,30117.86194318659,0.0010005157681228266,30.13339577630458
vit,dp_kfm_a,pink,1.0,42,1,blocks.2.attn.q_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,31207.37223254024,5526346,1.1438666582774497,79679064,27376.09381263095,1.681934880287821,8199.742644246964,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,1.0,42,1,blocks.2.attn.k_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,31207.37223254024,5526346,1.1438666582774497,79679064,27376.09381263095,1.681934880287821,8199.742644246964,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,1.0,42,1,blocks.2.attn.v_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,31207.37223254024,5526346,1.1438666582774497,79679064,27376.09381263095,1.681934880287821,8199.742644246964,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,1.0,42,1,blocks.2.attn.out_proj,True,0.11636580509920338,1.8886769977209008,attention_out,6305.6716975023355,5526346,1.1438666582774497,79679064,8352.703263422924,1.710777564512506,3462.5361306138557,8352.703263422924,0.001449152033099884,12.104336916069364
vit,dp_kfm_a,pink,1.0,42,1,blocks.2.mlp.fc1,True,0.2224458376863884,1.7094821731045011,mlp_fc1,162489.66476471338,5526346,1.1438666582774497,79679064,39489.69860389064,1.4780550931494008,45284.89528948461,39489.69860389064,0.001,39.48969860389064
vit,dp_kfm_a,pink,1.0,42,1,blocks.2.mlp.fc2,True,0.17132748893572655,1.8734494675448976,mlp_fc2,10998.92258050131,5526346,1.1438666582774497,79679064,9182.841858747848,1.483264606735073,21012.229299646217,9182.841858747848,0.0010547041182984748,9.685181126104977
vit,dp_kfm_a,pink,1.0,42,1,blocks.3.attn.q_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,40325.604993872075,5526346,1.1438666582774497,79679064,40769.43829237271,1.414119690807117,10101.413314324851,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,1.0,42,1,blocks.3.attn.k_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,40325.604993872075,5526346,1.1438666582774497,79679064,40769.43829237271,1.414119690807117,10101.413314324851,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,1.0,42,1,blocks.3.attn.v_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,40325.604993872075,5526346,1.1438666582774497,79679064,40769.43829237271,1.414119690807117,10101.413314324851,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,1.0,42,1,blocks.3.attn.out_proj,True,0.03096319252827678,2.2956173677552303,attention_out,4630.591314687047,5526346,1.1438666582774497,79679064,12076.711576286898,1.4125964554319652,1399.243859819192,12076.711576286898,0.0011696739417544203,14.125814832866734
vit,dp_kfm_a,pink,1.0,42,1,blocks.3.mlp.fc1,True,0.18025118275917792,2.483678467698164,mlp_fc1,167433.5057205317,5526346,1.1438666582774497,79679064,60697.66569222287,1.3349275658936184,28166.110903328452,60697.66569222287,0.001,60.69766569222287
