hessian_stage_norm_mean,final_preconditioned_norm_mean,train_loss,preclip_norm_mean,preclip_norm_p50,preclip_norm_p90,preclip_norm_p99,clip_fraction,update_norm,step,epoch,conv1/A_damped_condition,conv1/G_damped_condition,conv2/A_damped_condition,conv2/G_damped_condition,fc1/A_damped_condition,fc1/G_damped_condition,fc2/A_damped_condition,fc2/G_damped_condition
4.816557884216309,37.227569580078125,2.311952590942383,37.227569580078125,37.464229583740234,42.47888946533203,47.25162887573242,1.0,0.9502459168434143,1,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
4.787911415100098,37.272308349609375,2.290924310684204,37.272308349609375,37.56632995605469,42.90453338623047,45.73997497558594,1.0,0.9510709643363953,2,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
4.776638984680176,37.25617980957031,2.2688634395599365,37.25617980957031,37.14610290527344,43.22388458251953,46.25764465332031,1.0,0.952286422252655,3,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
4.86372709274292,38.040069580078125,2.254725456237793,38.04007339477539,38.276641845703125,44.036964416503906,47.9105339050293,1.0,0.9532712697982788,4,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
4.994034767150879,39.84491729736328,2.233626365661621,39.84491729736328,40.19959259033203,46.276702880859375,49.14126968383789,1.0,0.9507152438163757,5,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
5.3472900390625,43.152828216552734,2.1989500522613525,43.152828216552734,43.102806091308594,49.84992980957031,53.05253219604492,1.0,0.9487559199333191,6,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
5.7503557205200195,47.88810348510742,2.168487787246704,47.88810348510742,47.96345520019531,55.62192153930664,59.53064727783203,1.0,0.950823187828064,7,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
6.221853256225586,51.9390869140625,2.164452314376831,51.9390869140625,52.29004669189453,59.21586608886719,64.87974548339844,1.0,0.9517157673835754,8,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
6.549363613128662,56.20915603637695,2.112111806869507,56.20915985107422,56.651580810546875,63.17154312133789,68.8273696899414,1.0,0.9494553804397583,9,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
7.071704864501953,61.2065315246582,2.0636258125305176,61.2065315246582,61.47899627685547,70.98619079589844,75.84747314453125,1.0,0.949239194393158,10,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
7.734234809875488,66.9928207397461,2.0420236587524414,66.9928207397461,67.79329681396484,77.03262329101562,82.31047058105469,1.0,0.9536280035972595,11,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
8.133016586303711,71.29647827148438,1.9749557971954346,71.29647827148438,71.63043212890625,81.47200012207031,88.48523712158203,1.0,0.9518552422523499,12,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
8.67007064819336,76.23820495605469,1.907083511352539,76.23820495605469,76.42363739013672,89.13526916503906,97.7086181640625,1.0,0.9495954513549805,13,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
9.622032165527344,84.47894287109375,1.8412528038024902,84.47894287109375,84.97666931152344,97.5457763671875,106.62174987792969,1.0,0.9541361331939697,14,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
10.239007949829102,90.90276336669922,1.7693692445755005,90.90276336669922,90.07917785644531,108.75582885742188,121.77967834472656,1.0,0.9515082836151123,15,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
11.06979751586914,98.43219757080078,1.7410963773727417,98.43219757080078,97.90386962890625,119.41345977783203,126.92579650878906,1.0,0.9496558308601379,16,1,26.622538899391316,1.002154827683156,1730.5393106519768,1.0255804406508784,5728.83257616247,64.04127579137926,1205.7718056261936,325.5873096887794
