method,seed,epoch,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor
DP-SGD,42,1,True,0.8470096117973328,0.6440458506464958,0.8957,0.7863366347932901,0.4691166666666667,0.5958376480420431
DP-SGD,42,2,True,0.7052698392868042,0.6248932632267475,0.913,0.8389556633778256,0.2582,0.7742742698669434
DP-SGD,42,3,True,0.7255567707061767,0.6820139516830445,0.9097,0.891574691962361,0.21731666666666666,0.8076062019348145
DP-SGD,42,4,True,0.7850442505836487,0.7042917244076728,0.9163,0.9441937205468965,0.19665,0.824036981455485
DP-SGD,42,5,True,0.7375171625773111,0.6951909170484287,0.9234,0.9968127491314319,0.16746666666666668,0.849704928334554
Full-Fisher Equil,42,1,True,0.9126631334940593,0.5884625768184661,0.8936,0.7863366347932901,0.6370333333333333,0.43063449540138243
Full-Fisher Equil,42,2,True,0.5756645109176636,0.5495507124423981,0.9097,0.8389556633778256,0.26511666666666667,0.7775122823079427
Full-Fisher Equil,42,3,True,0.5810525390625,0.5677769085407257,0.9109,0.891574691962361,0.22185,0.8106824494679769
Full-Fisher Equil,42,4,True,0.6097120451609294,0.5580642026543617,0.9214,0.9441937205468965,0.20005,0.826151144917806
Full-Fisher Equil,42,5,True,0.6130466356277465,0.6438275313466787,0.9166,0.9968127491314319,0.17818333333333333,0.8434055564880371
Equil + G-Corr,42,1,True,0.9580196060816447,0.5962779619693757,0.8877,0.7863366347932901,0.6693833333333333,0.40565814374287923
Equil + G-Corr,42,2,True,0.5602928904851278,0.5334850153923034,0.8999,0.8389556633778256,0.27871666666666667,0.7717147463480631
Equil + G-Corr,42,3,True,0.5639479200998943,0.5513592064857483,0.9035,0.891574691962361,0.23628333333333335,0.8028890213012695
Equil + G-Corr,42,4,True,0.6013372889836629,0.5352182101354003,0.9151,0.9441937205468965,0.21715,0.8147914627075196
Equil + G-Corr,42,5,True,0.6263710445404053,0.6398053494632244,0.9095,0.9968127491314319,0.19515,0.8307619656880697
Equil + LR-r4,42,1,True,0.9434680389722189,0.599612979888916,0.8907,0.7863366347932901,0.65325,0.4123723699410756
Equil + LR-r4,42,2,True,0.5642602383931478,0.5526797562122345,0.9063,0.8389556633778256,0.2743,0.7706688100179037
Equil + LR-r4,42,3,True,0.5826103527069092,0.5881651054859162,0.9079,0.891574691962361,0.2305,0.8042319643656413
Equil + LR-r4,42,4,True,0.6240872292200724,0.5651249798089266,0.9182,0.9441937205468965,0.20446666666666666,0.8223121902465821
Equil + LR-r4,42,5,True,0.6188199358622233,0.6448060265555978,0.916,0.9968127491314319,0.17365,0.8469012840270996
Equil + LR-r8,42,1,True,0.9670847020149231,0.6063767199277877,0.8866,0.7863366347932901,0.6683333333333333,0.3951633660475413
Equil + LR-r8,42,2,True,0.5648681399027506,0.5710320146560669,0.902,0.8389556633778256,0.27968333333333334,0.7670466046651204
Equil + LR-r8,42,3,True,0.6114675505956014,0.6471515475273132,0.9028,0.891574691962361,0.24433333333333335,0.790946610768636
Equil + LR-r8,42,4,True,0.6667513935089111,0.6218107554882765,0.9157,0.9441937205468965,0.21216666666666667,0.8142527043660481
Equil + LR-r8,42,5,True,0.6561924161275228,0.6681223081156611,0.9148,0.9968127491314319,0.18451666666666666,0.8382998240152995
KFAC-Full-GM,42,1,True,0.6549920576731364,0.2979304744839668,0.9312,0.7863366347932901,0.4237666666666667,0.716271848932902
KFAC-Full-GM,42,2,True,0.34469703610738117,0.3269201025262475,0.9333,0.8389556633778256,0.17351666666666668,0.8681920939127604
KFAC-Full-GM,42,3,True,0.38831610962549845,0.36884825884699823,0.9287,0.891574691962361,0.17065,0.8646397411346436
KFAC-Full-GM,42,4,True,0.4239624886830648,0.4163012866735458,0.9246,0.9441937205468965,0.15705,0.8699555561065674
KFAC-Full-GM,42,5,True,0.4793504145304362,0.4292735269449651,0.9313,0.9968127491314319,0.14758333333333334,0.8753511528015137
DP-SGD,7,1,True,0.7942884213765462,0.57802881026268,0.9012,0.7863366347932901,0.4504,0.6096242197672526
DP-SGD,7,2,True,0.6369519978841146,0.652084628868103,0.9056,0.8389556633778256,0.2488,0.7828775143941243
DP-SGD,7,3,True,0.7008225330352783,0.745868771123886,0.9083,0.891574691962361,0.21076666666666666,0.8133474192301432
DP-SGD,7,4,True,0.7835982847849527,0.6835320321016043,0.9197,0.9441937205468965,0.18036666666666668,0.8372066464742025
DP-SGD,7,5,True,0.8337432957967122,0.8408352730870247,0.91,0.9968127491314319,0.17203333333333334,0.8438410573323568
Full-Fisher Equil,7,1,True,0.8435646123250325,0.598766878926754,0.8998,0.7863366347932901,0.5870166666666666,0.47367873136997224
Full-Fisher Equil,7,2,True,0.5458625811258951,0.46571935719251634,0.9172,0.8389556633778256,0.2199,0.8141359738667806
Full-Fisher Equil,7,3,True,0.49805039536158247,0.44665165607407686,0.9311,0.891574691962361,0.1913,0.8365428404490153
Full-Fisher Equil,7,4,True,0.4895106093088786,0.47807171558737754,0.9335,0.9441937205468965,0.15805,0.8637497790018718
Full-Fisher Equil,7,5,True,0.5488627310434977,0.5295073653696876,0.933,0.9968127491314319,0.15043333333333334,0.8674491897583008
Equil + G-Corr,7,1,True,0.8549653181711833,0.5902255747675895,0.8977,0.7863366347932901,0.5975833333333334,0.46840807971954346
Equil + G-Corr,7,2,True,0.5548159889221191,0.48925626146793366,0.9086,0.8389556633778256,0.22238333333333332,0.8145301464080811
Equil + G-Corr,7,3,True,0.5109846563339233,0.4722643377184868,0.9248,0.891574691962361,0.19753333333333334,0.8335145413716634
Equil + G-Corr,7,4,True,0.5147950329462687,0.5276862243711948,0.9224,0.9441937205468965,0.17076666666666668,0.8547766451517741
Equil + G-Corr,7,5,True,0.5817340236028036,0.5510380480062449,0.9242,0.9968127491314319,0.16718333333333332,0.8550710194905599
Equil + LR-r4,7,1,True,0.8599888415654501,0.6147619748473168,0.8975,0.7863366347932901,0.5973833333333334,0.46234769388834634
Equil + LR-r4,7,2,True,0.5581105805714925,0.5076781915903091,0.9121,0.8389556633778256,0.23028333333333334,0.8053342943827311
Equil + LR-r4,7,3,True,0.5227613375981649,0.47443718900308013,0.9272,0.891574691962361,0.19913333333333333,0.8301369969685872
Equil + LR-r4,7,4,True,0.50178279393514,0.48542462164759637,0.9322,0.9441937205468965,0.15728333333333333,0.8637971313476562
Equil + LR-r4,7,5,True,0.5546083408991496,0.538567358891631,0.932,0.9968127491314319,0.15168333333333334,0.8670044469197591
Equil + LR-r8,7,1,True,0.8669368554751078,0.6158815286040306,0.8972,0.7863366347932901,0.60335,0.4557941566626231
Equil + LR-r8,7,2,True,0.5843622941335043,0.5436189307093621,0.9068,0.8389556633778256,0.24576666666666666,0.7902399266560872
Equil + LR-r8,7,3,True,0.5541489279429118,0.520665071439743,0.9224,0.891574691962361,0.21396666666666667,0.8157929581960043
Equil + LR-r8,7,4,True,0.5326727012634277,0.5148167692646384,0.9302,0.9441937205468965,0.16616666666666666,0.8559660989125569
Equil + LR-r8,7,5,True,0.5877701646804809,0.566190913340525,0.9285,0.9968127491314319,0.16188333333333332,0.8576600430806478
KFAC-Full-GM,7,1,True,0.5927587051709493,0.31135039119124414,0.9263,0.7863366347932901,0.40253333333333335,0.7298937840779622
KFAC-Full-GM,7,2,True,0.34535467955271404,0.3307289419837296,0.9305,0.8389556633778256,0.16536666666666666,0.8727833179473877
KFAC-Full-GM,7,3,True,0.3865958090305328,0.414653222066164,0.9238,0.891574691962361,0.15681666666666666,0.8735029097239176
KFAC-Full-GM,7,4,True,0.5140692944208781,0.49993361571729183,0.9193,0.9441937205468965,0.15248333333333333,0.8730770431518554
KFAC-Full-GM,7,5,True,0.5581271226882935,0.5283677865028381,0.9242,0.9968127491314319,0.14211666666666667,0.8789124584197998
