method,seed,epoch,operator_geomean_before_norm,rank,sketch_size,top_eigenvalue,rank_r_eigenvalue,captured_trace_fraction,layer,corr_frobenius,corr_condition_number
DP-SGD,42,1,1.0,,,,,,,,
DP-SGD,42,2,1.0,,,,,,,,
DP-SGD,42,3,1.0,,,,,,,,
DP-SGD,42,4,1.0,,,,,,,,
DP-SGD,42,5,1.0,,,,,,,,
Full-Fisher Equil,42,1,37.838623046875,,,,,,,,
Full-Fisher Equil,42,2,1.8303470611572266,,,,,,,,
Full-Fisher Equil,42,3,1.2203404903411865,,,,,,,,
Full-Fisher Equil,42,4,1.103061556816101,,,,,,,,
Full-Fisher Equil,42,5,0.8965909481048584,,,,,,,,
Equil + G-Corr,42,1,1.2847047084304548,,,,,,conv1,0.00014203900147582673,1.0001283413163884
Equil + G-Corr,42,1,1.2847047084304548,,,,,,conv2,0.00202847658732537,1.0017243201542902
Equil + G-Corr,42,1,1.2847047084304548,,,,,,fc1,15.232781929327105,37.76520360217226
Equil + G-Corr,42,1,1.2847047084304548,,,,,,fc2,1.042745458627825,101.79924663206677
Equil + G-Corr,42,2,1.837580599043305,,,,,,conv1,0.46622813176087574,1.740603620688098
Equil + G-Corr,42,2,1.837580599043305,,,,,,conv2,0.5879441418572567,1.6721577959077598
Equil + G-Corr,42,2,1.837580599043305,,,,,,fc1,23.440270891638868,1101.3170609738497
Equil + G-Corr,42,2,1.837580599043305,,,,,,fc2,1.1574639822681243,203.873103082678
Equil + G-Corr,42,3,2.016146432860191,,,,,,conv1,0.328733599885168,1.3919804554317494
Equil + G-Corr,42,3,2.016146432860191,,,,,,conv2,0.41452425419326444,1.3920112023274338
Equil + G-Corr,42,3,2.016146432860191,,,,,,fc1,25.912127272767492,1567.7710321886734
Equil + G-Corr,42,3,2.016146432860191,,,,,,fc2,1.2168202100449785,234.40615535377876
Equil + G-Corr,42,4,1.9153191848329332,,,,,,conv1,0.3074464125118938,1.3327658261993465
Equil + G-Corr,42,4,1.9153191848329332,,,,,,conv2,0.3722805600450244,1.323504105386898
Equil + G-Corr,42,4,1.9153191848329332,,,,,,fc1,23.909774399237897,1355.6426361484332
Equil + G-Corr,42,4,1.9153191848329332,,,,,,fc2,1.1140319486724506,205.88736713101673
Equil + G-Corr,42,5,1.8380773662857992,,,,,,conv1,0.21182787491808908,1.2021315901581626
Equil + G-Corr,42,5,1.8380773662857992,,,,,,conv2,0.3361868367985343,1.2619970306245698
Equil + G-Corr,42,5,1.8380773662857992,,,,,,fc1,23.386162219340513,1694.1304496948537
Equil + G-Corr,42,5,1.8380773662857992,,,,,,fc2,1.114381028804873,207.1274726282303
Equil + LR-r4,42,1,1.0001770119435323,4.0,8.0,0.07878558337688446,0.0545494444668293,0.2167784474756099,,,
Equil + LR-r4,42,2,1.0001598919621917,4.0,8.0,27.24544906616211,15.172264099121094,0.3096538491680201,,,
Equil + LR-r4,42,3,1.0000692237065025,4.0,8.0,55.053123474121094,39.2648811340332,0.3024921478755542,,,
Equil + LR-r4,42,4,1.0001348706157902,4.0,8.0,89.3778076171875,45.935794830322266,0.28640088498575644,,,
Equil + LR-r4,42,5,1.000028843995321,4.0,8.0,108.33256530761719,64.35208129882812,0.2439395773876638,,,
Equil + LR-r8,42,1,1.0003871830860003,8.0,12.0,0.08221963793039322,0.03615688160061836,0.3721259207794802,,,
Equil + LR-r8,42,2,1.0001946668459258,8.0,12.0,29.20871925354004,9.591670036315918,0.5284724411298716,,,
Equil + LR-r8,42,3,1.0000610097594842,8.0,12.0,62.16604995727539,20.748920440673828,0.49057697493365926,,,
Equil + LR-r8,42,4,1.0001056343241583,8.0,12.0,119.76758575439453,21.424726486206055,0.4326657517799947,,,
Equil + LR-r8,42,5,0.9999985216241896,8.0,12.0,141.7318572998047,43.3238639831543,0.43186481809880384,,,
KFAC-Full-GM,42,1,611.5497427046713,,,,,,,,
KFAC-Full-GM,42,2,288.4461177049937,,,,,,,,
KFAC-Full-GM,42,3,201.92069660272406,,,,,,,,
KFAC-Full-GM,42,4,157.57761304070567,,,,,,,,
KFAC-Full-GM,42,5,128.25418175422112,,,,,,,,
DP-SGD,7,1,1.0,,,,,,,,
DP-SGD,7,2,1.0,,,,,,,,
DP-SGD,7,3,1.0,,,,,,,,
DP-SGD,7,4,1.0,,,,,,,,
DP-SGD,7,5,1.0,,,,,,,,
Full-Fisher Equil,7,1,32.66259765625,,,,,,,,
Full-Fisher Equil,7,2,2.1965088844299316,,,,,,,,
Full-Fisher Equil,7,3,1.4472639560699463,,,,,,,,
Full-Fisher Equil,7,4,1.0752882957458496,,,,,,,,
Full-Fisher Equil,7,5,0.9421494603157043,,,,,,,,
Equil + G-Corr,7,1,1.2699709319430887,,,,,,conv1,0.00018807671212872984,1.0002138103706832
Equil + G-Corr,7,1,1.2699709319430887,,,,,,conv2,0.002535065818686409,1.0020331996580507
Equil + G-Corr,7,1,1.2699709319430887,,,,,,fc1,14.608837500570175,41.2685929458786
Equil + G-Corr,7,1,1.2699709319430887,,,,,,fc2,1.042804817896777,102.19935371294771
Equil + G-Corr,7,2,1.7586346783186737,,,,,,conv1,0.5801346168853483,1.892429439334863
Equil + G-Corr,7,2,1.7586346783186737,,,,,,conv2,0.7866255640024046,1.991733845103772
Equil + G-Corr,7,2,1.7586346783186737,,,,,,fc1,21.644491136600035,712.9282507285644
Equil + G-Corr,7,2,1.7586346783186737,,,,,,fc2,1.1148372618482323,178.25487999828036
Equil + G-Corr,7,3,1.804773666613233,,,,,,conv1,0.4132103529135634,1.5437888803300064
Equil + G-Corr,7,3,1.804773666613233,,,,,,conv2,0.5152240142988544,1.5164845827398785
Equil + G-Corr,7,3,1.804773666613233,,,,,,fc1,23.62803914990325,758.485100822346
Equil + G-Corr,7,3,1.804773666613233,,,,,,fc2,1.087258932536494,179.91520522677354
Equil + G-Corr,7,4,1.8224308469862132,,,,,,conv1,0.333429377181679,1.409841475723647
Equil + G-Corr,7,4,1.8224308469862132,,,,,,conv2,0.39322191193539846,1.3290583302097636
Equil + G-Corr,7,4,1.8224308469862132,,,,,,fc1,23.809554293250713,1126.7507251437494
Equil + G-Corr,7,4,1.8224308469862132,,,,,,fc2,1.1210809454744337,206.53779835617846
Equil + G-Corr,7,5,1.9411050938331902,,,,,,conv1,0.25670156460110466,1.31033981166837
Equil + G-Corr,7,5,1.9411050938331902,,,,,,conv2,0.3723621684419455,1.3038045141710422
Equil + G-Corr,7,5,1.9411050938331902,,,,,,fc1,24.622086496269294,1517.5753309817621
Equil + G-Corr,7,5,1.9411050938331902,,,,,,fc2,1.0933516936235592,192.62388521012844
Equil + LR-r4,7,1,1.0001493104459538,4.0,8.0,0.11514667421579361,0.07779649645090103,0.27778558067866244,,,
Equil + LR-r4,7,2,1.0000594530274003,4.0,8.0,20.429189682006836,14.48623275756836,0.2845200603669253,,,
Equil + LR-r4,7,3,1.0000073729323766,4.0,8.0,54.15533447265625,33.48188400268555,0.2774818673249003,,,
Equil + LR-r4,7,4,1.0000162211372008,4.0,8.0,111.13143157958984,48.524261474609375,0.2469101704619475,,,
Equil + LR-r4,7,5,1.0000264552352494,4.0,8.0,193.56370544433594,89.58735656738281,0.3084380353553776,,,
Equil + LR-r8,7,1,1.000307984695979,8.0,12.0,0.12525643408298492,0.04338845983147621,0.46900139675840274,,,
Equil + LR-r8,7,2,1.0000396248089978,8.0,12.0,24.12813377380371,9.39987850189209,0.4888461403859104,,,
