method,mean_accuracy,std_accuracy,mean_clipping,mean_clip_factor,mean_precond_build_seconds,mean_private_train_seconds,mean_total_epoch_seconds,mean_end_to_end_examples_per_second,mean_peak_allocated_mb_build,mean_peak_allocated_mb_train,mean_preconditioner_storage_mb
DP-SGD,0.9167000000000001,0.009475230867899753,0.16975,0.8467729928334554,0.007985972426831722,11.896175117511302,11.904161089938134,5106.332825411819,24.80830078125,447.9755859375,0.0
Full-Fisher Equil,0.9248000000000001,0.011596551211459399,0.16430833333333333,0.855427373123169,0.09271754287183284,11.881229788064957,11.97394733093679,5094.369109860593,461.255078125,448.7666015625,0.7893447875976562
Equil + G-Corr,0.9168499999999999,0.010394469683442322,0.18116666666666664,0.8429164925893148,0.33391090808436275,14.059074609633536,14.392985517717898,4168.705774267372,487.9474609375,614.744140625,0.8571090698242188
Equil + LR-r4,0.924,0.01131370849898477,0.16266666666666668,0.8569528654734293,0.27391668343916536,13.847609416209162,14.121526099648326,4249.090585160797,469.15498046875,451.95703125,3.9467544555664062
Equil + LR-r8,0.92165,0.009687362902255733,0.1732,0.8479799335479736,0.272210178617388,13.756977132987231,14.02918731160462,4276.888978631958,478.66083984375,455.11376953125,7.104164123535156
KFAC-Full-GM,0.9277500000000001,0.005020458146424523,0.14485,0.8771318056106567,0.36511174477636815,15.503932716604321,15.86904446138069,3780.982728037127,486.3654296875,1015.8017578125,9.602703094482422
