method,seed,epoch,interval,global_update_index,interval_steps,feedback_type,update_after_step,applies_from_step,layer,E_G_norm,correction_G_norm,K_G_min_eigenvalue,K_G_max_eigenvalue,E_A_norm,correction_A_norm,K_A_min_eigenvalue,K_A_max_eigenvalue
Residual-Noisy,42,1,1,1,2,grad,2,3,conv1,0.026235480303569838,0.03379161508703173,0.9048374180359594,1.0339402075825994,0.014631420807389111,0.04058496504751499,0.90483741803596,1.0433295421967095
Residual-Noisy,42,1,1,1,2,grad,2,3,conv2,0.013957739275510044,0.046199558212155246,0.9048374180359597,1.0726387342140258,0.13116176242459973,0.02949235649397536,0.9048374180359599,1.0200376820188715
Residual-Noisy,42,1,1,1,2,grad,2,3,fc1,0.016484798093437013,0.0463004304527682,0.9048374180359597,1.0868866100126489,0.7034468216773564,0.02168487572505843,0.9048374180359599,1.0090393571963145
Residual-Noisy,42,1,1,1,2,grad,2,3,fc2,0.004819572301034539,0.05017135282053521,0.926589805485082,1.0838416999684644,0.21568486373287188,0.023149894488964717,0.9048374180359594,1.0093019553560383
Residual-Noisy,42,1,2,2,2,grad,4,5,conv1,0.024697672771118763,0.057198496321409636,0.9123185624678259,1.0539107443697058,0.012919632467856037,0.057297923929609786,0.9142996029916184,1.0582901999359604
Residual-Noisy,42,1,2,2,2,grad,4,5,conv2,0.013506284067589691,0.06627967409604793,0.9132433838096928,1.0757797590425082,0.1292464605741093,0.041500247026631625,0.9048374180359595,1.0199031627633839
Residual-Noisy,42,1,2,2,2,grad,4,5,fc1,0.01612006927308426,0.06636943006866966,0.9048374180359595,1.0874633326292837,0.7057103008560102,0.031098775519726857,0.90483741803596,1.0093113651495162
Residual-Noisy,42,1,2,2,2,grad,4,5,fc2,0.004596496034441581,0.07114067405900082,0.9168979556322765,1.0798366656101641,0.2054836142541326,0.03319090269558639,0.9048374180359595,1.0097398450798547
Residual-Noisy,42,1,3,3,2,grad,6,7,conv1,0.02234227784834473,0.06672623057660589,0.916746889225556,1.0537669280644797,0.012316210094695315,0.06269208772601186,0.9323027588547242,1.0540434285887839
Residual-Noisy,42,1,3,3,2,grad,6,7,conv2,0.013603328466887709,0.08055371100132569,0.90483741803596,1.07626994912137,0.13074933882606604,0.050905283209215765,0.9048374180359597,1.0203179697203921
