p,seed,final_accuracy,best_accuracy,accuracy_auc,clip_fraction,norm_p99,scale_match,transformed_condition_proxy
0.0,7,0.9298,0.9298,3.6611499999999997,0.29743923544883727,276.4243988037109,1.0395976254416335,200.7488819711689
0.0,42,0.9195,0.9248,3.6384,0.3155081391334534,309.0507293701172,1.1662311019323799,203.94653632129234
0.0,123,0.9296,0.9296,3.6567000000000003,0.29928218126296996,318.91472778320315,1.1994830559541056,273.43100315505205
0.0,2024,0.922,0.9239,3.6593,0.2991286128759384,321.0863861083984,1.2831493777278342,243.88802039840698
0.0,3407,0.927,0.927,3.64845,0.3084001123905182,302.9665161132813,1.1311433008578393,152.71318582803355
0.125,7,0.9497,0.9501,3.7427,0.25690104365348815,449.73199462890625,1.8739405980966282,71.4400115833308
0.125,42,0.9455,0.9461,3.7279999999999998,0.27894298136234286,474.79761962890626,1.9193053111456824,62.232926789086534
0.125,123,0.9541,0.9541,3.7512000000000003,0.25742521584033967,476.8407012939453,1.9579993254323795,97.04947787595216
0.125,2024,0.9514,0.9514,3.7379,0.26702056825160975,496.4278594970703,2.037373784574921,95.91225114838507
0.125,3407,0.9503,0.9503,3.72985,0.27150106728076934,474.95197143554685,1.9014657978419127,50.1859666095048
0.25,7,0.9626,0.9626,3.78985,0.24477163702249521,624.9268981933594,2.2206899599709606,30.21347963762036
0.25,42,0.9587,0.9587,3.7702,0.2665731877088547,618.445947265625,2.2178671791386133,22.934204500877772
0.25,123,0.9608,0.9608,3.78955,0.24636751860380174,627.0004272460938,2.2357183484281267,42.80036130799804
0.25,2024,0.9628,0.9628,3.7833,0.2545673042535782,630.7067443847657,2.254481061639516,44.8964343447292
0.25,3407,0.9577,0.9577,3.76865,0.25914796888828273,641.0614379882812,2.214993725704597,19.288777580390732
0.375,7,0.9638,0.9638,3.8018499999999995,0.2484174609184265,705.8174865722656,1.6665798651865777,14.884186120424307
0.375,42,0.9607,0.9607,3.78225,0.27087006270885466,685.258740234375,1.6645502032497919,10.328693632219004
0.375,123,0.9615,0.9615,3.79515,0.254403717815876,711.0195495605469,1.668603261686238,22.289610539591838
0.375,2024,0.9636,0.9636,3.8013,0.257251600921154,670.8710815429688,1.6601816285087339,23.251609363183597
0.375,3407,0.9581,0.9581,3.77965,0.26453325152397156,721.1417236328125,1.6660283389485102,8.666689144075876
0.5,7,0.9624,0.9624,3.8023,0.2590177536010742,752.079931640625,1.0,7.952291517758172
0.5,42,0.9599,0.9599,3.7862999999999998,0.2831831008195877,729.1895568847656,1.0,5.24711120353093
0.5,123,0.9603,0.9603,3.7901,0.2701121747493744,770.45166015625,1.0,12.148439544744075
0.5,2024,0.9631,0.9631,3.80455,0.26725427359342574,701.69033203125,1.0,12.729668916027869
0.5,3407,0.9583,0.9583,3.7834499999999993,0.2775540918111801,771.36142578125,1.0,4.350236932871831
0.625,7,0.9607,0.9607,3.8007,0.27350760996341705,801.09658203125,0.5403317509269595,5.297321444584938
0.625,42,0.9593,0.9593,3.78245,0.3002437263727188,783.906005859375,0.5393007578216397,3.875566669002694
0.625,123,0.9576,0.9576,3.7789,0.2902143359184265,834.452783203125,0.5377007539088667,8.038314650455323
0.625,2024,0.9617,0.9617,3.8043,0.28193109333515165,753.3119262695312,0.5462542696775661,8.272283222069904
0.625,3407,0.9569,0.9569,3.7798499999999997,0.29550614058971403,822.6624145507812,0.5404881460634494,3.2046654497346845
0.75,7,0.9592,0.9592,3.79625,0.2920305818319321,863.6854614257812,0.27462755603264516,5.320897522171665
0.75,42,0.9581,0.9581,3.7812,0.3189736932516098,832.7346313476562,0.27362003634778187,5.243743423239762
0.75,123,0.9551,0.9551,3.76765,0.3150440752506256,928.4943725585938,0.27135065077616477,8.107179439401554
0.75,2024,0.9598,0.9598,3.8007,0.30166265964508054,825.2575805664062,0.2811074689580403,7.965572343962729
0.75,3407,0.955,0.955,3.77555,0.31538795232772826,903.9073852539062,0.27521376852811963,4.159292663722122
1.0,7,0.9546,0.9546,3.776,0.33625467121601105,1055.2002197265624,0.06430174890628516,12.234291094761147
1.0,42,0.9537,0.9537,3.7699000000000003,0.3565638393163681,900.6404418945312,0.06384816446470656,13.266306335792041
1.0,123,0.9467,0.9467,3.73625,0.3702824503183365,1252.536669921875,0.06283301577938753,15.14153665315265
1.0,2024,0.9569,0.9569,3.7884499999999997,0.34674144983291627,947.5201904296875,0.0674300168464489,16.277091499777285
1.0,3407,0.9525,0.9525,3.76365,0.3550480782985687,1139.5470458984375,0.06487513933672576,12.47277202463681
