p,reference_p,metric,paired_mean_delta,sample_std,ci95_low,ci95_high,delta_seed_42,delta_seed_7,delta_seed_123,delta_seed_2024,delta_seed_3407
0.0,0.5,final_accuracy,-0.03522000000000001,0.005100686228342173,-0.039119999999999974,-0.031320000000000035,-0.04039999999999999,-0.03260000000000007,-0.03070000000000006,-0.041099999999999914,-0.031299999999999994
0.0,0.5,accuracy_auc,-0.14053999999999975,0.006292793497327161,-0.14548999999999995,-0.13558999999999957,-0.14789999999999992,-0.1411500000000001,-0.13339999999999952,-0.14524999999999988,-0.13499999999999934
0.0,0.5,clip_fraction,0.032527377307415006,0.003510938875752175,0.030175614953041063,0.03568710088729858,0.032325038313865684,0.03842148184776306,0.02917000651359558,0.031874339282512654,0.03084602057933805
0.0,0.5,norm_p99,-439.26602966308593,39.148284048179214,-467.9275634765625,-406.0691149902344,-420.13882751464837,-475.65553283691406,-451.53693237304685,-380.6039459228516,-468.3949096679687
0.125,0.5,final_accuracy,-0.010600000000000009,0.0033977934016063624,-0.013179999999999992,-0.007860000000000067,-0.014399999999999968,-0.012700000000000045,-0.006200000000000094,-0.011699999999999933,-0.008000000000000007
0.125,0.5,accuracy_auc,-0.05540999999999974,0.010345312948384143,-0.06262999999999988,-0.0466599999999997,-0.05830000000000002,-0.05959999999999965,-0.03889999999999949,-0.0666500000000001,-0.053599999999999426
0.125,0.5,clip_fraction,-0.005066103637218477,0.0047902164411122335,-0.009246122241020194,-0.0017741701006889655,-0.00424011945724484,-0.0021167099475860596,-0.012686958909034707,-0.0002337053418159929,-0.006053024530410789
0.125,0.5,norm_p99,-270.4045520019531,41.03372533523733,-298.2251483154297,-234.50545837402342,-254.39193725585932,-302.3479370117187,-293.6109588623047,-205.26247253417972,-296.4094543457031
0.25,0.5,final_accuracy,-0.0002800000000000136,0.0006685805860178489,-0.0008000000000000007,0.00021999999999997578,-0.0011999999999999789,0.00019999999999997797,0.0004999999999999449,-0.00029999999999996696,-0.0006000000000000449
0.25,0.5,accuracy_auc,-0.013029999999999653,0.007684611245860168,-0.01845999999999979,-0.006249999999999467,-0.01609999999999978,-0.01244999999999985,-0.0005499999999996064,-0.02124999999999977,-0.014799999999999258
