geometry,source,seed,bk_private_train_seconds,explicit_private_train_seconds,speedup,bk_private_peak_allocated_bytes,explicit_private_peak_allocated_bytes,memory_saving_pct
a_only,match,7,23.734436315484345,26.80465641990304,1.129357194904843,202084352.0,654356480.0,69.11708553722889
a_only,match,23,24.26287621911615,27.403873252682388,1.129456912082481,202084352.0,654356480.0,69.11708553722889
a_only,match,42,24.30091416183859,27.217158923856918,1.1200055579225043,202084352.0,654356480.0,69.11708553722889
a_only,match,58,20.472431781701744,23.945674780756235,1.1696546378119514,202084352.0,654356480.0,69.11708553722889
a_only,match,91,23.58165523596108,26.910712653771043,1.1411714904869479,202084352.0,654356480.0,69.11708553722889
a_only,mismatch,7,24.301469339057803,26.91934304498136,1.1077249144649892,202084352.0,654356480.0,69.11708553722889
a_only,mismatch,23,24.38487271312624,27.37333812750876,1.1225540706953885,202084352.0,654356480.0,69.11708553722889
a_only,mismatch,42,23.32603134773672,27.08475290890783,1.1611384939485565,202084352.0,654356480.0,69.11708553722889
a_only,mismatch,58,20.77446613833308,25.24025541637093,1.2149652967398072,202084352.0,654356480.0,69.11708553722889
a_only,mismatch,91,24.349268678575758,27.1836987035349,1.1164071932662634,202084352.0,654356480.0,69.11708553722889
a_only,pink,7,23.59690306987613,26.972421332262456,1.1430492066009934,202084352.0,654356480.0,69.11708553722889
a_only,pink,23,20.406111054122448,23.96185237262398,1.1742488467827485,202084352.0,654356480.0,69.11708553722889
a_only,pink,42,24.24055264703929,27.04894615523517,1.1158551766161526,202084352.0,654356480.0,69.11708553722889
a_only,pink,58,20.247714593075216,25.428031210787594,1.2558469793664546,202084352.0,654356480.0,69.11708553722889
a_only,pink,91,23.909302296116948,26.707566712982956,1.117036640476141,202084352.0,654356480.0,69.11708553722889
base,none,7,22.661742319352925,16.46740848943591,0.726661183300672,183960576.0,469519872.0,60.8194270422701
base,none,23,23.142352708615363,16.36763068009168,0.707258716785454,183960576.0,469519872.0,60.8194270422701
base,none,42,22.89985399413854,16.592311278916895,0.7245596973309906,183960576.0,469519872.0,60.8194270422701
base,none,58,19.626800657249987,13.227494190447032,0.6739506056765752,183960576.0,469519872.0,60.8194270422701
base,none,91,23.7196570597589,16.69069437403232,0.7036650796418374,183960576.0,469519872.0,60.8194270422701
full,match,7,24.62177493236959,29.20360539387912,1.1860885526772451,215000576.0,1065731584.0,79.82601067399725
full,match,23,24.569430386647586,29.37355972174555,1.1955327925595214,215000576.0,1065731584.0,79.82601067399725
full,match,42,24.50995986163616,29.27210005465895,1.1942940837074425,215000576.0,1065731584.0,79.82601067399725
full,match,58,20.728054565377533,26.9226217167452,1.2988494232215393,215000576.0,1065731584.0,79.82601067399725
full,match,91,24.624039044603705,29.295414104126397,1.18970791311129,215000576.0,1065731584.0,79.82601067399725
full,mismatch,7,24.526802415959537,29.22171291988343,1.1914195916899841,215000576.0,1065731584.0,79.82601067399725
full,mismatch,23,24.48502788413316,29.368061642162505,1.1994293729677008,215000576.0,1065731584.0,79.82601067399725
full,mismatch,42,24.595219022594392,29.077122597023845,1.1822266177142864,215000576.0,1065731584.0,79.82601067399725
full,mismatch,58,20.75139487721026,26.869952093809843,1.2948504065776874,215000576.0,1065731584.0,79.82601067399725
full,mismatch,91,24.37993334233761,29.463560028001663,1.2085168410545222,215000576.0,1065731584.0,79.82601067399725
full,pink,7,24.39354675915092,29.431854150258005,1.2065426336257163,215000576.0,1065731584.0,79.82601067399725
full,pink,23,23.97284052800387,29.39810039848089,1.2263085955183117,215000576.0,1065731584.0,79.82601067399725
full,pink,42,23.91613082587719,29.52404173836112,1.2344823647818561,215000576.0,1065731584.0,79.82601067399725
full,pink,58,20.790865123271946,26.59076758660376,1.27896397908136,215000576.0,1065731584.0,79.82601067399725
full,pink,91,24.4795068949461,29.469584750011563,1.2038471557650408,215000576.0,1065731584.0,79.82601067399725
