geometry,source,clip_fraction_mean,clip_fraction_std,mean_clip_factor_mean,mean_clip_factor_std,norm_p90_mean,norm_p99_mean,seed_count
a_only,match,0.14449118971824643,0.008195289842951616,0.8794094443321228,0.007127044890164818,6.666289806365967,383.2904296875,5
a_only,mismatch,0.19134949445724483,0.0338220594281672,0.836166787147522,0.030188018628247146,56.1591911315918,1099.9430297851563,5
a_only,pink,0.14835737049579614,0.0050863771650489255,0.87416011095047,0.004330384219050023,9.124442768096923,502.24375,5
full,match,0.1931356847286224,0.015756111839321303,0.8297959923744201,0.014390457588341227,120.5649627685547,8140.31201171875,5
full,mismatch,0.26263354718685145,0.052078394112655746,0.7645010828971863,0.04800341691997038,4116.167895507812,52051.456640625,5
full,pink,0.18376736342906946,0.007733582111560809,0.8361862778663636,0.0070061648861736575,128.9356262207031,10607.204296875,5
