epsilon_target,geometry,source,accuracy_mean,accuracy_std,test_loss_mean,seed_count
0.5,a_only,match,95.07600000000001,0.35373719058080355,0.21905182484479152,5
0.5,a_only,mismatch,93.27,1.2966688089099652,0.30799651549983537,5
0.5,a_only,pink,94.518,0.21753160689886156,0.27165110200789055,5
0.5,base,none,90.858,0.2661202735606611,0.48497582306270487,5
0.5,full,match,94.06800000000001,0.6907749271651389,0.2982205513038207,5
0.5,full,mismatch,91.52799999999999,1.9819233083043404,0.45120989237155296,5
0.5,full,pink,93.552,0.2544012578585269,0.38118133056123044,5
3.0,a_only,match,96.288,0.2328518842526292,0.18224750730313186,5
3.0,a_only,mismatch,95.272,0.8072608004851963,0.25239349248367937,5
3.0,a_only,pink,95.912,0.15139352694220248,0.22517093703296265,5
3.0,base,none,92.85600000000001,0.17357995275952903,0.40486833615184875,5
3.0,full,match,95.36200000000001,0.41008535696852283,0.2907791272792929,5
3.0,full,mismatch,94.19800000000001,1.0837527393275683,0.3950560297843549,5
3.0,full,pink,95.19800000000001,0.2167256330017278,0.3556120764219304,5
8.0,a_only,match,96.69200000000001,0.1366382084191627,0.16546656202074697,5
8.0,a_only,mismatch,95.806,0.6689768306899704,0.22650433345790127,5
8.0,a_only,pink,96.39200000000001,0.13791301606447443,0.20149008575282998,5
8.0,base,none,93.73799999999999,0.23857912733514716,0.3568444294785149,5
8.0,full,match,95.882,0.2595573154430467,0.2748656824571844,5
8.0,full,mismatch,95.016,0.916995092680439,0.36369649538534077,5
8.0,full,pink,95.684,0.16410362579784898,0.32829335773768314,5
