method,geometry,source,engine,private_train_seconds_mean,private_train_seconds_std,steps_per_second_mean,steps_per_second_std,seed_count
DP-Adam,base,none,explicit,15.869107802584768,1.481775877931402,74.31952775670732,7.917753084661453,5
DP-Adam+BK,base,none,bk,22.410081347823144,1.6047641402489667,52.44321828965552,4.097578755611029,5
DP-KFC-Pink,full,pink,explicit,28.882869724743067,1.2821773307740936,40.576448478718746,1.9149922772638457,5
DP-KFC-Pink+BK,full,pink,bk,23.510578026250005,1.5405725319107724,49.951897342799086,3.569357975498808,5
DP-KFC-A-Pink,a_only,pink,explicit,26.02376355677843,1.325227570174368,45.05603889238872,2.3852751545531743,5
DP-KFC-A-Pink+BK,a_only,pink,bk,22.480116732046007,1.9795224533868996,52.380799498193724,4.753476721322738,5
