method,layer,privacy_valid,base_reset_error,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,base_W_kron,base_W_G,base_W_A,base_log_kappa_kron,corrected_W_kron,corrected_W_G,corrected_W_A,corrected_log_kappa_kron,gain_A,gain_G,gain_kron
Residual-Clean,conv1,False,0.0,0.6033342777727506,0.5709378601485864,0.948,0.995693195331761,0.14953926282051283,0.8619287608780413,0.8188480095151445,0.36318740271484246,0.6845799083739545,3.2209135497642567,0.6240901839886164,0.405222481284085,0.43187475517241053,2.7272201768890745,0.369238351213093,-0.11947929287491199,0.2374400114194205
Residual-Clean,conv2,False,0.0,0.6033342777727506,0.5709378601485864,0.948,0.995693195331761,0.14953926282051283,0.8619287608780413,4.290095279215521,0.35414553541161276,4.035969494296209,12.34637068987524,3.34533332454069,0.32699210185478167,3.1669237611229706,11.555551577111558,0.21191522695591897,0.07568145880058882,0.2173185422375641
Residual-Clean,fc1,False,0.0,0.6033342777727506,0.5709378601485864,0.948,0.995693195331761,0.14953926282051283,0.8619287608780413,67.15385462956,3.5694616447576015,18.0887879308693,inf,47.3511864685438,3.266230036653318,13.830318862300162,inf,0.23539816743488856,0.08492897420508223,0.29471815158702225
Residual-Clean,fc2,False,0.0,0.6033342777727506,0.5709378601485864,0.948,0.995693195331761,0.14953926282051283,0.8619287608780413,7.6606503414243985,0.5560639547776223,6.674186651232045,inf,6.331575857395033,0.46793716572024224,5.7186743526798285,49.69715418019578,0.14338674933617412,0.1580763775101292,0.17337524204937532
Residual-Noisy,conv1,True,0.0,0.6287012728743064,0.5952981746887789,0.9467,0.995693195331761,0.15300313835470086,0.8583161870383809,0.8195995978651947,0.36396508491869906,0.6845799083739545,3.2239624752046527,0.8779540760488429,0.4249814298704445,0.7034501983151693,3.6639145901422565,-0.027533255039052934,-0.18849551018593114,-0.07291054902210399
Residual-Noisy,conv2,True,0.0,0.6287012728743064,0.5952981746887789,0.9467,0.995693195331761,0.15300313835470086,0.8583161870383809,4.329579519940594,0.35416342380831534,4.073430252999173,12.356859057695896,4.412624868668614,0.4000745772851441,4.084296540169889,12.534459035113482,-0.0018193951004321692,-0.13242504970013236,-0.017847322761109112
Residual-Noisy,fc1,True,0.0,0.6287012728743064,0.5952981746887789,0.9467,0.995693195331761,0.15300313835470086,0.8583161870383809,66.8381938530938,3.5681015902580873,18.010957674745484,inf,64.5017433377922,3.5476129800270133,17.472317267079795,inf,0.02990493821031158,0.005743208425100137,0.034984402465453715
Residual-Noisy,fc2,True,0.0,0.6287012728743064,0.5952981746887789,0.9467,0.995693195331761,0.15300313835470086,0.8583161870383809,7.531171563998746,0.5545466077975438,6.565090556625799,50.94669956155688,7.561423081119795,0.5850318442429668,6.496272895547292,inf,0.010907390150292347,-0.05380421733666671,-0.002787241078695036
