method,seed,epoch,privacy_valid,base_reset_error,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,base_W_kron,base_W_G,base_W_A,base_log_kappa_kron,corrected_W_kron,corrected_W_G,corrected_W_A,corrected_log_kappa_kron,gain_A,gain_G,gain_kron
Residual-Noisy,42,1,True,0.0,0.8874920427035062,0.5782314128622412,0.9217,0.7861127240333559,0.6142494658119658,0.4144113838317422,conv1,1.21452544224136,0.8235829405386401,0.6890277698045604,4.6624833647118615,1.216801194317323,0.8583859570890513,0.6544005486710391,4.68478053955267,0.0502551894872729,-0.04225805907010324,-0.0018737788413580318
Residual-Noisy,42,1,True,0.0,0.8874920427035062,0.5782314128622412,0.9217,0.7861127240333559,0.6142494658119658,0.4144113838317422,conv2,5.987863879708578,0.5423296713265158,5.241984718417472,14.183217779590517,5.903348350438265,0.5779121570839396,5.086654871621819,14.213956168216608,0.02963187707318338,-0.06561043519966475,0.01411447069742438
Residual-Noisy,42,1,True,0.0,0.8874920427035062,0.5782314128622412,0.9217,0.7861127240333559,0.6142494658119658,0.4144113838317422,fc1,96.52090704694984,3.7967739337741477,24.56441543307774,inf,86.57808470100116,3.7497410234415187,22.288443399578398,inf,0.09265321373919544,0.012387598301349586,0.10301211053800273
Residual-Noisy,42,1,True,0.0,0.8874920427035062,0.5782314128622412,0.9217,0.7861127240333559,0.6142494658119658,0.4144113838317422,fc2,9.708673295171591,0.5762025928067069,8.39730682705155,52.532855641062014,8.397095801167572,0.5868255483082315,7.22449555396978,51.67800528712516,0.1396651685161259,-0.0184361466507461,0.13509338033408805
Residual-Noisy,42,2,True,0.0,0.613639367505526,0.546595041501522,0.939,0.8385078418579571,0.25979901175213677,0.764690338801115,conv1,0.7722973265532184,0.2878541718507003,0.6886827689390913,3.1518724080781926,0.8744227916843024,0.38377855988892484,0.7335379354438634,3.4428133976696818,-0.0651318263325667,-0.33323952688091363,-0.13223594284195236
Residual-Noisy,42,2,True,0.0,0.613639367505526,0.546595041501522,0.939,0.8385078418579571,0.25979901175213677,0.764690338801115,conv2,4.291174583645453,0.3956384545021188,3.973232888426989,14.16449617557459,4.28134613837031,0.4375718031345626,3.9017439469358726,14.265067604076002,0.017992638110729833,-0.10598906187017074,0.0022903857868195173
Residual-Noisy,42,2,True,0.0,0.613639367505526,0.546595041501522,0.939,0.8385078418579571,0.25979901175213677,0.764690338801115,fc1,81.44731859338543,3.7220598218921976,21.110818622334364,inf,78.37512191823723,3.707590315601354,20.38690524121846,inf,0.034291108936440426,0.003887499659660929,0.0377200468745414
Residual-Noisy,42,2,True,0.0,0.613639367505526,0.546595041501522,0.939,0.8385078418579571,0.25979901175213677,0.764690338801115,fc2,8.52203080376966,0.5568717962401168,7.429518234292037,49.8890009668475,8.413723120779263,0.5935074088019581,7.217326336929182,49.85383484495232,0.02856065368861361,-0.06578823493880871,0.012709140049398493
Residual-Noisy,42,3,True,0.0,0.5916826190092624,0.5148484929559374,0.9459,0.8909029596825585,0.2015224358974359,0.8171557193128471,conv1,0.7708703636563589,0.2807721213775286,0.6911917181701429,3.0407384298547964,0.8157724599506128,0.3454477354797596,0.6985159388748973,3.4828393964100464,-0.010596511086886948,-0.23034913076454486,-0.0582485699427803
Residual-Noisy,42,3,True,0.0,0.5916826190092624,0.5148484929559374,0.9459,0.8909029596825585,0.2015224358974359,0.8171557193128471,conv2,3.3715907890977346,0.3658470523778242,3.147649011036995,11.57779377556236,3.4885242619640846,0.4372859457521512,3.171077886305735,11.774737478586035,-0.007443293450632064,-0.19526983451147034,-0.034681988468014055
