method,seed,epoch,interval,global_update_index,interval_steps,feedback_type,update_after_step,applies_from_step,layer,E_G_norm,correction_G_norm,K_G_min_eigenvalue,K_G_max_eigenvalue,E_A_norm,correction_A_norm,K_A_min_eigenvalue,K_A_max_eigenvalue
Residual-Noisy,42,1,1,1,47,grad,47,48,conv1,5.283318310978829e-06,0.048698399533856684,0.9048374180359595,1.081311557509081,2.891892067204121e-06,0.04979959877475257,0.9107400058586694,1.079618850204337
Residual-Noisy,42,1,1,1,47,grad,47,48,conv2,2.623154435649597e-06,0.047609897111029566,0.9048374180359593,1.0969475991077948,2.5240232874394412e-05,0.04228532477064892,0.9048374180359597,1.0705148772190827
Residual-Noisy,42,1,1,1,47,grad,47,48,fc1,3.2649246780078687e-06,0.04083569275482947,0.9048374180359596,1.0785930977250107,0.00013481337159666147,0.02865290218214221,0.9048374180359595,1.0433291403230842
Residual-Noisy,42,1,1,1,47,grad,47,48,fc2,4.13503213175797e-06,0.043777853356809414,0.9048374180359593,1.0603806256834984,9.269767046355455e-05,0.014483527755454728,0.9048374180359602,1.0117159288999455
Residual-Noisy,42,1,2,2,47,grad,94,95,conv1,5.685655866170327e-06,0.07416970048227374,0.904874929545515,1.0900171171142954,2.4521718980464e-06,0.06430921449495702,0.930118932458135,1.0632838489656675
Residual-Noisy,42,1,2,2,47,grad,94,95,conv2,2.593310268531585e-06,0.070339753780254,0.9135333962561468,1.0934502126643917,2.4842161428550703e-05,0.060288341764258506,0.9048374180359596,1.0750915850219762
Residual-Noisy,42,1,2,2,47,grad,94,95,fc1,3.1572286409656427e-06,0.06360377862623315,0.9134585677907007,1.093154158228845,0.0001341963690179141,0.04807358319865206,0.9048374180359595,1.0588928161674394
Residual-Noisy,42,1,2,2,47,grad,94,95,fc2,2.1102881412933343e-06,0.0450316924180279,0.9531844828902453,1.0354501157682447,8.236024333256789e-05,0.020404515287470715,0.9048374180359597,1.008292726795613
Residual-Noisy,42,1,3,3,47,grad,141,142,conv1,5.033451679263788e-06,0.08956675727009396,0.9276490849850654,1.0941337629904353,2.2172315049361426e-06,0.07618399818819209,0.9361792583015481,1.0542154194551185
Residual-Noisy,42,1,3,3,47,grad,141,142,conv2,2.6256532085466033e-06,0.08422642126824945,0.916312674578553,1.0890106544427878,2.5102842696985805e-05,0.07548293083696071,0.9048374180359592,1.0804889834312803
Residual-Noisy,42,1,3,3,47,grad,141,142,fc1,3.1455742931476512e-06,0.08072443751267243,0.9096956459783097,1.0957459662384479,0.00013410599085047852,0.06197036740714399,0.9048374180359596,1.059390950263883
