epoch,step,train_loss,test_loss,test_accuracy,epsilon_spent
1,235,0.7458274816513062,0.6000545227527618,0.8684,0.7863366347932901
2,470,0.5405414342880249,0.5331805618047715,0.9034,0.8389556633778256
3,705,0.5187689996083578,0.47336699180603026,0.9191,0.891574691962361
4,940,0.5008013813018799,0.4818578291773796,0.9193,0.9441937205468965
5,1175,0.48904730860392254,0.459356589114666,0.9276,0.9968127491314319
