hessian_stage_norm_mean,final_preconditioned_norm_mean,train_loss,preclip_norm_mean,preclip_norm_p50,preclip_norm_p90,preclip_norm_p99,clip_fraction,update_norm,step,epoch
9.356430053710938,9.356430053710938,2.311952590942383,9.356430053710938,9.14297103881836,12.782937049865723,14.250990867614746,1.0,0.9504101276397705,1,1
9.149352073669434,9.149352073669434,2.291928291320801,9.149351119995117,9.032398223876953,12.160821914672852,14.555780410766602,1.0,0.951086163520813,2,1
9.125858306884766,9.125858306884766,2.2735867500305176,9.125858306884766,8.749350547790527,12.250167846679688,14.43541145324707,1.0,0.9521704316139221,3,1
9.120626449584961,9.120626449584961,2.258747100830078,9.120626449584961,8.919835090637207,11.821250915527344,14.834558486938477,1.0,0.9533639550209045,4,1
9.401479721069336,9.401479721069336,2.2379369735717773,9.401479721069336,9.130351066589355,12.651352882385254,15.784652709960938,1.0,0.9507825970649719,5,1
9.873638153076172,9.873638153076172,2.2113161087036133,9.873638153076172,9.5472412109375,13.062002182006836,16.619890213012695,1.0,0.9487031698226929,6,1
10.611910820007324,10.611910820007324,2.1791739463806152,10.61191177368164,10.219038009643555,14.049185752868652,17.032779693603516,1.0,0.9507480263710022,7,1
11.513673782348633,11.513673782348633,2.1867074966430664,11.513673782348633,11.27420711517334,14.765534400939941,18.598508834838867,1.0,0.9515009522438049,8,1
11.675137519836426,11.675137519836426,2.1326589584350586,11.675138473510742,11.433564186096191,14.954652786254883,18.637222290039062,1.0,0.9492883682250977,9,1
12.72137451171875,12.72137451171875,2.096710205078125,12.72137451171875,12.188465118408203,16.91075897216797,21.71575164794922,1.0,0.9494128823280334,10,1
13.964599609375,13.964599609375,2.0767054557800293,13.964599609375,13.571357727050781,18.545310974121094,21.900705337524414,1.0,0.9537379741668701,11,1
14.797460556030273,14.797460556030273,2.015385150909424,14.797460556030273,14.229095458984375,20.181949615478516,23.7694149017334,1.0,0.9517156481742859,12,1
15.886279106140137,15.886279106140137,1.9648218154907227,15.886279106140137,15.648236274719238,21.458301544189453,25.72327995300293,1.0,0.9496179223060608,13,1
17.787254333496094,17.787254333496094,1.9061694145202637,17.787254333496094,17.8873291015625,22.617307662963867,27.655378341674805,1.0,0.9546955227851868,14,1
18.75433349609375,18.75433349609375,1.8340227603912354,18.75433349609375,19.132526397705078,24.79198455810547,30.158361434936523,1.0,0.9518203139305115,15,1
20.80156707763672,20.80156707763672,1.8058104515075684,20.80156707763672,20.329727172851562,27.651050567626953,34.49180221557617,1.0,0.9493998885154724,16,1
21.627132415771484,21.627132415771484,1.7579920291900635,21.627132415771484,21.32675552368164,29.02106475830078,34.2996826171875,1.0,0.951836109161377,17,1
22.98336410522461,22.98336410522461,1.6608997583389282,22.98336410522461,22.311172485351562,31.90212059020996,39.24460220336914,1.0,0.9556241631507874,18,1
24.349075317382812,24.349075317382812,1.595632791519165,24.349075317382812,23.774925231933594,32.3717041015625,50.20549392700195,1.0,0.9524858593940735,19,1
26.182065963745117,26.182065963745117,1.5570462942123413,26.182065963745117,25.700368881225586,37.70573043823242,50.39683151245117,1.0,0.9514584541320801,20,1
26.85788917541504,26.85788917541504,1.4974687099456787,26.85788917541504,27.006210327148438,37.62872314453125,55.55460739135742,1.0,0.9531493782997131,21,1
29.158939361572266,29.158939361572266,1.4110431671142578,29.158939361572266,27.497802734375,43.70465850830078,55.36674499511719,1.0,0.9525535106658936,22,1
32.061073303222656,32.061073303222656,1.4420887231826782,32.061073303222656,31.220272064208984,47.90730285644531,70.32659912109375,1.0,0.9508805274963379,23,1
31.71141815185547,31.71141815185547,1.3544821739196777,31.71141815185547,31.700916290283203,48.45209884643555,69.23231506347656,1.0,0.9509953260421753,24,1
31.59063148498535,31.59063148498535,1.256089448928833,31.59063148498535,31.39962387084961,49.37289810180664,66.99069213867188,1.0,0.9487103223800659,25,1
32.64265823364258,32.64265823364258,1.2051801681518555,32.64265823364258,31.137996673583984,54.351593017578125,74.57144165039062,1.0,0.9506427645683289,26,1
38.26582717895508,38.26582717895508,1.340981364250183,38.26582717895508,39.44331741333008,61.2856559753418,84.38721466064453,1.0,0.9509477019309998,27,1
35.836273193359375,35.836273193359375,1.1132783889770508,35.836273193359375,35.70709991455078,63.160926818847656,76.24848175048828,1.0,0.950389564037323,28,1
38.858699798583984,38.858699798583984,1.1779375076293945,38.858699798583984,39.587318420410156,66.27973175048828,93.67605590820312,1.0,0.9510093927383423,29,1
40.46329879760742,40.46329879760742,1.1424764394760132,40.46330261230469,41.564632415771484,71.10757446289062,107.05777740478516,0.984375,0.9503541588783264,30,1
36.13127136230469,36.13127136230469,0.9926666021347046,36.13127136230469,32.840145111083984,69.77886199951172,106.39080047607422,0.9921875,0.9535205960273743,31,1
40.661705017089844,40.661705017089844,1.042273759841919,40.661705017089844,35.721435546875,79.33271789550781,112.48192596435547,0.98046875,0.9509915709495544,32,1
43.95418930053711,43.95418930053711,1.1147236824035645,43.95418930053711,41.188133239746094,85.3762435913086,129.54652404785156,0.9453125,0.9501844644546509,33,1
