task,method,source,beta,epoch,layer,group,trace_S,d_total,tau,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,G_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_eigenvalue_min,G_eigenvalue_max,cosA,relative_error_A,cosG,relative_error_G,n
mnist,dp_kfc,pink,,3,fc1,fc1,200832.0,206922,1.0,,,,1083517.2119388392,185.0499540065073,0.0010858236945119,1176.5086621347168,1.155032782355763e-06,0.1842636927697582,0.5933438432081425,0.9447723529044436,0.8065981390994167,7.359425273665126,1
mnist,dp_kfc,pink,,3,fc2,fc2,1290.0,206922,1.0,,,,606513.2476295255,289.9229683714156,0.0010727383391685,650.6300139458469,0.0,0.2889229683714156,0.8647515145514374,0.9552459558090038,0.8728015398865258,8.313898757414226,1
mnist,dp_kfc,pink,,4,conv1,conv1,160.0,206922,1.0,,,,26.52196311677133,2.56094674034757,0.0440558284960565,1.168447058451214,0.0001071283432394,0.0018352967217655,0.8614926739551457,0.7910968550528737,0.9911254731018648,8.727154044892691,1
mnist,dp_kfc,pink,,4,conv2,conv2,4640.0,206922,1.0,,,,7484.858275212586,2.261528019284417,0.0032006920826136,23.956726620958204,0.0001092493299988,0.0015085984401649,0.8752175157878527,0.8200608014830814,0.977631523407856,8.319736421345889,1
mnist,dp_kfc,pink,,4,fc1,fc1,200832.0,206922,1.0,,,,1291682.074784356,171.13214509558694,0.0011150833879894,1440.3332241558223,0.0,0.1701321450955869,0.5939171007053744,0.9411258202597292,0.7651372264060593,7.121381792312532,1
mnist,dp_kfc,pink,,4,fc2,fc2,1290.0,206922,1.0,,,,851801.6981701964,235.82720590505852,0.0010000000000001,851.8016981703089,0.0,0.2348272059050585,0.826515822624897,0.9526685587897636,0.8784317532155781,8.69351270144655,1
mnist,dp_kfc,pink,,5,conv1,conv1,160.0,206922,1.0,,,,26.59834078062308,2.6683284840801904,0.043958679313697,1.1692279326518402,0.0001738247397425,0.002132149988373,0.8616006439084417,0.7910250283976866,0.9840286540223075,11.85754125857276,1
mnist,dp_kfc,pink,,5,conv2,conv2,4640.0,206922,1.0,,,,7867.717640475124,2.748820209517657,0.0032245109270125,25.36954150236157,1.6523000812107706e-05,0.0017942389680718,0.8788090627908598,0.8141727440958895,0.9746445122884516,10.832449026640486,1
mnist,dp_kfc,pink,,5,fc1,fc1,200832.0,206922,1.0,,,,1467145.2801016257,226.42628111087683,0.0010092944052517,1480.7815228981372,2.8144373937102882e-19,0.2254262811108768,0.5774083834197814,0.9407120276576644,0.7793733301743843,10.014198602843743,1
mnist,dp_kfc,pink,,5,fc2,fc2,1290.0,206922,1.0,,,,968235.2194096268,295.4473270841254,0.0010000000000001,968.2352194097668,4.353932700266561e-09,0.294448613441904,0.8100702920149631,0.9504185383290864,0.9139442636774842,11.863003215304497,1
mnist,dp_kfc,public,,1,conv1,conv1,160.0,206922,1.0,,,,395.691981769996,1.000730437016632,0.0299057432514556,11.833462813473169,9.556131142814957e-08,8.260681295794905e-07,0.9660282295184386,0.9784331189526184,0.9602655070538624,0.2939348904776388,1
mnist,dp_kfc,public,,1,conv2,conv2,4640.0,206922,1.0,,,,27834.50520087131,1.010263285672062,0.0015100995273601,42.0328731481383,8.015705890979926e-08,1.0344265405766047e-05,0.9336224782831184,0.8054845076380771,0.9778417985488468,0.2095097629470292,1
mnist,dp_kfc,public,,1,fc1,fc1,200832.0,206922,1.0,,,,90705.98599344744,27.995784600295444,0.001,90.70598599344746,0.0,0.0269957846002954,0.8361055847818185,0.5683062079376703,0.838050190344123,0.5767823576680139,1
mnist,dp_kfc,public,,1,fc2,fc2,1290.0,206922,1.0,,,,2488.395510222416,110.65355893127156,0.001,2.488395510222416,0.0,0.1096535589312715,0.9332410043666732,0.3713046355254961,0.9956489595702972,0.0931947370588573,1
mnist,dp_kfc,public,,2,conv1,conv1,160.0,206922,1.0,,,,394.0340400267804,3.5890146910245213,0.0303318999557649,11.951801081258177,3.695706415268302e-05,0.0027216541372056,0.9661403163949288,0.9965325945176372,0.9932003164353024,8.230119990220285,1
mnist,dp_kfc,public,,2,conv2,conv2,4640.0,206922,1.0,,,,54547.18323518794,3.610765127718179,0.0014621085941809,79.75390539653351,9.280912938253648e-05,0.0029458770956265,0.9592046520548816,0.7732873863007401,0.9904618265094866,7.547369646842634,1
mnist,dp_kfc,public,,2,fc1,fc1,200832.0,206922,1.0,,,,2269736.218837128,309.00649297828073,0.0010020219565142,2274.3255267703707,0.0,0.3080064929782807,0.7780833493457658,0.6417275799365986,0.8199245540385137,8.567183811627993,1
mnist,dp_kfc,public,,2,fc2,fc2,1290.0,206922,1.0,,,,2021162.564335552,389.0058548623349,0.001,2021.162564335552,4.6537017943931795e-09,0.3880076651795797,0.9471270627681054,0.448216608856333,0.7882147946320157,8.33529712053537,1
mnist,dp_kfc,public,,3,conv1,conv1,160.0,206922,1.0,,,,378.5765307387435,3.733738092938804,0.0310140272773856,11.741182850909418,0.0001170866138574,0.0031709088432714,0.9665223723415756,0.963358976494098,0.9772803623748748,11.548536227061517,1
mnist,dp_kfc,public,,3,conv2,conv2,4640.0,206922,1.0,,,,57212.80400166637,3.729776117087612,0.001746520382973,99.92332835595488,0.0001319022497056,0.0032217419778297,0.955744938940742,0.674531608010959,0.9857330535690642,10.673148344042207,1
mnist,dp_kfc,public,,3,fc1,fc1,200832.0,206922,1.0,,,,3936716.8222084166,343.6355024049474,0.001,3936.716822208417,5.7003372558385424e-08,0.3426550907875152,0.7624594954316734,0.6513803455098718,0.8031182527313355,12.026692560702674,1
mnist,dp_kfc,public,,3,fc2,fc2,1290.0,206922,1.0,,,,3820524.9857649626,483.3034640883219,0.0010728217082449,4098.742141620883,0.0,0.4823034640883219,0.9226830815844907,0.4927184419845949,0.8130454469546086,12.520221639178803,1
mnist,dp_kfc,public,,4,conv1,conv1,160.0,206922,1.0,,,,389.5677959859793,3.595412120593924,0.0306006893561731,11.921043108135985,0.0001795329772741,0.0032409071631316,0.9659774451333032,0.9922542403752852,0.9528434901005852,11.19337359136018,1
mnist,dp_kfc,public,,4,conv2,conv2,4640.0,206922,1.0,,,,69201.42059634894,3.2598936357558177,0.0016621998929363,115.02659390629184,0.000376079460475,0.0034858726754968,0.9544493248184625,0.6824628897673299,0.9775553056644783,11.133454463194017,1
mnist,dp_kfc,public,,4,fc1,fc1,200832.0,206922,1.0,,,,4519925.290460764,474.8253208189024,0.0010061297735681,4547.6314090362575,1.9493935399162577e-07,0.4739178829602016,0.7513777136940525,0.6653232422545251,0.720117487717264,12.953775809221288,1
mnist,dp_kfc,public,,4,fc2,fc2,1290.0,206922,1.0,,,,2354989.920638522,655.4992948654142,0.0019274251097743,4539.066706304149,4.135653436716467e-09,0.6545020057833257,0.9062708560465904,0.5336613701116278,0.7576214970473963,14.636332679964596,1
mnist,dp_kfc,public,,5,conv1,conv1,160.0,206922,1.0,,,,386.72217842496497,3.3129472653485994,0.030492876525837,11.792271636515178,0.0002845193593137,0.0032555448987257,0.9663790212973998,0.9715354833250512,0.9438468569156928,13.08716061099737,1
mnist,dp_kfc,public,,5,conv2,conv2,4640.0,206922,1.0,,,,73905.02720432405,3.5117054150081537,0.001564956685847,115.65816644111804,0.0003209661792158,0.003638844084595,0.949874764778536,0.6266485067050519,0.9733357668773396,13.098324343310928,1
mnist,dp_kfc,public,,5,fc1,fc1,200832.0,206922,1.0,,,,4069794.899695216,464.45396090733055,0.0010136140278849,4125.201200945548,8.427115596423394e-07,0.4638453616291089,0.7290926393151735,0.6853149850961333,0.7623629279309692,15.487579067113488,1
mnist,dp_kfc,public,,5,fc2,fc2,1290.0,206922,1.0,,,,2272837.6239865315,637.0455978358631,0.0020565814362192,4674.275665031436,0.0,0.6360455978358631,0.8848310017139436,0.5645887536781276,0.8107504768997122,17.40231187075035,1
mnist,dp_kfm,pink,0.25,1,conv1,conv1,402.1187088017607,206922,21.371945757497752,2.2726336252309487,0.2712456934562657,153.58364573018238,26.65655667793419,1.0007224966226365,0.0439033663547769,1.1703125735882218,0.0010002034420851,0.0010009260856939,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,1
mnist,dp_kfm,pink,0.25,1,conv2,conv2,6162.847501557483,206922,21.371945757497752,8.8865210847763,0.3552347619922208,4177.27787081006,6171.028340240056,1.010577353603839,0.001992777610018,12.297487107216964,0.001000014421035,0.0010105919271752,0.8169699345649275,0.6628943531273978,0.9694311260666092,0.254558665415884,1
mnist,dp_kfm,pink,0.25,1,fc1,fc1,197317.1205128797,206922,21.371945757497752,32.344431366552314,0.2984237884038754,186976.14624509748,38305.9951968204,28.57138752482234,0.001,38.3059951968204,0.001,0.0285713875248223,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,1
mnist,dp_kfm,pink,0.25,1,fc2,fc2,3039.913276761048,206922,21.371945757497752,20.49761958889449,0.3992669122692671,1194.1342657178589,1547.9282810655716,114.04148938230692,0.001,1.5479282810655717,0.001,0.1140414893823069,0.854649087127294,0.5625582573472794,0.997739912640114,0.0672047790308152,1
mnist,dp_kfm,pink,0.25,2,conv1,conv1,211.20442930444824,206922,10.946270520367118,2.540338352541981,0.2724303115690106,153.53201097420785,26.605394469385256,1.5652962957916037,0.0439491712819207,1.1692850385580795,0.0010277917904001,0.0016087986823583,0.861674992974544,0.7909976554819105,0.9864673846383364,6.302325256964855,1
mnist,dp_kfm,pink,0.25,2,conv2,conv2,3747.415543140152,206922,10.946270520367118,11.327307551117322,0.4029395582483995,4017.900888832929,9782.272754648277,1.6829336781567208,0.0031240669300204,30.560474813236898,0.0010995612200149,0.0018504886083582,0.9217144140019796,0.8281945681479339,0.9813691443788336,5.765852061826164,1
mnist,dp_kfm,pink,0.25,2,fc1,fc1,197017.7473632178,206922,10.946270520367118,145.02881276513236,0.5338114666035304,156015.8289870108,2077926.798421542,212.90552070504805,0.0010491004022836,2179.953840140007,0.001,0.212905520705048,0.6097289598437222,0.9200267221446472,0.7304756515577291,6.284238558149385,1
mnist,dp_kfm,pink,0.25,2,fc2,fc2,5945.632664337597,206922,10.946270520367118,135.3867842438232,0.6856459803341992,1008.9845203834118,1033318.1541651976,325.1404720166829,0.001,1033.3181541651977,0.001,0.3251404720166829,0.8411591366948745,0.8390077594989354,0.8311080229755423,6.64853563453797,1
mnist,dp_kfm,pink,0.25,3,conv1,conv1,192.47754281371627,206922,9.509818308294609,2.8556739832159588,0.2756662979650934,153.38386424004943,26.43308622538906,2.515860907501576,0.0441463961969868,1.1669254972151422,0.0010868032801991,0.0027342458867974,0.8611448779803761,0.7913566638596873,0.9834604407139128,11.107182359233583,1
mnist,dp_kfm,pink,0.25,3,conv2,conv2,3675.381738074205,206922,9.509818308294609,13.043819148182632,0.4057915192569723,4025.8744182235737,9423.818613324553,3.071794485894871,0.0032629443501036,30.749395700749396,0.0012266533869087,0.0037680271100105,0.9216933534533086,0.8338765129099523,0.9689914203183068,9.09881684432894,1
mnist,dp_kfm,pink,0.25,3,fc1,fc1,196850.5932868479,206922,9.509818308294609,138.20080394366647,0.5425082477362014,158710.67683157732,1164220.0427833498,313.3337713933469,0.0010528585354093,1225.7590091390434,0.001,0.3133337713933469,0.578567740850628,0.9331233564100389,0.6780487590507964,8.302263795775767,1
mnist,dp_kfm,pink,0.25,3,fc2,fc2,6203.547432264178,206922,9.509818308294609,135.23183121002884,0.7489869663124415,1006.4899613259176,1321528.6429945924,253.06910860463444,0.001,1321.5286429945925,0.001,0.2530691086046344,0.708377189718862,0.876001299053421,0.8241111124339009,6.406972007246964,1
mnist,dp_kfm,pink,0.25,4,conv1,conv1,190.3784456136912,206922,8.900253004352596,2.9988569835841545,0.2782171080709802,153.27260775328105,26.52196311677133,3.049420753786509,0.0440558284960565,1.168447058451214,0.0011871200752946,0.0036200285948402,0.8614926739551457,0.7910968550528737,0.968451445344658,16.32789989930566,1
mnist,dp_kfm,pink,0.25,4,conv2,conv2,3782.3118143758793,206922,8.900253004352596,15.023223648469502,0.4134094362836289,4017.9050926736727,11716.244763085964,4.347745300844231,0.0026484141712366,31.029468664233807,0.0013433584318395,0.0058405803093799,0.9232797165790364,0.8349632858200859,0.973684191622022,12.332654964039,1
mnist,dp_kfm,pink,0.25,4,fc1,fc1,197012.1062457274,206922,8.900253004352596,136.28624289389188,0.5542285274992593,159499.44200257713,663777.0973554621,519.7396062282105,0.0010868338791955,721.415437640022,0.001,0.5197396062282105,0.5584137410183103,0.9394898044261846,0.6785230730955607,10.807243527208582,1
mnist,dp_kfm,pink,0.25,4,fc2,fc2,5937.203494283031,206922,8.900253004352596,150.45550135364317,0.7641293240765948,1012.7592706768598,1103919.2790077678,464.18913480965807,0.001,1103.9192790077675,0.001,0.464189134809658,0.7289364930712247,0.8658846743603754,0.8433133558810249,11.62510591770529,1
mnist,dp_kfm,pink,0.25,5,conv1,conv1,198.77016401918937,206922,8.57039493267526,3.1518769657628174,0.2805746040719702,153.17036009161163,26.59834078062308,3.7104149359612633,0.043958679313697,1.1692279326518402,0.0014008721724265,0.0051978170319438,0.8616006439084417,0.7910250283976866,0.9547751332769192,16.992895630356738,1
mnist,dp_kfm,pink,0.25,5,conv2,conv2,4074.827977746467,206922,8.57039493267526,18.19286905852335,0.4139637281605771,4030.701665283901,12031.448853736778,9.105144567785716,0.0025797611640742,31.038264500415483,0.0010039747185411,0.0091413349547187,0.921415726458938,0.8330602655151819,0.971882066508154,13.104282901736312,1
mnist,dp_kfm,pink,0.25,5,fc1,fc1,196733.40175391315,206922,8.57039493267526,140.00993662187793,0.5576830885240958,159957.5807023291,478945.5619170375,802.323074955753,0.001,478.9455619170375,0.001,0.8023230749557531,0.5094128833194713,0.9512820927139518,0.6798020611579447,13.218933593414416,1
mnist,dp_kfm,pink,0.25,5,fc2,fc2,5915.000104321191,206922,8.57039493267526,146.00215361861905,0.7472863686133192,1023.530785905757,1098758.604397716,413.5564119276352,0.001,1098.758604397716,0.001,0.4135564119276351,0.6929701590070719,0.8847129555537392,0.8409752347242675,11.59633639953446,1
mnist,dp_kfm,pink,0.5,1,conv1,conv1,881.5635742813189,206922,366.2611827557988,5.164863594530364,0.5424913869125315,134.82070380903582,26.65655667793419,1.0007224966226365,0.0439033663547769,1.1703125735882218,0.0010002034420851,0.0010009260856939,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,1
mnist,dp_kfm,pink,0.5,1,conv2,conv2,8628.87324722423,206922,366.2611827557988,78.97025699017375,0.7104695239844416,2342.949403147913,6171.028340240056,1.010577353603839,0.001992777610018,12.297487107216964,0.001000014421035,0.0010105919271752,0.8169699345649275,0.6628943531273978,0.9694311260666092,0.254558665415884,1
mnist,dp_kfm,pink,0.5,1,fc1,fc1,190393.707572458,206922,366.2611827557988,1046.1622404256134,0.5968475768077509,112733.790481339,38305.9951968204,28.57138752482234,0.001,38.3059951968204,0.001,0.0285713875248223,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,1
mnist,dp_kfm,pink,0.5,1,fc2,fc2,7017.855606036403,206922,366.2611827557988,420.15240881103136,0.7985338245385343,750.4533756832719,1547.9282810655716,114.04148938230692,0.001,1.5479282810655717,0.001,0.1140414893823069,0.854649087127294,0.5625582573472794,0.997739912640114,0.0672047790308152,1
mnist,dp_kfm,pink,0.5,2,conv1,conv1,149.52378610382084,206922,58.60886997631374,6.628873928195845,0.5454307884143426,134.5831885442252,26.605394469385256,1.6516187950709955,0.0439491712819207,1.1692850385580795,0.0010244816291872,0.0016920531139706,0.861674992974544,0.7909976554819105,0.9857034722615116,6.10265643367717,1
mnist,dp_kfm,pink,0.5,2,conv2,conv2,2060.2634139982806,206922,58.60886997631374,150.37124435296246,0.7973678787847949,1905.6568988239253,10812.566890759406,2.0912250862080226,0.0025895042300224,27.99918770102252,0.0010001877054097,0.0020916176204696,0.9170002344008696,0.8283091292388728,0.9849598603963554,5.392063080024341,1
mnist,dp_kfm,pink,0.5,2,fc1,fc1,180364.8624947831,206922,58.60886997631374,27409.252416954834,1.1547778307958048,31217.979319076185,1898246.090787776,395.76908478951066,0.001,1898.246090787776,0.001,0.3957690847895107,0.596300663470156,0.9165276780004736,0.667717491759916,6.898968365345597,1
mnist,dp_kfm,pink,0.5,2,fc2,fc2,24347.350305114804,206922,58.60886997631374,33238.72473943657,1.6584807477608292,215.43473634489897,2221152.5786012425,497.4051908670685,0.001,2221.1525786012426,0.001,0.4974051908670685,0.8924078723553106,0.784047341095647,0.7399740642157114,6.882606696601672,1
mnist,dp_kfm,pink,0.5,3,conv1,conv1,149.99508738328925,206922,51.3715716781382,8.83563732012297,0.5555242886294613,133.6956751134369,26.43308622538906,2.953438209487804,0.0441463961969868,1.1669254972151422,0.0011010195479568,0.0032517932023286,0.8611448779803761,0.7913566638596873,0.974082312711132,9.778324264254756,1
mnist,dp_kfm,pink,0.5,3,conv2,conv2,2320.775974813121,206922,51.3715716781382,242.0249936462476,0.8182990279875152,1966.475930641694,9370.67875612141,6.250998361372839,0.0026595652307129,24.921931407961296,0.0010000824483126,0.0062515137456401,0.9073558848229356,0.8400138148444986,0.9574709822424106,8.61996988811238,1
mnist,dp_kfm,pink,0.5,3,fc1,fc1,185318.3382308516,206922,51.3715716781382,22570.86403413502,1.1944002270041068,43167.95070611305,440323.3374529966,1156.9768393250145,0.001,440.3233374529966,0.001,1.1569768393250144,0.533400405362232,0.949365764768022,0.5438323095954785,9.041838319402157,1
mnist,dp_kfm,pink,0.5,3,fc2,fc2,19132.890706951992,206922,51.3715716781382,18194.05374169996,1.6542034117331843,301.0754005340341,1005482.6990075272,329.21858514582766,0.001,1005.4826990075272,0.001,0.3292185851458277,0.7520587068283012,0.8797331737243504,0.8389277119680734,4.805134200529662,1
mnist,dp_kfm,pink,0.5,4,conv1,conv1,164.7903912986359,206922,52.63845939321486,9.189188381985302,0.5583426488205381,133.4933731857865,26.52196311677133,3.1838209995178195,0.0440558284960565,1.168447058451214,0.0011889037518078,0.0037852567314113,0.8614926739551457,0.7910968550528737,0.9631188102877228,9.27290591190446,1
mnist,dp_kfm,pink,0.5,4,conv2,conv2,2755.4077591472187,206922,52.63845939321486,301.7554063386023,0.8684924574739076,1904.325572575688,11198.513004975992,8.131108586837794,0.0023059056637275,25.822714563500647,0.0010000201976624,0.0081312728162242,0.9114399904952776,0.844565827983792,0.9528585297385572,7.506434671647625,1
mnist,dp_kfm,pink,0.5,4,fc1,fc1,192249.86018737,206922,52.63845939321486,15262.722047546153,1.2386085141535836,48404.460225399685,127035.18129994844,1833.7493749123023,0.001,127.03518129994843,0.001,1.8337493749123024,0.4872600753194059,0.9693076424416536,0.7344701264437413,9.198910268711764,1
mnist,dp_kfm,pink,0.5,4,fc2,fc2,11751.941662184174,206922,52.63845939321486,7808.112241933154,1.3973468544886818,497.9122525673502,151520.93110377286,402.3643224636198,0.001,151.52093110377285,0.0010000045343761,0.4023661469348195,0.6185051818111932,0.931412826660824,0.8910061345073894,6.468575716982587,1
mnist,dp_kfm,pink,0.5,5,conv1,conv1,241.36225192939517,206922,67.64242637158253,10.527438890420305,0.5676030617730335,132.77298224682607,26.59834078062308,4.166687332326815,0.043958679313697,1.1692279326518402,0.0012708024431137,0.005295036441612,0.8616006439084417,0.7910250283976866,0.9685524881433052,11.25523049087432,1
mnist,dp_kfm,pink,0.5,5,conv2,conv2,3958.1643344283034,206922,67.64242637158253,399.7511099666356,0.9146552179826012,1875.946201907296,9965.74026728555,16.035030578123177,0.002481193424262,24.72692921909259,0.001,0.0160350305781231,0.8832909428139967,0.8376145324909109,0.941009242997932,9.84377682516415,1
mnist,dp_kfm,pink,0.5,5,fc1,fc1,189083.22106260015,206922,67.64242637158253,8194.235405451904,1.126245810073971,57842.73884060552,29269.63851615108,2294.032221918642,0.001,29.26963851615108,0.001,2.294032221918642,0.3487908071801013,0.9895045400118928,0.6306163004732843,11.832170716213485,1
mnist,dp_kfm,pink,0.5,5,fc2,fc2,13639.252351042134,206922,67.64242637158253,7044.478418809583,1.2873175574248172,527.4899655391691,106565.72165128552,465.6720324708216,0.001,106.56572165128551,0.001,0.4656720324708216,0.4429892322976492,0.9622009280499552,0.8166506359867709,8.73131301604678,1
mnist,dp_kfm,pink,0.75,1,conv1,conv1,1170.7105191779558,206922,3490.188467949576,11.737842674660891,0.8137370803687973,109.756762027129,26.65655667793419,1.0007224966226365,0.0439033663547769,1.1703125735882218,0.0010002034420851,0.0010009260856939,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,1
mnist,dp_kfm,pink,0.75,1,conv2,conv2,10631.96769877174,206922,3490.188467949576,701.7708538133821,1.0657042859766626,656.4293882112047,6171.028340240056,1.010577353603839,0.001992777610018,12.297487107216964,0.001000014421035,0.0010105919271752,0.8169699345649275,0.6628943531273978,0.9694311260666092,0.254558665415884,1
mnist,dp_kfm,pink,0.75,1,fc1,fc1,180820.5703056861,206922,3490.188467949576,33837.52278372485,0.8952713652116264,11575.373416210698,38305.9951968204,28.57138752482234,0.001,38.3059951968204,0.001,0.0285713875248223,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,1
mnist,dp_kfm,pink,0.75,1,fc2,fc2,14298.751476364214,206922,3490.188467949576,8612.124245166204,1.1978007368078014,154.67931466136207,1547.9282810655716,114.04148938230692,0.001,1.5479282810655717,0.001,0.1140414893823069,0.854649087127294,0.5625582573472794,0.997739912640114,0.0672047790308152,1
mnist,dp_kfm,pink,0.75,2,conv1,conv1,24.260018664920764,206922,68.53558628277409,15.135608251014467,0.815727696048627,109.56338233105534,26.605394469385256,1.4072247633483346,0.0439491712819207,1.1692850385580795,0.0010086577848584,0.0014194082125969,0.861674992974544,0.7909976554819105,0.974179673393295,4.191628380512324,1
mnist,dp_kfm,pink,0.75,2,conv2,conv2,332.56231393024643,206922,68.53558628277409,2032.161127659768,1.179225902594424,484.7248795886888,14817.189240130252,1.7371808183832318,0.0015604016483272,23.12076651387607,0.001,0.0017371808183832,0.9129261105155524,0.8180948788868017,0.9747672111936748,3.5013873092367103,1
mnist,dp_kfm,pink,0.75,2,fc1,fc1,133348.22871273023,206922,68.53558628277409,4981444.36201286,1.76828512653306,647.2185988344145,2924208.7055864744,290.93681468610885,0.001,2924.2087055864745,0.001,0.2909368146861088,0.6309207995230053,0.8932144615337217,0.6791942749423286,4.137134490635297,1
mnist,dp_kfm,pink,0.75,2,fc2,fc2,73216.94895467462,206922,68.53558628277409,7088841.310654704,2.457974238531004,16.841107098229777,3622446.1078676446,375.9225744036424,0.001,3622.446107867645,0.001,0.3759225744036424,0.8875271781692701,0.6809007786966954,0.7376640367119133,3.380452370596752,1
mnist,dp_kfm,pink,0.75,3,conv1,conv1,123.17890147914817,206922,132.94155869596926,57.20474616458887,0.8965744876819627,101.45656520365812,26.43308622538906,8.33863334037423,0.0441463961969868,1.1669254972151422,0.0014166728306857,0.0118131152983584,0.8611448779803761,0.7913566638596873,0.925827796060126,31.8870937527449,1
mnist,dp_kfm,pink,0.75,3,conv2,conv2,1411.264276704852,206922,132.94155869596926,22589.82370291124,1.3653422326459794,390.1477362155768,6990.487534502578,91.3502323872165,0.0015893393846416,11.110257156431144,0.001,0.0913502323872165,0.8861283721665423,0.8499157310167064,0.8947938141723514,32.643094153945974,1
mnist,dp_kfm,pink,0.75,3,fc1,fc1,179105.9019162472,206922,132.94155869596926,7864200.496188855,1.6626067135047835,497.7434363830571,271669.0385890322,5756.598724480222,0.001,271.6690385890322,0.001,5.756598724480222,0.6053224571910957,0.937993514472418,0.4561992387463822,12.156333822518183,1
mnist,dp_kfm,pink,0.75,3,fc2,fc2,26281.6549055688,206922,132.94155869596926,1461808.8270612974,2.128993217476588,28.276455987426527,266100.7105103944,623.4592496794965,0.001,266.1007105103944,0.001,0.6234592496794965,0.6426680703899145,0.8083161998428307,0.6241355102982197,2.6585326505893017,1
mnist,dp_kfm,pink,0.75,4,conv1,conv1,155.99438532454644,206922,171.38228682424077,53.22871940045527,0.8872750351089369,102.286945283886,26.52196311677133,7.549572447092757,0.0440558284960565,1.168447058451214,0.0014988001245744,0.0113153001241863,0.8614926739551457,0.7910968550528737,0.9644492229565544,12.184175195144986,1
mnist,dp_kfm,pink,0.75,4,conv2,conv2,2436.5370825579853,206922,171.38228682424077,18502.86568011425,1.5080260795421705,365.4506961480204,7982.852051841623,61.30472016424287,0.0016326676269773,13.033344115991476,0.001,0.0613047201642428,0.9203609828954902,0.865446814518937,0.936207775829089,11.168661761014546,1
mnist,dp_kfm,pink,0.75,4,fc1,fc1,184084.51740730184,206922,171.38228682424077,2349920.524752716,1.7154759245458608,1702.9417964924282,76748.44283584667,4070.689652751741,0.001,76.74844283584667,0.001,4.070689652751741,0.5469891557187498,0.9670894017139684,0.6868477522366779,6.948327375704202,1
