task,method,source,beta,epoch,layer,group,trace_S,d_total,tau,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,G_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_eigenvalue_min,G_eigenvalue_max,cosA,relative_error_A,cosG,relative_error_G,n
mnist,dp_kfc,pink,,1,conv1,conv1,160.0,206922,1.0,,,,26.65655667793419,1.0007224966226365,0.0439033663547769,1.1703125735882218,2.03442085129868e-07,9.26085693985832e-07,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,1
mnist,dp_kfc,pink,,1,conv2,conv2,4640.0,206922,1.0,,,,6171.028340240056,1.010577353603839,0.001992777610018,12.297487107216964,1.4421035065766224e-08,1.05919271752919e-05,0.8169699345649275,0.6628943531273978,0.9694311260666092,0.254558665415884,1
mnist,dp_kfc,pink,,1,fc1,fc1,200832.0,206922,1.0,,,,38305.9951968204,28.57138752482234,0.001,38.3059951968204,0.0,0.0275713875248223,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,1
mnist,dp_kfc,pink,,1,fc2,fc2,1290.0,206922,1.0,,,,1547.9282810655716,114.04148938230692,0.001,1.5479282810655717,0.0,0.1130414893823069,0.854649087127294,0.5625582573472794,0.997739912640114,0.0672047790308152,1
mnist,dp_kfc,pink,,2,conv1,conv1,160.0,206922,1.0,,,,26.605394469385256,2.202580683376259,0.0439491712819207,1.1692850385580795,2.559477239958661e-05,0.001258955234659,0.861674992974544,0.7909976554819105,0.990502373709965,4.569288423668557,1
mnist,dp_kfc,pink,,2,conv2,conv2,4640.0,206922,1.0,,,,5486.142042633897,2.072347761837214,0.003206322528053,17.590340823396275,1.7490973589826174e-05,0.0011085951418084,0.8332114647694794,0.8021097366480168,0.9821978404209816,4.394626376334574,1
mnist,dp_kfc,pink,,2,fc1,fc1,200832.0,206922,1.0,,,,563270.253378561,128.6721010423273,0.0010024891644588,564.6723256739776,1.1312903746649537e-07,0.127686657593267,0.5836747022261206,0.946699674276834,0.8565705224312985,4.319088318231949,1
mnist,dp_kfc,pink,,2,fc2,fc2,1290.0,206922,1.0,,,,241623.15807193247,211.61639143116008,0.0010174559309577,245.8409152370306,4.097818961266021e-09,0.2106172585968214,0.9114309656559424,0.9612825804319892,0.8794382372130387,4.824910428747567,1
mnist,dp_kfc,pink,,3,conv1,conv1,160.0,206922,1.0,,,,26.43308622538906,2.6763514531747687,0.0441463961969868,1.1669254972151422,6.29181703040666e-05,0.0018447425896991,0.8611448779803761,0.7913566638596873,0.9912510821320228,8.087533738975457,1
mnist,dp_kfc,pink,,3,conv2,conv2,4640.0,206922,1.0,,,,6395.766465898104,2.138238658740069,0.0034535683510818,22.08821664753602,0.0001246945516205,0.0014048653695494,0.8639229507335588,0.8187683877877262,0.9810523965600708,7.93774739255766,1
