task,metric,comparison,method,source,beta,seed,delta
mnist,accuracy_auc,KFM - KFC,dp_kfm,public,0.75,42,-1.5410499999999998
mnist,accuracy_auc,KFM-A - KFM,dp_kfm_a,public,0.75,42,-0.23930000000000007
mnist,test_accuracy,KFM - SGD,dp_kfm,public,1.0,42,-0.7266999999999999
mnist,test_accuracy,KFM - KFC,dp_kfm,public,1.0,42,-0.75
mnist,test_accuracy,KFM-A - KFM,dp_kfm_a,public,1.0,42,0.03789999999999999
mnist,best_accuracy,KFM - SGD,dp_kfm,public,1.0,42,-0.48699999999999993
mnist,best_accuracy,KFM - KFC,dp_kfm,public,1.0,42,-0.5125
mnist,best_accuracy,KFM-A - KFM,dp_kfm_a,public,1.0,42,0.07129999999999997
mnist,accuracy_auc,KFM - SGD,dp_kfm,public,1.0,42,-2.6395
mnist,accuracy_auc,KFM - KFC,dp_kfm,public,1.0,42,-2.74605
mnist,accuracy_auc,KFM-A - KFM,dp_kfm_a,public,1.0,42,0.08610000000000007
mnist,test_accuracy,public - pink,dp_kfc,public-pink,,42,-0.0028999999999999027
mnist,best_accuracy,public - pink,dp_kfc,public-pink,,42,-0.0012999999999999678
mnist,accuracy_auc,public - pink,dp_kfc,public-pink,,42,0.006299999999999972
mnist,test_accuracy,public - pink,dp_kfm,public-pink,0.25,42,0.00019999999999997797
mnist,best_accuracy,public - pink,dp_kfm,public-pink,0.25,42,-0.000500000000000056
mnist,accuracy_auc,public - pink,dp_kfm,public-pink,0.25,42,-0.007449999999999957
mnist,test_accuracy,public - pink,dp_kfm,public-pink,0.5,42,-0.013600000000000056
mnist,best_accuracy,public - pink,dp_kfm,public-pink,0.5,42,-0.014100000000000001
mnist,accuracy_auc,public - pink,dp_kfm,public-pink,0.5,42,-0.08720000000000017
mnist,test_accuracy,public - pink,dp_kfm,public-pink,0.75,42,0.03090000000000004
mnist,best_accuracy,public - pink,dp_kfm,public-pink,0.75,42,-0.014499999999999957
mnist,accuracy_auc,public - pink,dp_kfm,public-pink,0.75,42,-0.6237499999999998
mnist,test_accuracy,public - pink,dp_kfm,public-pink,1.0,42,-0.04630000000000001
mnist,best_accuracy,public - pink,dp_kfm,public-pink,1.0,42,-0.1053
mnist,accuracy_auc,public - pink,dp_kfm,public-pink,1.0,42,-0.2772000000000001
mnist,test_accuracy,public - pink,dp_kfm_a,public-pink,0.25,42,0.0012000000000000899
mnist,best_accuracy,public - pink,dp_kfm_a,public-pink,0.25,42,0.0035000000000000586
mnist,accuracy_auc,public - pink,dp_kfm_a,public-pink,0.25,42,-0.009649999999998826
mnist,test_accuracy,public - pink,dp_kfm_a,public-pink,0.5,42,-0.025599999999999956
mnist,best_accuracy,public - pink,dp_kfm_a,public-pink,0.5,42,-0.025599999999999956
mnist,accuracy_auc,public - pink,dp_kfm_a,public-pink,0.5,42,-0.17035
mnist,test_accuracy,public - pink,dp_kfm_a,public-pink,0.75,42,-0.4508
mnist,best_accuracy,public - pink,dp_kfm_a,public-pink,0.75,42,-0.14349999999999996
mnist,accuracy_auc,public - pink,dp_kfm_a,public-pink,0.75,42,-0.40344999999999986
mnist,test_accuracy,public - pink,dp_kfm_a,public-pink,1.0,42,-0.2835
mnist,best_accuracy,public - pink,dp_kfm_a,public-pink,1.0,42,-0.10460000000000003
mnist,accuracy_auc,public - pink,dp_kfm_a,public-pink,1.0,42,-0.2963499999999999
vit,test_accuracy,KFM - SGD,dp_kfm,pink,0.25,42,-0.007199999999999984
vit,test_accuracy,KFM - KFC,dp_kfm,pink,0.25,42,0.040899999999999936
vit,test_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.25,42,0.005600000000000049
vit,best_accuracy,KFM - SGD,dp_kfm,pink,0.25,42,-0.007199999999999984
vit,best_accuracy,KFM - KFC,dp_kfm,pink,0.25,42,0.040899999999999936
vit,best_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.25,42,0.005600000000000049
vit,accuracy_auc,KFM - SGD,dp_kfm,pink,0.25,42,-0.0442499999999999
vit,accuracy_auc,KFM - KFC,dp_kfm,pink,0.25,42,0.2498499999999999
vit,accuracy_auc,KFM-A - KFM,dp_kfm_a,pink,0.25,42,0.03534999999999977
vit,test_accuracy,KFM - SGD,dp_kfm,pink,0.5,42,-0.026799999999999935
vit,test_accuracy,KFM - KFC,dp_kfm,pink,0.5,42,0.021299999999999986
vit,test_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.5,42,0.00990000000000002
vit,best_accuracy,KFM - SGD,dp_kfm,pink,0.5,42,-0.026799999999999935
vit,best_accuracy,KFM - KFC,dp_kfm,pink,0.5,42,0.021299999999999986
vit,best_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.5,42,0.00990000000000002
vit,accuracy_auc,KFM - SGD,dp_kfm,pink,0.5,42,-0.15479999999999983
vit,accuracy_auc,KFM - KFC,dp_kfm,pink,0.5,42,0.13929999999999998
vit,accuracy_auc,KFM-A - KFM,dp_kfm_a,pink,0.5,42,0.06064999999999987
vit,test_accuracy,KFM - SGD,dp_kfm,pink,0.75,42,-0.07389999999999997
