task,method,source,beta,epoch,level,layer,group,noise_rms,noise_energy_share,snr,n
mnist,dp_kfm,pink,0.25,2,layer,conv2,conv2,0.9596233725403722,0.0181102808939607,0.1377848371729938,1
mnist,dp_kfm,pink,0.25,2,layer,fc1,fc1,1.0577681883165293,0.9521353329429318,0.0739844997099512,1
mnist,dp_kfm,pink,0.25,2,layer,fc2,fc2,2.2936646175901965,0.0287336903003915,0.2909653798410317,1
mnist,dp_kfm,pink,0.25,3,group,conv1,conv1,1.1691311093782597,0.0009301937097733,0.0846504296933476,1
mnist,dp_kfm,pink,0.25,3,group,conv2,conv2,0.9504813988976876,0.017762160321639,0.1301106623198002,1
mnist,dp_kfm,pink,0.25,3,group,fc1,fc1,1.0573120664773692,0.9513275209346852,0.0463047255958623,1
mnist,dp_kfm,pink,0.25,3,group,fc2,fc2,2.345362482648404,0.0299801250338977,0.2127325751559667,1
mnist,dp_kfm,pink,0.25,3,layer,conv1,conv1,1.1691311093782597,0.0009301937097733,0.0846504296933476,1
mnist,dp_kfm,pink,0.25,3,layer,conv2,conv2,0.9504813988976876,0.017762160321639,0.1301106623198002,1
mnist,dp_kfm,pink,0.25,3,layer,fc1,fc1,1.0573120664773692,0.9513275209346852,0.0463047255958623,1
mnist,dp_kfm,pink,0.25,3,layer,fc2,fc2,2.345362482648404,0.0299801250338977,0.2127325751559667,1
mnist,dp_kfm,pink,0.25,4,group,conv1,conv1,1.1635609450848337,0.0009200493210663,0.0856856549137396,1
mnist,dp_kfm,pink,0.25,4,group,conv2,conv2,0.9643442674172767,0.0182789254616516,0.1216175091272441,1
mnist,dp_kfm,pink,0.25,4,group,fc1,fc1,1.0580231855440885,0.9521080708949587,0.0338083715557861,1
mnist,dp_kfm,pink,0.25,4,group,fc2,fc2,2.2880938812576166,0.0286929543223195,0.1531086804779482,1
mnist,dp_kfm,pink,0.25,4,layer,conv1,conv1,1.1635609450848337,0.0009200493210663,0.0856856549137396,1
mnist,dp_kfm,pink,0.25,4,layer,conv2,conv2,0.9643442674172767,0.0182789254616516,0.1216175091272441,1
mnist,dp_kfm,pink,0.25,4,layer,fc1,fc1,1.0580231855440885,0.9521080708949587,0.0338083715557861,1
mnist,dp_kfm,pink,0.25,4,layer,fc2,fc2,2.2880938812576166,0.0286929543223195,0.1531086804779482,1
mnist,dp_kfm,pink,0.25,5,group,conv1,conv1,1.187997681651945,0.0009606043050965,0.0879523788683506,1
mnist,dp_kfm,pink,0.25,5,group,conv2,conv2,1.0008216085821269,0.0196925797051375,0.1064880227106204,1
mnist,dp_kfm,pink,0.25,5,group,fc1,fc1,1.0570593955818637,0.9507611648539658,0.02547921765774,1
mnist,dp_kfm,pink,0.25,5,group,fc2,fc2,2.285513127867274,0.0285856511357962,0.1148278688262391,1
mnist,dp_kfm,pink,0.25,5,layer,conv1,conv1,1.187997681651945,0.0009606043050965,0.0879523788683505,1
mnist,dp_kfm,pink,0.25,5,layer,conv2,conv2,1.0008216085821269,0.0196925797051375,0.1064880227106204,1
mnist,dp_kfm,pink,0.25,5,layer,fc1,fc1,1.0570593955818637,0.9507611648539658,0.02547921765774,1
