task,method,source,beta,epoch,level,layer,group,noise_rms,noise_energy_share,snr,n
mnist,dp_kfm,pink,1.0,5,layer,fc1,fc1,0.9411978766936998,0.7718372646507803,0.0181182696254613,1
mnist,dp_kfm,pink,1.0,5,layer,fc2,fc2,6.262063256464845,0.2245735065651736,0.0165742989509867,1
mnist,dp_kfm,public,0.25,1,group,conv1,conv1,1.8801617923660705,0.0023815738079012,0.1257793847494444,1
mnist,dp_kfm,public,0.25,1,group,conv2,conv2,1.2814102266689529,0.0322783358518166,0.088487087074857,1
mnist,dp_kfm,public,0.25,1,group,fc1,fc1,1.0566384620785896,0.9498258025433084,0.0829539654528574,1
mnist,dp_kfm,public,0.25,1,group,fc2,fc2,1.6839738724241624,0.0155142877969707,0.4416008644644728,1
mnist,dp_kfm,public,0.25,1,layer,conv1,conv1,1.8801617923660705,0.0023815738079012,0.1257793847494444,1
mnist,dp_kfm,public,0.25,1,layer,conv2,conv2,1.2814102266689529,0.0322783358518166,0.088487087074857,1
mnist,dp_kfm,public,0.25,1,layer,fc1,fc1,1.0566384620785896,0.9498258025433084,0.0829539654528574,1
mnist,dp_kfm,public,0.25,1,layer,fc2,fc2,1.6839738724241624,0.0155142877969707,0.4416008644644728,1
mnist,dp_kfm,public,0.25,2,group,conv1,conv1,1.2871820026001144,0.0011346611469205,0.1146795270655148,1
mnist,dp_kfm,public,0.25,2,group,conv2,conv2,0.9764667112640572,0.0187596013616717,0.1617117053293604,1
mnist,dp_kfm,public,0.25,2,group,fc1,fc1,1.052949861859254,0.9437107466411656,0.0755640334760089,1
mnist,dp_kfm,public,0.25,2,group,fc2,fc2,2.5776315779201524,0.0363949908502389,0.2952478350547801,1
mnist,dp_kfm,public,0.25,2,layer,conv1,conv1,1.2871820026001144,0.0011346611469205,0.1146795270655148,1
mnist,dp_kfm,public,0.25,2,layer,conv2,conv2,0.9764667112640572,0.0187596013616717,0.1617117053293604,1
mnist,dp_kfm,public,0.25,2,layer,fc1,fc1,1.052949861859254,0.9437107466411656,0.0755640334760089,1
mnist,dp_kfm,public,0.25,2,layer,fc2,fc2,2.5776315779201524,0.0363949908502389,0.2952478350547801,1
mnist,dp_kfm,public,0.25,3,group,conv1,conv1,1.2409614980483064,0.0010470767430958,0.1021438479174802,1
mnist,dp_kfm,public,0.25,3,group,conv2,conv2,0.9794750621999534,0.0188754450912211,0.1519807356860491,1
mnist,dp_kfm,public,0.25,3,group,fc1,fc1,1.0532139942242364,0.9440168151995544,0.046079174064546,1
mnist,dp_kfm,public,0.25,3,group,fc2,fc2,2.575171140699033,0.0360606629661245,0.2058775700067009,1
mnist,dp_kfm,public,0.25,3,layer,conv1,conv1,1.2409614980483064,0.0010470767430958,0.1021438479174802,1
mnist,dp_kfm,public,0.25,3,layer,conv2,conv2,0.9794750621999534,0.0188754450912211,0.1519807356860491,1
mnist,dp_kfm,public,0.25,3,layer,fc1,fc1,1.0532139942242364,0.9440168151995544,0.046079174064546,1
mnist,dp_kfm,public,0.25,3,layer,fc2,fc2,2.575171140699033,0.0360606629661245,0.2058775700067009,1
mnist,dp_kfm,public,0.25,4,group,conv1,conv1,1.2378538950477087,0.0010421503329526,0.1107466235583433,1
mnist,dp_kfm,public,0.25,4,group,conv2,conv2,1.0005982517275285,0.0196890469642902,0.1506639031415097,1
mnist,dp_kfm,public,0.25,4,group,fc1,fc1,1.0538743710901248,0.9448568308732792,0.0349706784394762,1
mnist,dp_kfm,public,0.25,4,group,fc2,fc2,2.506226062222911,0.034411971829475,0.1602850161145164,1
mnist,dp_kfm,public,0.25,4,layer,conv1,conv1,1.2378538950477087,0.0010421503329526,0.1107466235583433,1
mnist,dp_kfm,public,0.25,4,layer,conv2,conv2,1.0005982517275285,0.0196890469642902,0.1506639031415097,1
mnist,dp_kfm,public,0.25,4,layer,fc1,fc1,1.0538743710901248,0.9448568308732792,0.0349706784394762,1
mnist,dp_kfm,public,0.25,4,layer,fc2,fc2,2.506226062222911,0.034411971829475,0.1602850161145164,1
mnist,dp_kfm,public,0.25,5,group,conv1,conv1,1.2586245957152038,0.0010779303255024,0.1157084962995471,1
mnist,dp_kfm,public,0.25,5,group,conv2,conv2,1.0366596345761256,0.0211260275150619,0.1298604341186245,1
mnist,dp_kfm,public,0.25,5,group,fc1,fc1,1.0526264276872634,0.9428211671227034,0.027983111710547,1
mnist,dp_kfm,public,0.25,5,group,fc2,fc2,2.5308867964273114,0.0349748750367293,0.1267725216847717,1
mnist,dp_kfm,public,0.25,5,layer,conv1,conv1,1.2586245957152038,0.0010779303255024,0.1157084962995471,1
mnist,dp_kfm,public,0.25,5,layer,conv2,conv2,1.0366596345761256,0.0211260275150619,0.1298604341186245,1
mnist,dp_kfm,public,0.25,5,layer,fc1,fc1,1.0526264276872634,0.9428211671227034,0.027983111710547,1
mnist,dp_kfm,public,0.25,5,layer,fc2,fc2,2.5308867964273114,0.0349748750367293,0.1267725216847717,1
mnist,dp_kfm,public,0.5,1,group,conv1,conv1,3.1256407237628547,0.0066004196543149,0.0654504786216024,1
mnist,dp_kfm,public,0.5,1,group,conv2,conv2,1.6159170682669457,0.0513379884726846,0.0667028855932864,1
mnist,dp_kfm,public,0.5,1,group,fc1,fc1,1.0323045811007423,0.9057032971135454,0.0804781021423957,1
mnist,dp_kfm,public,0.5,1,group,fc2,fc2,2.5789855797062256,0.0363582947594574,0.3747538241189883,1
mnist,dp_kfm,public,0.5,1,layer,conv1,conv1,3.1256407237628547,0.0066004196543149,0.0654504786216023,1
mnist,dp_kfm,public,0.5,1,layer,conv2,conv2,1.6159170682669457,0.0513379884726846,0.0667028855932864,1
mnist,dp_kfm,public,0.5,1,layer,fc1,fc1,1.0323045811007423,0.9057032971135454,0.0804781021423957,1
mnist,dp_kfm,public,0.5,1,layer,fc2,fc2,2.5789855797062256,0.0363582947594574,0.3747538241189883,1
mnist,dp_kfm,public,0.5,2,group,conv1,conv1,0.9847448918772836,0.0006656321197784,0.3155279777933694,1
mnist,dp_kfm,public,0.5,2,group,conv2,conv2,0.6845555658915241,0.0092563750684624,0.2229003644126431,1
mnist,dp_kfm,public,0.5,2,group,fc1,fc1,0.9857469174371188,0.8324906033031731,0.0656537091955841,1
