task,method,source,beta,seed,epoch,train_loss,test_loss,test_accuracy,best_accuracy,accuracy_auc,epsilon,noise_multiplier,accountant_steps,logical_steps,samples,realized_batch_size_sum,realized_batch_size_mean,realized_batch_size_min,realized_batch_size_max,sample_rate,expected_batch_size,optimizer_steps,noise_events,logical_batch_size,physical_batch_size,clip_fraction,mean_clip_factor,matched_norm_p50,matched_norm_p90,matched_norm_p99,matched_norm_max,raw_norm_p50,raw_norm_p90,raw_norm_p99,geometry_build_seconds,oracle_seconds,private_train_seconds,wall_time_seconds,run_wall_time_seconds,peak_cuda_allocated_bytes,bk_cache_bytes,temporary_per_sample_bytes,operator_state_bytes,factor_state_bytes,trace_S,d_total,tau,research_only,clip_cos,clip_rel_error,signal_cos,signal_rel_error,update_cos,update_rel_error,total_noise_rms,run_name,physical_gpu
mnist,dp_kfm,pink,1.0,42,4,2.814628500338819,1.552391860961914,0.4707,0.5431,0.9271,0.9432980775071595,1.068115234375,936,234,59605,59605,254.72222222222223,214,289,0.0042666666666666,256,936,936,256,256,0.9938092231750488,0.0212865769863128,126.1886215209961,275.55975341796875,537.1962280273438,1610.8377685546875,19.50994300842285,48.55864715576172,143.119384765625,0.0610953839495778,0.5018593473359942,17.72389912046492,19.90413753129542,81.82014137227088,187134976,60787776,51380224,20138336,10069164,206922.0,206922,109.9263853343014,True,0.9021353064219328,0.9937623229491572,0.9021353064219328,0.9937623229491572,0.0264687153751293,1.1341286782678242,1.0175625076025148,mnist_dp_kfm_pink_beta1_seed42,1
mnist,dp_kfm,pink,1.0,42,5,2.972005085198104,3.787529613494873,0.2444,0.5431,1.28465,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.995543897151947,0.0220518708229064,113.46208190917967,377.4405212402344,1152.29248046875,3163.6171875,13.015645027160645,49.1782455444336,158.1161346435547,0.062120727263391,0.5004323031753302,17.777280792593956,19.912977693602443,101.79181104898451,187082752,60819136,51380224,20138336,10069164,206922.0,206922,668.0090801740415,True,0.8271562324024949,0.9943035305155016,0.8271562324024949,0.9943035305155016,0.020474165733171,1.0769082827444167,1.0636222446588957,mnist_dp_kfm_pink_beta1_seed42,1
mnist,dp_kfm,public,0.25,42,1,0.7632843965795214,0.5045700270175933,0.8899,0.8899,0.0,0.7861127240333559,1.068115234375,234,234,59766,59766,255.4102564102564,211,294,0.0042666666666666,256,234,234,256,256,0.4758391082286834,0.607292652130127,0.6718027591705322,50.90805816650391,114.72091674804688,190.8779296875,1.1854749917984009,91.21720886230467,192.2359313964844,0.9389748377725482,0.6081627355888486,20.26908382307738,23.693955259397622,23.74481770023704,186213888,60803456,51380224,20138336,10069164,206922.0,206922,21.41654605076504,True,0.875186101241927,0.9632169523928068,0.875186101241927,0.9632169523928068,0.0894751097208248,1.087612038533874,1.0681207701835749,mnist_dp_kfm_public_beta0.25_seed42,2
mnist,dp_kfm,public,0.25,42,2,0.6013905660486714,0.4853687916480004,0.9076,0.9076,0.8987499999999999,0.8385078418579571,1.068115234375,468,234,59605,59605,254.72222222222223,211,300,0.0042666666666666,256,468,468,256,256,0.2562033534049988,0.7858818769454956,0.0105658574029803,36.47308349609375,86.3014907836914,137.44570922851562,0.0270398389548063,101.62609100341795,210.26046752929688,0.5211731791496277,0.530589104630053,19.444501603022218,22.174077500589192,45.98845458216965,187082752,60822272,51380224,20138336,10069164,206922.0,206922,9.883435023680352,True,0.869055610501013,0.9728914113655311,0.869055610501013,0.9728914113655311,0.0847055152090425,1.0556147720352342,1.067800458810186,mnist_dp_kfm_public_beta0.25_seed42,2
mnist,dp_kfm,public,0.25,42,3,0.4756141754232467,0.3998469797983766,0.9273,0.9273,1.8162,0.8909029596825585,1.068115234375,702,234,59863,59863,255.82478632478632,215,304,0.0042666666666666,256,702,702,256,256,0.1850558817386627,0.8440929055213928,0.000794080842752,22.236019134521484,92.1537094116211,141.75662231445312,0.0019794681575149,56.45495223999024,227.75286865234372,0.540348568931222,0.5301527744159102,18.993052241392437,21.707324256189167,67.75964481942356,187113984,60834816,51380224,20138336,10069164,206922.0,206922,8.778124254352846,True,0.8251252900383218,0.9788406719029538,0.8251252900383218,0.9788406719029538,0.056081918034133,1.0921730213812042,1.0680373524651443,mnist_dp_kfm_public_beta0.25_seed42,2
mnist,dp_kfm,public,0.25,42,4,0.429067186832868,0.4212120958685875,0.9333,0.9333,2.7465,0.9432980775071595,1.068115234375,936,234,59605,59605,254.72222222222223,214,289,0.0042666666666666,256,936,936,256,256,0.1553057581186294,0.8688551783561707,0.0001939015492098,11.856781005859377,93.53659057617188,132.20953369140625,0.0004737053241115,29.601831436157227,236.8206787109375,0.5132550867274404,0.5241159424185753,18.887610535137355,21.272740217857063,89.08285830542445,187134976,60787776,51380224,20138336,10069164,206922.0,206922,8.288072287120643,True,0.8148475539775498,0.980800970157907,0.8148475539775498,0.980800970157907,0.0421081460193049,1.1060954406555836,1.0680792045514111,mnist_dp_kfm_public_beta0.25_seed42,2
mnist,dp_kfm,public,0.25,42,5,0.4555362405079585,0.4492899394750595,0.9348,0.9348,3.68055,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.1429284065961837,0.8779668807983398,6.712002505082637e-05,8.299643516540527,103.36558532714844,147.7041015625,0.0001588681043358,19.76195907592773,252.5678558349609,0.4467927413061261,0.5059502758085728,19.6156853325665,22.25681712944061,111.39853073563428,187082752,60819136,51380224,20138336,10069164,206922.0,206922,7.900721973167707,True,0.7956499758550244,0.984294231759588,0.7956499758550244,0.984294231759588,0.0332207499557373,1.1148230174285003,1.0680372778451257,mnist_dp_kfm_public_beta0.25_seed42,2
mnist,dp_kfm,public,0.5,42,1,1.101832737274982,0.6030186973571777,0.8555,0.8555,0.0,0.7861127240333559,1.068115234375,234,234,59766,59766,255.4102564102564,211,294,0.0042666666666666,256,234,234,256,256,0.6122377514839172,0.4728069007396698,4.052027702331543,101.5314483642578,220.40383911132807,363.8611755371094,6.138297080993652,124.9959716796875,245.44015502929688,0.8257651748135686,0.5192060023546219,19.448702360503376,22.66860327217728,22.719488659873605,186213888,60803456,51380224,20138336,10069164,206922.0,206922,332.88328768201626,True,0.9152540937722002,0.970709492121976,0.9152540937722002,0.970709492121976,0.0983911203628771,1.0521017996968618,1.0686789949374262,mnist_dp_kfm_public_beta0.5_seed42,3
mnist,dp_kfm,public,0.5,42,2,1.3540444900721331,0.9753819622039795,0.8212,0.8555,0.83835,0.8385078418579571,1.068115234375,468,234,59605,59605,254.72222222222223,211,300,0.0042666666666666,256,468,468,256,256,0.568576455116272,0.5014176368713379,2.8269152641296387,143.6510467529297,307.7557067871094,554.2548828125,2.5460023880004883,128.43421936035156,241.08546447753903,0.503335190936923,0.5193022657185793,18.887385055422783,21.61167417187244,44.39769966341555,187082752,60822272,51380224,20138336,10069164,206922.0,206922,31.595108844725928,True,0.8920840697598371,0.9876330014593024,0.8920840697598371,0.9876330014593024,0.0689252897815782,1.0144943221245069,1.0632710766275482,mnist_dp_kfm_public_beta0.5_seed42,3
mnist,dp_kfm,public,0.5,42,3,1.1590817904250512,0.7665349667072296,0.8664,0.8664,1.68215,0.8909029596825585,1.068115234375,702,234,59863,59863,255.82478632478632,215,304,0.0042666666666666,256,702,702,256,256,0.4108213782310486,0.6478598713874817,0.2273910492658615,107.23951721191406,261.8699645996094,445.0877075195313,0.2205108851194381,110.60614013671876,226.07476806640625,0.5147182578220963,0.5279073845595121,18.718841515481472,21.49531420599669,65.95639584679157,187113984,60834816,51380224,20138336,10069164,206922.0,206922,30.55524125390736,True,0.8058051482286638,0.987797329477417,0.8058051482286638,0.987797329477417,0.049264523031278,1.0518444410241825,1.065744469299807,mnist_dp_kfm_public_beta0.5_seed42,3
mnist,dp_kfm,public,0.5,42,4,0.7895948885711345,0.6929849802017212,0.8956,0.8956,2.5631500000000003,0.9432980775071595,1.068115234375,936,234,59605,59605,254.72222222222223,214,289,0.0042666666666666,256,936,936,256,256,0.2966697514057159,0.7507762312889099,0.0353089049458503,51.53145599365234,146.46466064453125,294.1581420898437,0.0477351993322372,84.71160888671875,195.2718505859375,0.5180020118132234,0.5309962527826428,18.618141889572144,21.33551689144224,87.35316059552133,187134976,60787776,51380224,20138336,10069164,206922.0,206922,32.362881488739056,True,0.7724740105548735,0.9836055379765568,0.7724740105548735,0.9836055379765568,0.0477802309878474,1.0975406460323929,1.0688220784113656,mnist_dp_kfm_public_beta0.5_seed42,3
mnist,dp_kfm,public,0.5,42,5,0.7318063247374686,0.6536834334373474,0.8996,0.8996,3.46075,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.2582720816135406,0.7805285453796387,0.0080737555399537,51.91693878173828,113.44275665283205,178.50978088378906,0.013892387971282,93.70034790039062,203.8990173339844,0.5105025433003902,0.5272006709128618,18.59908286947757,21.3325169114396,108.74609314929694,187082752,60819136,51380224,20138336,10069164,206922.0,206922,30.503896863300675,True,0.8214009071598657,0.9822113327259092,0.8214009071598657,0.9822113327259092,0.0529599494397619,1.075831191634354,1.0666182231385033,mnist_dp_kfm_public_beta0.5_seed42,3
mnist,dp_kfm,public,0.75,42,1,1.512788069015629,0.8281922896385193,0.7638,0.7638,0.0,0.7861127240333559,1.068115234375,234,234,59766,59766,255.4102564102564,211,294,0.0042666666666666,256,234,234,256,256,0.8843656778335571,0.1724448651075363,41.32329559326172,260.83349609375,499.6230773925781,886.8619384765625,25.7763614654541,124.82101440429688,238.3164520263672,0.7101120166480541,0.4288694309070706,15.9086890835315,18.466694608330727,18.503906465135515,186213888,60803456,51380224,20138336,10069164,206922.0,206922,2225.2218987667525,True,0.8836105132395387,0.9838402924213456,0.8836105132395387,0.9838402924213456,0.0505926955751633,1.0772510323217217,1.070553440916728,mnist_dp_kfm_public_beta0.75_seed42,1
mnist,dp_kfm,public,0.75,42,2,3.899055034367693,2.0681077951431277,0.3027,0.7638,0.53325,0.8385078418579571,1.068115234375,468,234,59605,59605,254.72222222222223,211,300,0.0042666666666666,256,468,468,256,256,0.98948073387146,0.0173215810209512,272.6383361816406,507.4433288574219,930.6807861328124,1988.944091796875,15.860639572143556,51.819091796875,210.06983947753903,0.4157163426280021,0.4306969167664647,15.33734445553273,17.449524506926537,35.999224931932986,187082752,60822272,51380224,20138336,10069164,206922.0,206922,16.342050833289782,True,0.8992717332639768,0.997299099369933,0.8992717332639768,0.997299099369933,0.0237165679874277,1.156983314232233,1.0622202175231088,mnist_dp_kfm_public_beta0.75_seed42,1
mnist,dp_kfm,public,0.75,42,3,1.6229723268316498,1.267482900238037,0.7175,0.7638,1.04335,0.8909029596825585,1.068115234375,702,234,59863,59863,255.82478632478632,215,304,0.0042666666666666,256,702,702,256,256,0.843876838684082,0.2273204922676086,19.08824920654297,143.69747924804688,369.1365661621094,741.0338134765625,10.31026840209961,66.81361389160156,154.15402221679688,0.4183281911537051,0.4284107713028788,15.691270883195102,18.21779830660671,54.27485505491495,187113984,60834816,51380224,20138336,10069164,206922.0,206922,249.2217829246701,True,0.7678591480093241,0.9841032050080892,0.7678591480093241,0.9841032050080892,0.0403688100043123,1.1273594806389815,1.05478535835904,mnist_dp_kfm_public_beta0.75_seed42,1
mnist,dp_kfm,public,0.75,42,4,2.377417551800165,1.9608315532684328,0.4106,0.7638,1.6074000000000002,0.9432980775071595,1.068115234375,936,234,59605,59605,254.72222222222223,214,289,0.0042666666666666,256,936,936,256,256,0.8927438855171204,0.1726966947317123,33.3980827331543,95.64266967773438,206.2870330810547,757.9891357421875,16.281723022460938,55.37649154663086,139.34861755371094,0.516832398250699,0.532734083943069,19.03731240518391,21.812371369451284,76.14820483513176,187134976,60787776,51380224,20138336,10069164,206922.0,206922,36.78795980160216,True,0.6648742703027474,0.9904968593207476,0.6648742703027474,0.9904968593207476,0.051208817390334,1.0368755071645668,1.0607996059087708,mnist_dp_kfm_public_beta0.75_seed42,1
