task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
vit,dp_kfm_a,public,0.5,42,1,patch_embed,True,0.9991607662922732,0.1392733434042978,patch_head,147648.0,11094.726283661137,147648,1.0,5526346,13.307944353475099,79679648,421.797404172701,0.5550316071754596,22365.54385075011,177913.0501668289,0.0010017209385508122,178.21922759355357
vit,dp_kfm_a,public,0.5,42,1,blocks.0.attn.q_proj,True,0.9886516326513766,0.1600272341249859,attention_qkv,37056.0,8570.634867548713,37056,1.0,5526346,4.323600360144427,79679648,79.32164426808562,1.2701134714648985,11780.476195068,6291.923249392721,0.001000003570205801,6.291945712853605
vit,dp_kfm_a,public,0.5,42,1,blocks.0.attn.k_proj,True,0.9886516326513766,0.1600272341249859,attention_qkv,37056.0,8570.634867548713,37056,1.0,5526346,4.323600360144427,79679648,79.32164426808562,1.2701134714648985,11780.476195068,6291.923249392721,0.001000003570205801,6.291945712853605
vit,dp_kfm_a,public,0.5,42,1,blocks.0.attn.v_proj,True,0.9886516326513766,0.1600272341249859,attention_qkv,37056.0,8570.634867548713,37056,1.0,5526346,4.323600360144427,79679648,79.32164426808562,1.2701134714648985,11780.476195068,6291.923249392721,0.001000003570205801,6.291945712853605
vit,dp_kfm_a,public,0.5,42,1,blocks.0.attn.out_proj,True,0.9708667368223768,0.2969648171181025,attention_out,37056.0,4217.125443018674,37056,1.0,5526346,8.787028154769526,79679648,43.54535247839915,0.9469645846190343,15832.11419560899,1896.1977224680234,0.001000444362159864,1.8970403209835085
vit,dp_kfm_a,public,0.5,42,1,blocks.0.mlp.fc1,True,0.9885138744145511,0.1739466697747348,mlp_fc1,148224.0,63396.33827100483,148224,1.0,5526346,2.338053017610833,79679648,148.99368097387992,1.352374422376388,59430.152297151486,22199.116970146304,0.001,22.199116970146303
vit,dp_kfm_a,public,0.5,42,1,blocks.0.mlp.fc2,True,0.9933974372301647,0.11796328977876887,mlp_fc2,147648.0,23570.69962043064,147648,1.0,5526346,6.264048262361355,79679648,117.33501223099489,0.9143573964336071,74651.69049475876,13767.505095247721,0.0010173516493354345,14.006394015884267
vit,dp_kfm_a,public,0.5,42,1,blocks.1.attn.q_proj,True,0.9939433473116853,0.11079292202091777,attention_qkv,37056.0,13906.034866034624,37056,1.0,5526346,2.6647423479793635,79679648,86.6171547800578,1.157044637261208,18368.95736304719,7502.53150219249,0.001,7.50253150219249
vit,dp_kfm_a,public,0.5,42,1,blocks.1.attn.k_proj,True,0.9939433473116853,0.11079292202091777,attention_qkv,37056.0,13906.034866034624,37056,1.0,5526346,2.6647423479793635,79679648,86.6171547800578,1.157044637261208,18368.95736304719,7502.53150219249,0.001,7.50253150219249
vit,dp_kfm_a,public,0.5,42,1,blocks.1.attn.v_proj,True,0.9939433473116853,0.11079292202091777,attention_qkv,37056.0,13906.034866034624,37056,1.0,5526346,2.6647423479793635,79679648,86.6171547800578,1.157044637261208,18368.95736304719,7502.53150219249,0.001,7.50253150219249
vit,dp_kfm_a,public,0.5,42,1,blocks.1.attn.out_proj,True,0.9916812507354869,0.13058808127810823,attention_out,37056.0,7179.477551410833,37056,1.0,5526346,5.161378350255884,79679648,94.41413317782639,0.9095655693784334,20477.518851133646,8914.028543720337,0.0010877882950070614,9.696575911217824
vit,dp_kfm_a,public,0.5,42,1,blocks.1.mlp.fc1,True,0.9913147799038119,0.13173138207045604,mlp_fc1,148224.0,85784.81200632482,148224,1.0,5526346,1.7278583065388264,79679648,132.84397069968082,0.9548746233844645,97096.30627485439,17647.520551257654,0.001,17.647520551257653
