task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max,run_name,normalization,tau
vit,dp_kfm_a,pink,0.25,42,1,patch_embed,True,0.621153982490905,0.8487813064691657,,,patch_head,147648.0,78714.28996947003,147648.0,1.0,5526346,1.875745815115228,79679648,6.215087792396735,0.2619819619624249,140486.90734637048,1492.0695620062106,0.0176530245914811,26.33954067029613,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.attn.q_proj,True,0.3396325371922061,1.7188422276091564,,,attention_qkv,37056.0,25247.0294104657,37056.0,1.0,5526346,1.4677370314560296,79679648,10.266287539402134,0.6735000666323455,31616.961249097865,11108.45590578354,0.001,11.108455905783542,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.attn.k_proj,True,0.3396325371922061,1.7188422276091564,,,attention_qkv,37056.0,25247.0294104657,37056.0,1.0,5526346,1.4677370314560296,79679648,10.266287539402134,0.6735000666323455,31616.961249097865,11108.45590578354,0.001,11.108455905783542,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.attn.v_proj,True,0.3396325371922061,1.7188422276091564,,,attention_qkv,37056.0,25247.0294104657,37056.0,1.0,5526346,1.4677370314560296,79679648,10.266287539402134,0.6735000666323455,31616.961249097865,11108.45590578354,0.001,11.108455905783542,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.attn.out_proj,True,0.108369427288025,4.822867426418404,,,attention_out,37056.0,16997.367095842612,37056.0,1.0,5526346,2.180102352973452,79679648,9.550836442638744,0.5842859016505858,30963.368705018045,8320.81050132666,0.0010019765805638,8.337257253638837,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.mlp.fc1,True,0.3641099132362489,1.9164945556238355,,,mlp_fc1,148224.0,136490.3575121162,148224.0,1.0,5526346,1.0859668236039473,79679648,14.264250194178947,0.7398705019991253,125360.46251974996,41399.56624741298,0.0010000000312211,41.39956753995529,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.0.mlp.fc2,True,0.1190921571486446,7.593671423422714,,,mlp_fc2,147648.0,92164.59437070432,147648.0,1.0,5526346,1.602003470075834,79679648,18.45442490670436,0.5047280633796168,130309.69932376494,115985.06320138722,0.0010590676151114,122.83602427324595,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.attn.q_proj,True,0.3652250639323322,2.1311724236103684,,,attention_qkv,37056.0,23537.277463202376,37056.0,1.0,5526346,1.5743537058579726,79679648,13.653342189965512,0.4875562616752226,32843.30866751639,34750.087291249554,0.001,34.75008729124956,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.attn.k_proj,True,0.3652250639323322,2.1311724236103684,,,attention_qkv,37056.0,23537.277463202376,37056.0,1.0,5526346,1.5743537058579726,79679648,13.653342189965512,0.4875562616752226,32843.30866751639,34750.087291249554,0.001,34.75008729124956,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
vit,dp_kfm_a,pink,0.25,42,1,blocks.1.attn.v_proj,True,0.3652250639323322,2.1311724236103684,,,attention_qkv,37056.0,23537.277463202376,37056.0,1.0,5526346,1.5743537058579726,79679648,13.653342189965512,0.4875562616752226,32843.30866751639,34750.087291249554,0.001,34.75008729124956,,,,vit_dp_kfm_a_pink_beta0.25_seed42,layer,
