task,method,source,beta,dp_sgd_accuracy,expm1_global_accuracy,expm1b_layer_accuracy,delta_layer_minus_global,delta_layer_minus_sgd,clip_fraction_global,clip_fraction_layer,mean_clip_factor_global,mean_clip_factor_layer,matched_raw_p90_ratio_global,matched_raw_p90_ratio_layer
vit,dp_kfm,pink,0.25,0.9259,0.9187,0.9254,0.006700000000000039,-0.0004999999999999449,0.3124924898147583,0.2852040529251098,0.7380481362342834,0.7606351375579834,1.082530823407334,0.9754249724408619
mnist,dp_kfm,pink,0.25,0.9248,0.9346,0.9253,-0.009299999999999975,0.000500000000000056,0.1443583518266677,0.1938911229372024,0.8769814372062683,0.8328922390937805,0.47714676579760185,0.5889161631251068
vit,dp_kfm,public,0.25,0.9259,0.9162,0.9261,0.00990000000000002,0.000200000000000089,0.2934307157993316,0.2527589499950409,0.7537994980812073,0.788498044013977,0.7530772878747503,0.7011992753464534
mnist,dp_kfm,public,0.25,0.9248,0.9348,0.9214,-0.013399999999999967,-0.0033999999999999586,0.1429284065961837,0.1924611777067184,0.8779668807983398,0.835502028465271,0.41998080679412086,0.5252654472813255
vit,dp_kfm,pink,0.5,0.9259,0.8991,0.9124,0.013299999999999979,-0.013499999999999956,0.3951001167297363,0.3328383862972259,0.6641002893447876,0.7193529605865479,1.8931810009575418,1.1758819202527548
mnist,dp_kfm,pink,0.5,0.9248,0.9132,0.9079,-0.005299999999999971,-0.016899999999999915,0.1918792128562927,0.2684812545776367,0.836997389793396,0.7716661691665649,0.5085704153089392,0.6142883641086729
vit,dp_kfm,public,0.5,0.9259,0.8738,0.8897,0.015900000000000025,-0.0361999999999999,0.4137004017829895,0.3438741564750671,0.643673300743103,0.705474317073822,0.8507788578217398,0.6117749207830275
mnist,dp_kfm,public,0.5,0.9248,0.8996,0.8662,-0.033399999999999985,-0.058599999999999985,0.2582720816135406,0.355525255203247,0.7805285453796387,0.6958492398262024,0.5540741304069571,0.6383747994789392
vit,dp_kfm_a,pink,0.25,0.9259,0.9243,0.9254,0.0010999999999999899,-0.0004999999999999449,0.2899394035339355,0.2861270606517792,0.7561368942260742,0.7601441144943237,1.0651198539927889,0.9796302669808664
mnist,dp_kfm_a,pink,0.25,0.9248,0.9298,0.9207,-0.009099999999999997,-0.0040999999999999925,0.1631472110748291,0.204017162322998,0.8609926104545593,0.8236466646194458,0.5068585177408161,0.6229330751869174
vit,dp_kfm_a,public,0.25,0.9259,0.9209,0.9266,0.005699999999999927,0.0007000000000000339,0.2818531990051269,0.2545246481895447,0.7637619376182556,0.7867030501365662,0.7897913373814538,0.7299638190768479
mnist,dp_kfm_a,public,0.25,0.9248,0.931,0.9221,-0.008900000000000019,-0.0026999999999999247,0.1548003107309341,0.2020218819379806,0.8683003783226013,0.82598477602005,0.44733250612720504,0.5571799597411983
vit,dp_kfm_a,pink,0.5,0.9259,0.909,0.9117,0.0026999999999999247,-0.01419999999999999,0.3543681502342224,0.3342028260231018,0.6997836232185364,0.7185835838317871,1.597995438874065,1.1940860487018157
mnist,dp_kfm_a,pink,0.5,0.9248,0.9187,0.8887,-0.029999999999999916,-0.03609999999999991,0.2070599645376205,0.312061458826065,0.8243230581283569,0.7285772562026978,0.5396418419695189,0.7372317148120754
vit,dp_kfm_a,public,0.5,0.9259,0.8852,0.891,0.005800000000000027,-0.03489999999999993,0.3904249668121338,0.347124695777893,0.6650093197822571,0.7029595375061035,0.842186341486654,0.650791648474961
mnist,dp_kfm_a,public,0.5,0.9248,0.8931,0.8531,-0.040000000000000036,-0.07169999999999999,0.2479465305805206,0.4223338067531585,0.7867740988731384,0.6299681663513184,0.563141653705097,1.1280228484030308
