task,method,source,beta,seed,epoch,train_loss,test_loss,test_accuracy,best_accuracy,accuracy_auc,epsilon,noise_multiplier,accountant_steps,logical_steps,samples,realized_batch_size_sum,realized_batch_size_mean,realized_batch_size_min,realized_batch_size_max,sample_rate,expected_batch_size,optimizer_steps,noise_events,logical_batch_size,physical_batch_size,clip_fraction,mean_clip_factor,matched_norm_p50,matched_norm_p90,matched_norm_p99,matched_norm_max,raw_norm_p50,raw_norm_p90,raw_norm_p99,geometry_build_seconds,oracle_seconds,private_train_seconds,wall_time_seconds,run_wall_time_seconds,peak_cuda_allocated_bytes,bk_cache_bytes,temporary_per_sample_bytes,operator_state_bytes,factor_state_bytes,trace_S,d_total,normalization,research_only,clip_cos,clip_rel_error,signal_cos,signal_rel_error,update_cos,update_rel_error,total_noise_rms,run_name,tau
vit,dp_kfm,pink,0.25,42,1,1.5574604782703485,0.652977323627472,0.7985,0.7985,0.0,2.3316823563394795,0.72021484375,195,195,49649,49649,254.6102564102564,209,301,0.00512,256,195,195,256,128,0.9577030539512634,0.0899595469236373,109.26836395263672,211.98263549804688,303.6882019042969,662.5945434570312,108.63738250732422,211.3287353515625,305.2888488769531,4.000751473940909,6.223486484028399,309.0929672187194,334.4299389328808,334.47319850791246,5831800832,4899282432,19562496,154293184,77146296,5526346.0,5526346,layer,True,0.7726009986006707,0.993860060471883,0.7726009986006707,0.993860060471883,0.0111461379515874,1.1647359891318192,0.7202138284615178,vit_dp_kfm_pink_beta0.25_seed42,
vit,dp_kfm,pink,0.25,42,2,0.4748159967231534,0.41790244307518,0.8821,0.8821,0.8403,2.5430233194134213,0.72021484375,390,195,49464,49464,253.66153846153847,217,292,0.00512,256,390,390,256,128,0.597929835319519,0.4944642782211303,2.8237099647521973,247.12066650390625,439.2787780761719,925.4214477539062,2.841569423675537,250.6629943847656,446.27935791015625,4.037173709832132,5.974991640076041,319.39397876150906,344.10852876864374,678.643201190047,5827220480,4899282432,19562496,154293184,77146296,5526346.0,5526346,layer,True,0.5453934578736703,0.9962015798773808,0.5453934578736703,0.9962015798773808,0.0048655998948894,1.2754357756938202,0.7202045557699284,vit_dp_kfm_pink_beta0.25_seed42,
vit,dp_kfm,pink,0.25,42,3,0.3631797379810028,0.3562586972951889,0.9047,0.9047,1.7337,2.710864462544613,0.72021484375,585,195,50006,50006,256.44102564102565,220,308,0.00512,256,585,585,256,128,0.406491219997406,0.6595691442489624,0.3319889307022095,232.6346740722656,537.6583251953125,1497.7100830078125,0.3362815976142883,236.77786254882807,547.2726440429688,4.106782368384302,5.976656930521131,327.83793688658625,352.80283245723695,1031.5045249685645,5836544512,4899282432,19562496,154293184,77146296,5526346.0,5526346,layer,True,0.5400463847593027,0.9971781262143196,0.5400463847593027,0.9971781262143196,0.0037859972644919,1.2633043946854112,0.720211246320442,vit_dp_kfm_pink_beta0.25_seed42,
vit,dp_kfm,pink,0.25,42,4,0.3231762328313055,0.328714440703392,0.9147,0.9147,2.6434,2.859977904455548,0.72021484375,780,195,49772,49772,255.24102564102563,203,293,0.00512,256,780,780,256,128,0.3356304764747619,0.7189558744430542,0.1041280776262283,184.07725524902344,602.3736572265625,1293.3568115234375,0.1055340021848678,188.7427520751953,617.2455444335938,4.113123944029212,5.881432102061808,324.57030756399035,349.7578937364742,1381.3236171202734,5827266048,4899282432,19562496,154293184,77146296,5526346.0,5526346,layer,True,0.5495276421899977,0.9975284704245267,0.5495276421899977,0.9975284704245267,0.0034192982538383,1.2497786736679148,0.7202079333819659,vit_dp_kfm_pink_beta0.25_seed42,
vit,dp_kfm,pink,0.25,42,5,0.2962914173740546,0.307506867480278,0.9254,0.9254,3.56345,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.2852040529251098,0.7606351375579834,0.0465495288372039,131.42550659179688,648.813720703125,1338.1434326171875,0.0475556701421737,134.73666381835938,667.18017578125,4.094865811057389,5.964477512054145,325.96260497160256,351.0841399906203,1732.4715010151267,5829929984,4899282432,19562496,154293184,77146296,5526346.0,5526346,layer,True,0.5570510151232544,0.9977728891197752,0.5570510151232544,0.9977728891197752,0.0031691998135608,1.2348732665227096,0.7202352702177327,vit_dp_kfm_pink_beta0.25_seed42,
vit,dp_kfm,pink,0.25,42,1,1.6065052670725053,0.7096282846450805,0.781,0.781,0.0,2.3316823563394795,0.72021484375,195,195,49649,49649,254.6102564102564,209,301,0.00512,256,195,195,256,128,0.9662631750106812,0.07807207852602,120.90399932861328,230.766357421875,331.29852294921875,709.4131469726562,112.30044555664062,212.37518310546875,303.6669006347656,3.962946643121541,5.915639186277986,294.3448818922043,319.9608092363924,320.00508473813534,5773501440,4899282432,19562496,154292600,77146296,5526346.0,5526346,global,True,0.7751672778079753,0.994348439878276,0.7751672778079753,0.994348439878276,0.0104772178339797,1.1573657349250783,0.720220580543599,vit_dp_kfm_pink_beta0.25_seed42,8.619422901227574
vit,dp_kfm,pink,0.25,42,2,0.5177661180689017,0.4556039257526397,0.872,0.872,0.8265,2.5430233194134213,0.72021484375,390,195,49464,49464,253.66153846153847,217,292,0.00512,256,390,390,256,128,0.6330057978630066,0.4594231843948364,4.152868747711182,278.89434814453125,481.5958251953125,1071.491455078125,3.8091015815734863,256.8007507324219,443.6742248535156,3.817050081677735,5.819571155123413,292.58846451248974,316.8513902416453,636.9157730937004,5782349312,4899282432,19562496,154292600,77146296,5526346.0,5526346,global,True,0.5420514237601042,0.996553530121247,0.5420514237601042,0.996553530121247,0.0045746041529693,1.2581308849136497,0.720193558402427,vit_dp_kfm_pink_beta0.25_seed42,8.576479216575027
vit,dp_kfm,pink,0.25,42,3,0.397069936293924,0.3884666677951813,0.897,0.897,1.711,2.710864462544613,0.72021484375,585,195,50006,50006,256.44102564102565,220,308,0.00512,256,585,585,256,128,0.4416469931602478,0.6297146081924438,0.5004122257232666,279.7410888671875,594.4049682617188,1565.990234375,0.4617055654525757,258.27862548828125,547.6067504882812,3.823455147445202,5.841412057168782,299.4769179178402,324.4045616518706,961.3772849589586,5785390080,4899282432,19562496,154292600,77146296,5526346.0,5526346,global,True,0.5342887450525744,0.9974356833653104,0.5342887450525744,0.9974356833653104,0.0035546407035544,1.2479586268356788,0.7202034443087327,vit_dp_kfm_pink_beta0.25_seed42,8.574772918031401
vit,dp_kfm,pink,0.25,42,4,0.3543854607442064,0.3588212682247161,0.9061,0.9061,2.61255,2.859977904455548,0.72021484375,780,195,49772,49772,255.24102564102563,203,293,0.00512,256,780,780,256,128,0.3642208576202392,0.6929279565811157,0.1554890424013137,244.9264373779297,667.0171508789062,1362.4102783203125,0.1430753767490387,227.27740478515625,614.1561279296875,3.825369227677584,5.885808143764734,295.2379493098706,319.5744634177536,1281.0117387054488,5780677632,4899282432,19562496,154292600,77146296,5526345.999999999,5526346,global,True,0.5490319144999342,0.9977393449760592,0.5490319144999342,0.9977393449760592,0.0032496304407774,1.2353801962250708,0.7201976220258935,vit_dp_kfm_pink_beta0.25_seed42,8.53239308329161
vit,dp_kfm,pink,0.25,42,5,0.3243063977941607,0.3360055635929108,0.9187,0.9187,3.52495,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.3124924898147583,0.7380481362342834,0.0702690109610557,193.95245361328125,718.6544189453125,1439.4720458984375,0.0650681406259536,179.16575622558594,664.56787109375,3.814552246592939,6.050950140692294,297.5494968891144,323.4950180994347,1604.569473106414,5788318208,4899282432,19562496,154292600,77146296,5526346.0,5526346,global,True,0.5535424627344561,0.9979595801310408,0.5535424627344561,0.9979595801310408,0.002954413211031,1.2236764749233016,0.7202419723242233,vit_dp_kfm_pink_beta0.25_seed42,8.510263692020734
