task,method,source,beta,seed,epoch,train_loss,test_loss,test_accuracy,best_accuracy,accuracy_auc,epsilon,noise_multiplier,accountant_steps,logical_steps,samples,realized_batch_size_sum,realized_batch_size_mean,realized_batch_size_min,realized_batch_size_max,sample_rate,expected_batch_size,optimizer_steps,noise_events,logical_batch_size,physical_batch_size,clip_fraction,mean_clip_factor,matched_norm_p50,matched_norm_p90,matched_norm_p99,matched_norm_max,raw_norm_p50,raw_norm_p90,raw_norm_p99,geometry_build_seconds,oracle_seconds,private_train_seconds,wall_time_seconds,run_wall_time_seconds,peak_cuda_allocated_bytes,bk_cache_bytes,temporary_per_sample_bytes,operator_state_bytes,factor_state_bytes,trace_S,d_total,normalization,research_only,clip_cos,clip_rel_error,signal_cos,signal_rel_error,update_cos,update_rel_error,total_noise_rms,run_name,tau,matched_raw_p90_ratio
mnist,dp_kfm,public,0.5,42,5,0.7318063247374686,0.6536834334373474,0.8996,0.8996,3.46075,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.2582720816135406,0.7805285453796387,0.0080737555399537,51.91693878173828,113.44275665283205,178.50978088378906,0.013892387971282,93.70034790039062,203.8990173339844,0.5105025433003902,0.5272006709128618,18.59908286947757,21.3325169114396,108.74609314929694,187082752,60819136,51380224,20138336,10069164,206922.0,206922,global,True,0.8214009071598657,0.9822113327259092,0.8214009071598657,0.9822113327259092,0.0529599494397619,1.075831191634354,1.0666182231385033,mnist_dp_kfm_public_beta0.5_seed42,30.503896863300675,0.5540741304069571
mnist,dp_kfm_a,public,0.25,42,5,0.4091525300928427,0.4297675675392151,0.931,0.9362,3.619050000000001,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.1548003107309341,0.8683003783226013,0.0002089487534249,11.797687530517578,120.5149917602539,184.02207946777344,0.0004617793601937,26.3734188079834,274.6321105957031,0.4719877671450376,0.4815235566347837,18.81142385303974,21.412484067492187,98.624860602431,172350464,54396608,51380224,19996224,9998108,206922.0,206922,global,True,0.798709893514336,0.985220136201649,0.798709893514336,0.985220136201649,0.0362282570572017,1.0890957522013018,1.0680849241347703,mnist_dp_kfm_a_public_beta0.25_seed42,2.13458005714685,0.44733250612720504
mnist,dp_kfm_a,public,0.25,42,5,0.5232479034187368,0.4872486177921295,0.9221,0.9221,3.5589,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.2020218819379806,0.82598477602005,0.0008349705021828,52.22715759277344,184.9581298828125,281.16815185546875,0.0014781751669943,93.73480987548828,334.8762512207031,0.4689922844991088,0.4720334494486451,18.72869719285518,21.30364896450192,103.87860237434506,174587904,54396608,51380224,19996248,9998108,206922.0,206922,layer,True,0.8339413839375291,0.989127388247023,0.8339413839375291,0.989127388247023,0.0414665240117948,1.0408508579333635,1.06815471862294,mnist_dp_kfm_a_public_beta0.25_seed42,,0.5571799597411983
vit,dp_kfm_a,public,0.25,42,5,0.312008663425333,0.3254438624620437,0.9209,0.9209,3.5526,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.2818531990051269,0.7637619376182556,0.0451126247644424,128.8029327392578,554.2252807617188,1247.2867431640625,0.0568706020712852,163.0847625732422,704.5375366210938,3.859307074919343,4.382160243578255,289.7371925059706,311.3556270254776,1545.8452173797414,5588653568,4879916544,19562496,79679064,39839528,5526346.0,5526346,global,True,0.5713829159786864,0.997364807676056,0.5713829159786864,0.997364807676056,0.0039928849689306,1.2091067431034404,0.7202319604956995,vit_dp_kfm_a_public_beta0.25_seed42,1.484204169107947,0.7897913373814538
vit,dp_kfm_a,public,0.25,42,5,0.2875302694138432,0.3043508082151413,0.9266,0.9266,3.6017,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.2545246481895447,0.7867030501365662,0.0265044905245304,87.12976837158203,505.03948974609375,1042.8370361328125,0.0354895964264869,119.36176300048828,707.7476806640625,3.5651481077075005,4.016103966161609,296.95736583229154,318.965125028044,1586.0895778303966,5643504128,4879916544,19562496,79679648,39839528,5526346.0,5526346,layer,True,0.5782098156701272,0.9971732616023156,0.5782098156701272,0.9971732616023156,0.0042045315408901,1.2192792679474025,0.7202336661986849,vit_dp_kfm_a_public_beta0.25_seed42,,0.7299638190768479
mnist,dp_kfm_a,pink,0.25,42,5,0.4241789332933379,0.435550210750103,0.9298,0.9327,3.6287,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.1631472110748291,0.8609926104545593,0.0002286349917994,16.32042121887207,147.05841064453125,202.4378204345703,0.0004474704910535,32.19916534423828,297.6724853515625,0.0404079463332891,0.4903074791654944,18.825130078941584,21.053754080086943,106.5019482569769,172350464,54396608,51380224,19996224,9998108,206922.0,206922,global,True,0.7894198623733265,0.987979914198674,0.7894198623733265,0.987979914198674,0.0323558957446364,1.0750713729223744,1.068071848454737,mnist_dp_kfm_a_pink_beta0.25_seed42,2.2807008824324075,0.5068585177408161
vit,dp_kfm_a,pink,0.25,42,5,0.3021192850320879,0.3134461329936981,0.9243,0.9243,3.5603,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.2899394035339355,0.7561368942260742,0.0500177890062332,148.82046508789062,716.7443237304688,1413.238037109375,0.0462475791573524,139.7218017578125,671.3587646484375,1.7989725740626454,4.153723019175232,291.62189130764455,313.11606986261904,1557.6553809484467,5587761664,4879916544,19562496,79679064,39839528,5526346.0,5526346,global,True,0.5550818663629511,0.9979913153485216,0.5550818663629511,0.9979913153485216,0.0028914311795744,1.2300957424889918,0.7202336704257977,vit_dp_kfm_a_pink_beta0.25_seed42,1.627603704476302,1.0651198539927889
mnist,dp_kfm_a,pink,0.25,42,5,0.5378220673510639,0.5050517898082734,0.9207,0.9207,3.5879000000000003,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.204017162322998,0.8236466646194458,0.0008563823066651,60.734981536865234,216.24966430664065,318.1519470214844,0.0013640264514833,97.49840545654295,355.07525634765625,0.040653740055859,0.4858842613175511,18.671702871099114,20.822491209954023,104.49781034048648,174587904,54396608,51380224,19996248,9998108,206922.0,206922,layer,True,0.8194110433563894,0.9909221530665024,0.8194110433563894,0.9909221530665024,0.0354035799978768,1.0368449409528904,1.0681209611169538,mnist_dp_kfm_a_pink_beta0.25_seed42,,0.6229330751869174
vit,dp_kfm,public,0.25,42,5,0.330100213549934,0.3436411835670471,0.9162,0.9162,3.5255,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.2934307157993316,0.7537994980812073,0.0540484674274921,143.80856323242188,522.3270874023438,1152.3121337890625,0.0718445107340812,190.9612274169922,704.2103881835938,5.8597028609365225,6.117788460105658,303.392705575563,330.2014186158776,1643.4991706665603,5772696576,4899282432,19562496,154292600,77146296,5526346.0,5526346,global,True,0.5751683877850715,0.9972029742760016,0.5751683877850715,0.9972029742760016,0.0043463556205334,1.200136413482636,0.7202377085697302,vit_dp_kfm_public_beta0.25_seed42,7.594396386595947,0.7530772878747503
vit,dp_kfm,public,0.25,42,5,0.2874994460123921,0.3043557433605194,0.9261,0.9261,3.60495,2.9959030525484205,0.72021484375,975,195,49838,49838,255.5794871794872,212,297,0.00512,256,975,975,256,128,0.2527589499950409,0.788498044013977,0.0250812135636806,84.29883575439453,491.8230590820313,951.031982421875,0.0345049723982811,120.22093963623048,709.31787109375,5.815656719729304,6.020632483065128,317.0885147936642,344.43925735075027,1739.7838053945452,5830764032,4899282432,19562496,154293184,77146296,5526346.0,5526346,layer,True,0.5805186883141177,0.997096534117512,0.5805186883141177,0.997096534117512,0.0043477927080435,1.2175287802142625,0.7202338774366269,vit_dp_kfm_public_beta0.25_seed42,,0.7011992753464534
