level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only,run_name,normalization
layer,blocks.4.attn.k_proj,attention_qkv,0.7205359433472778,0.0067053347727413,19221.296310424805,1.125098656759476,0.0081152007809204,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.4.attn.v_proj,attention_qkv,0.7202415541312911,0.0067053347727413,19221.296310424805,2.224196350635735,0.0160428597555939,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.4.attn.out_proj,attention_out,0.7204452539896264,0.0067053347727413,19221.296310424805,2.315972803520088,0.0167048322303121,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.4.mlp.fc1,mlp_fc1,0.7202490635284935,0.0268213390909653,76885.18524169922,3.293369656915889,0.0118773388676158,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.4.mlp.fc2,mlp_fc2,0.7200807432867247,0.0267171110893166,76586.4086151123,3.1922333491755785,0.0115350313206712,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.attn.q_proj,attention_qkv,0.7201806172486686,0.0067053347727413,19221.296310424805,0.5230943649707192,0.0037730165026878,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.attn.k_proj,attention_qkv,0.7199900600972501,0.0067053347727413,19221.296310424805,0.7740443164387365,0.0055830882060803,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.attn.v_proj,attention_qkv,0.7203305391464196,0.0067053347727413,19221.296310424805,2.3594196738081674,0.0170182092604705,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.attn.out_proj,attention_out,0.7199418422118582,0.0067053347727413,19221.296310424805,2.3220150993238264,0.0167484145804736,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.mlp.fc1,mlp_fc1,0.7201291140141457,0.0268213390909653,76885.18524169922,3.43025336847677,0.0123710017105498,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.mlp.fc2,mlp_fc2,0.7201599158022858,0.0267171110893166,76586.4086151123,2.99236944298093,0.0108128295999159,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.attn.q_proj,attention_qkv,0.7199917153824642,0.0067053347727413,19221.296310424805,0.5607050017007181,0.0040442974847852,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.attn.k_proj,attention_qkv,0.7199506658128977,0.0067053347727413,19221.296310424805,0.8463939967153266,0.0061049377153233,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.attn.v_proj,attention_qkv,0.7203947073330463,0.0067053347727413,19221.296310424805,2.480197724898672,0.0178893667617608,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.attn.out_proj,attention_out,0.7199755456513757,0.0067053347727413,19221.296310424805,2.6486750861556208,0.0191045736286659,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
