level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only,run_name,normalization
layer,patch_embed,patch_head,0.7202770697573228,0.0267171110893166,76586.4086151123,4.094180604133407,0.0147941883739044,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.0.attn.q_proj,attention_qkv,0.719995148683362,0.0067053347727413,19221.296310424805,0.4972324666380008,0.0035864777522548,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.0.attn.k_proj,attention_qkv,0.7201169740741912,0.0067053347727413,19221.2963104248,0.7816754868677724,0.0056381309170932,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.0.attn.v_proj,attention_qkv,0.7202326775904807,0.0067053347727413,19221.296310424805,1.8173451175669688,0.0131082909295786,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.0.attn.out_proj,attention_out,0.7203901602925756,0.0067053347727413,19221.296310424805,2.0026370908489226,0.0144447795630349,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.0.mlp.fc1,mlp_fc1,0.7202107279232516,0.0268213390909653,76885.18524169922,2.5469031981782,0.0091852526436723,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.0.mlp.fc2,mlp_fc2,0.7201941556087792,0.0267171110893166,76586.4086151123,4.283896817875854,0.0154797217382255,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.1.attn.q_proj,attention_qkv,0.7203677570658948,0.0067053347727413,19221.296310424805,0.3240828877681115,0.0023375707437725,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.1.attn.k_proj,attention_qkv,0.7204254886630906,0.0067053347727413,19221.296310424805,0.4834488357844976,0.003487058086971,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.1.attn.v_proj,attention_qkv,0.7199653552582853,0.0067053347727413,19221.296310424805,1.9876628928536464,0.0143367724806916,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
layer,blocks.1.attn.out_proj,attention_out,0.7202433130424869,0.0067053347727413,19221.296310424805,2.762941178735496,0.0199287611593912,vit,dp_kfm,pink,0.25,42,1,True,vit_dp_kfm_pink_beta0.25_seed42,layer
